日期\时间,00:10:00,00:20:00,00:30:00,00:40:00,00:50:00,01:00:00,01:10:00,01:20:00,01:30:00,01:40:00,01:50:00,02:00:00,02:10:00,02:20:00,02:30:00,02:40:00,02:50:00,03:00:00,03:10:00,03:20:00,03:30:00,03:40:00,03:50:00,04:00:00,04:10:00,04:20:00,04:30:00,04:40:00,04:50:00,05:00:00,05:10:00,05:20:00,05:30:00,05:40:00,05:50:00,06:00:00,06:10:00,06:20:00,06:30:00,06:40:00,06:50:00,07:00:00,07:10:00,07:20:00,07:30:00,07:40:00,07:50:00,08:00:00,08:10:00,08:20:00,08:30:00,08:40:00,08:50:00,09:00:00,09:10:00,09:20:00,09:30:00,09:40:00,09:50:00,10:00:00,10:10:00,10:20:00,10:30:00,10:40:00,10:50:00,11:00:00,11:10:00,11:20:00,11:30:00,11:40:00,11:50:00,12:00:00,12:10:00,12:20:00,12:30:00,12:40:00,12:50:00,13:00:00,13:10:00,13:20:00,13:30:00,13:40:00,13:50:00,14:00:00,14:10:00,14:20:00,14:30:00,14:40:00,14:50:00,15:00:00,15:10:00,15:20:00,15:30:00,15:40:00,15:50:00,16:00:00,16:10:00,16:20:00,16:30:00,16:40:00,16:50:00,17:00:00,17:10:00,17:20:00,17:30:00,17:40:00,17:50:00,18:00:00,18:10:00,18:20:00,18:30:00,18:40:00,18:50:00,19:00:00,19:10:00,19:20:00,19:30:00,19:40:00,19:50:00,20:00:00,20:10:00,20:20:00,20:30:00,20:40:00,20:50:00,21:00:00,21:10:00,21:20:00,21:30:00,21:40:00,21:50:00,22:00:00,22:10:00,22:20:00,22:30:00,22:40:00,22:50:00,23:00:00,23:10:00,23:20:00,23:30:00,23:40:00,23:50:00,0:00+1
2025-01-01,3529.7296,3609.5287,3726.56,3510.6311,3502.5625,3787.01,3900.3205,3916.8376,3817.28,3533.0136,3694.6613,4064.73,3810.671,3844.9495,4234.62,4109.9755,3996.8945,4102.19,4086.0577,4133.7626,4179.18,3953.3711,3910.7496,4099.31,4123.8623,4169.0068,4260.24,4217.2222,4261.857,4341.9,4208.2208,4302.1233,4456.59,4148.637,4498.1333,5369.38,5440.8991,5316.893,5399.82,5447.4007,5444.401,5433.63,5449.2818,5510.0042,5476.0,5329.4215,6084.1163,7316.0,7469.4947,7225.691,7216.13,7361.7004,7275.513,7077.29,7221.8762,7229.5513,7099.33,7297.1521,7313.1756,7099.46,7125.5214,7096.3104,6986.17,7098.9702,7193.993,7135.18,7042.947,7069.1675,7129.17,6971.0393,6648.4937,6471.29,6681.1855,6585.2714,6283.97,6547.9322,6747.6789,6682.36,6790.9628,6916.0165,6834.78,6546.5252,6539.873,6773.97,6736.8117,6623.3813,6548.98,6398.5627,6196.5854,6154.69,6459.5818,6622.8857,6493.61,6375.0516,6354.113,6404.25,6444.972,6399.4586,6292.15,6236.9153,6299.9437,6389.06,6325.1833,6169.4734,6191.99,6464.5067,5764.0309,4529.45,4490.5328,4644.0206,4469.21,4470.465,4510.8756,4486.17,4471.7293,4439.8235,4387.19,4347.9765,4300.6345,4315.99,4483.2744,4551.706,4499.8,4535.0935,4528.916,4483.51,4548.2302,4595.6841,4620.9,4653.7148,4131.9845,3363.0,3305.7588,3470.932,3521.37,3561.5279,3386.068,3289.99,3774.2552,3883.62,3525.14,3553.5909,3697.1141,3696.7
2025-01-02,3622.5509,3622.7611,3708.23,3750.5226,3684.9038,3644.14,3809.298,3855.1226,3783.78,3907.3849,3968.2398,3886.77,3865.3901,3931.6861,4055.98,4164.982,4067.4326,3919.44,4068.323,4140.4792,4061.12,4138.7041,4283.3011,4330.98,4225.1585,4201.989,4273.9,4219.0352,4069.3885,4030.95,4262.9553,4330.5086,4149.13,4130.3346,4641.7286,5411.59,5738.8011,5695.3891,5537.66,5461.5746,5483.6005,5540.88,5575.3367,5669.9633,5566.66,5081.9454,5737.5547,7205.75,7519.6199,7253.8265,7156.62,7351.5694,7430.2399,7295.25,7207.6569,7113.8825,7023.12,7047.9517,7129.0191,7151.1,7053.4551,7028.7906,7115.54,7158.8016,7104.1648,6988.45,6905.2356,6918.8526,7053.45,7224.2372,7061.4737,6627.88,6385.5315,6379.3415,6517.08,6677.4158,6740.259,6776.29,6923.5069,6851.0971,6622.15,6654.8176,6745.2794,6768.73,6785.5204,6651.4681,6519.73,6699.3894,6745.2289,6621.14,6686.5383,6510.334,6220.79,6406.2703,6474.5982,6290.24,6307.331,6312.2172,6239.28,6276.4877,6335.5438,6317.75,6215.7285,6137.0958,6185.23,6275.9932,5749.3845,4825.29,4462.7208,4487.596,4531.35,4433.2667,4446.1905,4522.69,4365.4081,4272.9727,4365.74,4459.5799,4483.9677,4509.26,4622.8615,4560.6006,4323.46,4224.7758,4398.0305,4648.27,4633.6,4538.5738,4588.87,4752.9518,4388.3683,3695.47,3549.5286,3568.6566,3527.23,3577.6994,3478.244,3323.61,3478.4063,3640.9395,3700.96,3769.729,3428.202,2919.12
2025-01-03,2954.3509,2960.6102,2756.51,2725.0654,2639.7341,2583.76,2902.6811,3131.051,3056.82,2923.5412,2940.6553,3047.21,3000.6237,2860.5275,2800.1,2953.2923,3161.0061,3294.0,3346.735,3390.5777,3426.62,3375.8805,3204.2096,3155.14,3470.3443,3371.4266,2945.58,3074.9809,3342.863,3341.55,3130.4364,3224.3627,3607.85,3733.6991,3503.3718,3256.78,3421.25,3519.6603,3365.9,3274.086,3462.1699,3787.21,3895.0622,3904.9573,3913.93,3897.2707,3918.3208,4025.58,4146.3263,3906.1017,3524.22,3689.646,4284.7343,4753.54,4591.2578,4391.5782,4496.24,4673.3336,4538.2138,4253.49,4355.1198,4561.5437,4553.01,4289.7362,4146.1721,4247.72,4376.5197,4356.2528,4292.25,4431.7662,4528.7137,4406.42,4161.4411,4175.5384,4332.03,4156.8051,3998.4468,4008.75,4000.4293,4052.8564,4047.69,3788.9507,3812.7819,4095.07,4064.0778,3932.6141,3892.01,3900.8667,3890.6631,3800.74,3650.1373,3708.4101,3860.93,3736.1478,3699.9877,3817.2,3751.9521,3533.1584,3406.26,3544.1616,3385.5316,2996.54,2994.4949,2976.805,2847.22,2930.8792,2970.7432,2859.03,2767.8666,2778.7108,2809.88,2711.9698,2609.4796,2608.92,2689.2879,2685.1189,2707.6,2988.2372,3022.4875,2798.06,2801.341,2810.0049,2766.2,2865.7629,2932.1172,2903.7,2876.0861,2739.4924,2646.76,2854.3033,2801.1854,2481.44,2453.7519,2496.4764,2462.06,2454.9477,2478.41,2531.44,2618.7584,2674.9089,2688.94,2712.3789,2755.1168,2763.54
2025-01-04,2696.7943,2758.1877,2846.8,2662.8402,2560.2275,2737.71,3010.7018,2977.7182,2777.21,2904.2621,2944.0406,2839.4,2961.5683,3044.5086,3017.52,3088.4171,3140.8968,3120.06,3111.9018,3174.4757,3222.83,3140.7512,3203.5176,3305.62,3082.9711,3029.6183,3220.05,3240.2096,3268.5206,3392.42,3464.9422,3393.7832,3279.16,3313.089,3356.2249,3321.9,3281.593,3376.2584,3460.27,3291.7135,3419.9099,3836.22,3951.1717,3880.812,3754.85,3595.1141,3657.7613,3841.09,3781.6989,3727.8564,3748.37,3718.0706,4050.9075,4551.39,4547.9478,4435.5222,4409.26,4296.3622,4336.0833,4540.85,4626.107,4473.539,4327.19,4517.6361,4485.4969,4182.18,4147.4422,4325.6893,4465.74,4390.8655,4359.7887,4354.43,4136.5048,4106.5153,4265.7,4196.0578,4049.2294,3984.21,4041.6607,4331.9607,4485.56,3988.5685,3704.7485,3923.46,4088.3897,3973.5363,3805.42,3952.685,3941.4367,3722.7,3725.3858,3744.2329,3688.59,3719.3955,3874.1808,3950.84,3716.7753,3616.3037,3720.57,3626.41,3226.8567,2831.45,2875.1922,2966.3344,2895.99,2826.198,2826.1038,2855.21,2854.7653,3003.3345,3128.85,2852.5218,2595.6755,2609.96,2771.3445,2948.2664,2972.82,2762.3933,2709.883,2873.54,2935.6796,2890.2486,2804.72,2765.9763,2958.1633,3183.56,3043.4519,2941.1204,3048.68,3089.3913,2762.2668,2371.17,2519.0914,2613.8506,2504.08,2587.9952,2506.0837,2360.95,2656.3913,2882.5455,2736.89,2499.9476,2866.8742,3595.5
2025-01-05,3749.1135,3734.5244,3812.66,3801.623,3722.8105,3699.55,3827.0906,3912.9068,3857.93,3743.3376,3705.3998,3840.47,4111.152,4173.47,4084.0,4206.0662,4239.7353,4083.92,3978.0678,4035.3939,4133.79,4072.3103,4117.2544,4285.16,4282.9866,4066.6452,3935.69,4248.767,4509.0492,4402.53,4086.7682,3984.5987,4079.37,4097.6845,4692.7683,5571.11,5654.4759,5441.9211,5397.62,5477.7916,5397.1683,5303.73,5583.5442,5650.0131,5351.0,5277.6062,6196.9922,7436.32,7474.9983,7261.0405,7320.01,7260.5156,7234.7778,7272.34,7214.1844,7215.2231,7226.12,7042.5144,6966.8397,7069.57,7122.3726,7145.5435,7149.66,7079.801,6930.6048,6895.28,7172.3968,7265.2666,7062.78,6923.202,6839.5336,6774.68,6720.8698,6529.9733,6288.91,6288.4849,6544.1343,6831.21,6858.3943,6739.4191,6660.78,6728.4133,6849.0853,6918.25,6866.3355,6625.8829,6466.4,6725.6005,6709.0562,6426.68,6548.432,6553.2269,6364.16,6463.2558,6571.3423,6513.68,6398.4571,6257.6269,6193.1,6308.4609,6357.8788,6309.1,6342.8264,6300.3441,6311.16,6521.7748,5729.6017,4404.25,4338.8485,4607.6467,4526.19,4360.318,4390.1578,4563.4,4576.1663,4427.0555,4334.35,4505.0479,4556.4254,4351.65,4160.6277,4279.4441,4521.53,4432.6636,4404.8742,4533.4,4513.5242,4490.1854,4606.86,4732.2031,4167.146,3288.53,3237.2905,3378.3357,3386.03,3539.0148,3492.3971,3344.01,3552.7439,3624.3427,3519.7,3689.4184,3763.9773,3649.51
2025-01-06,3644.3668,3667.3643,3653.36,3658.847,3753.8161,3831.1,3742.862,3867.3399,4073.21,3860.756,3797.2685,4004.45,4037.46,4051.3579,4096.18,4015.9457,3883.79,3868.77,4075.327,4218.4464,4188.9,4140.3836,4178.0178,4252.97,4243.1978,4278.5712,4315.37,4174.8385,4081.6915,4164.85,4320.0376,4318.4262,4155.34,4122.0605,4646.0249,5383.5,5503.404,5417.125,5449.41,5509.7866,5476.4267,5342.83,5230.2796,5280.2131,5270.17,5011.711,5827.5655,7250.86,7388.8238,7275.0152,7428.53,7306.3966,7181.3297,7187.42,7162.0091,7174.1353,7188.39,7083.0799,7044.4106,7061.68,6971.4648,7078.0798,7254.91,7069.6909,7040.008,7218.78,7123.4645,6954.6354,6914.65,6973.3315,6888.7502,6624.43,6393.9803,6372.3105,6420.44,6270.784,6323.1806,6607.41,6736.1467,6805.2961,6827.09,6688.1859,6602.936,6604.2,6546.8999,6620.7574,6729.88,6559.4615,6397.4923,6448.2,6600.7085,6466.0213,6227.22,6416.9364,6445.7257,6248.02,6350.4995,6421.7448,6329.54,6303.9238,6334.1013,6361.0,6337.9893,6211.8391,6153.4,6282.3997,5672.8597,4555.27,4190.276,4291.3488,4481.62,4652.709,4540.3689,4257.34,4219.5344,4376.3172,4517.09,4488.7631,4509.8562,4589.65,4509.2665,4348.1004,4278.06,4410.8707,4564.9603,4619.89,4580.7427,4427.1767,4380.31,4629.1303,4293.6924,3515.59,3358.1757,3425.7624,3398.05,3381.1046,3373.3843,3438.86,3647.7613,3719.8946,3608.88,3521.8802,3402.6697,3407.81
2025-01-07,3741.011,3710.9838,3426.04,3679.1188,3924.5819,3924.15,3966.4301,3851.1738,3629.34,3633.0292,3796.9509,3962.42,4024.1701,4046.7708,4062.18,4032.9777,3947.2747,3873.3,3896.8687,3891.1035,3871.03,3968.7109,4012.6814,4022.7,4173.384,4198.1928,4091.27,4137.02,4285.4128,4404.47,4388.4703,4220.2728,4055.59,4179.3732,4764.4546,5362.77,5300.172,5322.0543,5603.32,5580.5931,5454.7219,5396.92,5380.2708,5493.9268,5514.25,5260.965,6012.6374,7323.54,7373.5665,7165.9026,7287.33,7285.1873,7133.4233,7004.45,7074.6297,7221.0117,7285.64,7196.3454,7060.0998,7000.21,7055.8079,7050.7147,6968.56,6977.9993,7123.1233,7156.13,6821.5569,6825.7529,7181.63,7166.3476,6861.4286,6570.2,6525.2873,6635.134,6733.96,6736.6727,6836.4577,6915.42,6695.5355,6741.7615,6951.33,6663.8261,6484.8337,6572.12,6491.2297,6516.0687,6678.09,6683.0353,6637.5483,6561.05,6359.9487,6248.9115,6333.03,6511.7854,6622.123,6598.91,6497.8796,6413.5184,6476.44,6708.6316,6615.6516,6227.23,6080.7418,6136.3433,6351.33,6570.8076,5681.9866,4273.04,4165.2166,4392.5376,4379.89,4500.9237,4506.8239,4402.76,4486.1276,4545.6704,4456.58,4307.194,4168.1273,4164.02,4375.0363,4477.7804,4451.3,4538.8514,4446.8478,4251.03,4344.9672,4386.8448,4419.09,4717.9588,4271.4087,3355.75,3334.3173,3487.6211,3376.87,3308.2583,3294.7889,3347.77,3501.1796,3567.9915,3549.34,3612.986,3626.9375,3630.21
2025-01-08,3804.6827,3915.2093,3757.03,3396.6361,3403.0377,3718.9,3728.6648,3584.712,3616.27,3933.9484,3910.8265,3723.48,4105.295,4125.7674,3777.98,4007.0946,4197.4587,4068.17,4007.8588,4117.8482,4277.01,4304.9779,4346.1868,4440.64,4449.7695,4281.5984,4132.85,4294.5796,4356.1163,4204.4,4129.2809,4128.7636,4140.19,4233.7361,4894.6373,5661.61,5525.7329,5435.0745,5636.75,5466.1072,5388.6925,5490.3,5384.7079,5467.9868,5618.62,5418.2049,6059.7944,7251.31,7400.2529,7257.1228,7292.32,7202.4795,7129.2896,7184.85,7285.1287,7179.8326,6940.09,6904.0134,7029.6254,7114.57,7008.0275,6995.0177,7109.65,7099.8083,7010.825,6970.25,7044.1227,7045.3819,6917.35,6804.3091,6865.295,6936.1,6697.0958,6490.3649,6467.1,6475.8735,6586.0304,6737.41,6758.8124,6781.0771,6821.09,6742.7939,6566.3106,6394.0,6341.2366,6410.1263,6551.88,6684.3446,6686.7793,6573.85,6472.4987,6380.5095,6284.0,6232.5343,6418.7974,6574.89,6224.4112,6011.5509,6186.14,6349.2478,6248.0105,6157.63,6516.7242,6531.403,6234.92,6305.2396,5526.2193,4229.81,4131.0846,4381.1254,4380.81,4373.0028,4322.2089,4256.16,4294.5256,4355.3967,4352.03,4299.4248,4414.1404,4578.34,4446.6377,4292.0769,4354.38,4593.9525,4643.6622,4537.22,4607.0591,4489.0919,4346.36,4630.6904,4197.889,3203.3,3041.4847,3256.6951,3322.52,3223.7681,3323.4535,3528.27,3413.8966,3394.1058,3568.45,3616.2412,3645.4482,3663.84
2025-01-09,3561.7974,3597.1481,3763.79,3801.0687,3853.2165,3954.83,3977.0073,3989.576,3967.72,3841.7389,3926.0375,4107.01,3968.56,3957.6482,4069.99,3881.3239,3942.5588,4235.28,4166.688,4105.8207,4155.59,4037.1717,3994.0237,4106.06,4179.4112,4129.5527,4024.55,4022.1068,4146.3482,4288.96,4319.6185,4392.0786,4306.72,3861.9598,4453.306,5675.03,5645.5762,5351.5585,5400.11,5389.1944,5359.3817,5389.08,5470.7803,5588.6296,5607.54,5527.2493,6284.1769,7344.99,7179.2989,7025.2069,7372.05,7450.7115,7297.9313,7194.11,7309.0706,7286.8063,7119.74,7148.5628,7195.0881,7145.11,7085.0373,7101.9361,7146.75,7095.7463,7056.9146,7061.77,7043.4576,7078.6784,7134.09,7074.9057,6946.1843,6746.81,6472.5949,6454.1594,6562.44,6390.6564,6554.0168,6910.82,6681.1908,6565.7411,6727.83,6635.2844,6624.6153,6726.19,6594.9169,6501.7937,6520.33,6453.558,6443.8129,6533.98,6584.5684,6487.653,6333.13,6332.5243,6431.4264,6484.02,6395.5528,6355.4761,6363.12,6253.3206,6234.9823,6302.88,6243.9493,6244.9228,6347.39,6263.3001,5430.2066,4360.72,4249.5681,4480.4458,4522.22,4430.3752,4395.3295,4415.33,4347.1526,4351.3328,4444.32,4465.4924,4433.605,4366.69,4275.7082,4322.8484,4423.59,4349.1072,4414.8701,4651.07,4721.3895,4536.7603,4423.68,4689.0953,4237.769,3266.59,3131.2489,3267.3904,3312.82,3508.9328,3712.1107,3713.22,3467.9974,3416.9241,3643.39,3747.2369,3335.7145,2709.78
2025-01-10,2591.3421,2655.4633,2666.58,2702.2194,2667.9703,2655.03,2846.3251,2884.3771,2793.03,2946.2661,3055.7465,2958.58,2815.3216,2878.0005,3068.17,3067.9847,3000.0404,3048.62,3249.9781,3272.9441,3050.13,2868.8904,2996.9931,3277.17,3269.9673,3076.3922,3033.91,3370.8589,3521.7681,3399.08,3440.6476,3484.8412,3408.14,3300.28,3314.3249,3434.84,3496.2727,3463.6694,3389.94,3374.352,3485.5931,3712.11,3959.8789,4096.6651,4064.01,3917.0843,3828.5147,3842.08,3876.3829,3972.4228,4064.27,4050.1014,4222.1561,4531.55,4616.5386,4620.4304,4631.46,4586.482,4557.232,4552.52,4515.6265,4516.0205,4508.77,4375.2893,4282.91,4299.28,4324.5521,4284.1287,4205.23,4178.8684,4177.3769,4155.55,4109.6831,4141.035,4185.92,4098.0156,4145.6389,4271.16,4125.853,3918.29,3884.13,4033.3519,3966.166,3750.93,3854.5093,4063.694,4059.79,3763.222,3733.0981,3899.61,3696.9327,3689.4859,3892.88,3754.8644,3778.6468,3985.09,3834.6131,3562.9799,3502.51,3685.7211,3413.9516,2846.6,2844.5204,2939.2439,2856.18,2819.4836,2890.1801,2910.32,2691.826,2596.4438,2697.47,2724.2314,2737.7689,2804.85,2901.2248,2967.6582,2970.54,2908.1659,2777.6254,2690.3,2772.5136,2766.8152,2689.41,2800.7801,2865.764,2764.68,2654.0319,2802.6285,3082.17,3073.3766,2878.4892,2630.22,2391.5103,2352.9166,2476.23,2516.6688,2456.3222,2470.86,2710.6018,2714.469,2457.3,2384.4493,2463.4468,2560.23
