日期\时间,00:10:00,00:20:00,00:30:00,00:40:00,00:50:00,01:00:00,01:10:00,01:20:00,01:30:00,01:40:00,01:50:00,02:00:00,02:10:00,02:20:00,02:30:00,02:40:00,02:50:00,03:00:00,03:10:00,03:20:00,03:30:00,03:40:00,03:50:00,04:00:00,04:10:00,04:20:00,04:30:00,04:40:00,04:50:00,05:00:00,05:10:00,05:20:00,05:30:00,05:40:00,05:50:00,06:00:00,06:10:00,06:20:00,06:30:00,06:40:00,06:50:00,07:00:00,07:10:00,07:20:00,07:30:00,07:40:00,07:50:00,08:00:00,08:10:00,08:20:00,08:30:00,08:40:00,08:50:00,09:00:00,09:10:00,09:20:00,09:30:00,09:40:00,09:50:00,10:00:00,10:10:00,10:20:00,10:30:00,10:40:00,10:50:00,11:00:00,11:10:00,11:20:00,11:30:00,11:40:00,11:50:00,12:00:00,12:10:00,12:20:00,12:30:00,12:40:00,12:50:00,13:00:00,13:10:00,13:20:00,13:30:00,13:40:00,13:50:00,14:00:00,14:10:00,14:20:00,14:30:00,14:40:00,14:50:00,15:00:00,15:10:00,15:20:00,15:30:00,15:40:00,15:50:00,16:00:00,16:10:00,16:20:00,16:30:00,16:40:00,16:50:00,17:00:00,17:10:00,17:20:00,17:30:00,17:40:00,17:50:00,18:00:00,18:10:00,18:20:00,18:30:00,18:40:00,18:50:00,19:00:00,19:10:00,19:20:00,19:30:00,19:40:00,19:50:00,20:00:00,20:10:00,20:20:00,20:30:00,20:40:00,20:50:00,21:00:00,21:10:00,21:20:00,21:30:00,21:40:00,21:50:00,22:00:00,22:10:00,22:20:00,22:30:00,22:40:00,22:50:00,23:00:00,23:10:00,23:20:00,23:30:00,23:40:00,23:50:00,0:00+1
2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0299,0.0,0.0,0.4169,0.0,0.0,5.8062,0.0,3.075,175.7953,421.496,677.1,950.8112,1255.5705,1592.2875,1937.5212,2225.1261,2490.1125,2826.3146,3122.1315,3350.9625,3601.7977,3875.6352,4149.825,4403.4802,4624.7505,4836.6375,5080.7024,5338.7528,5494.725,5437.9778,5396.2126,5372.1,5182.9722,5131.5011,5294.775,5434.7444,5455.5011,5331.7125,5126.6533,5118.4895,5302.575,5399.7996,5377.6488,5261.8125,5097.6164,5029.4534,5043.8625,4973.5844,4769.7524,4478.625,4209.3909,4060.4316,3934.425,3648.1229,3431.0164,3327.3375,3139.1175,2860.4253,2505.0,2089.695,1762.1562,1525.8,1249.2025,968.2219,706.6125,440.4383,180.885,2.9625,0.0,5.9578,0.0,0.0,0.4277,0.0,0.0,0.0307,0.0,0.0,0.0022,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0307,0.0,0.0,0.4279,0.0,0.0,5.9596,0.0,6.6375,192.5583,445.6222,701.3625,976.5695,1257.8499,1536.3375,1820.2924,2132.9788,2471.7375,2797.3932,3047.7556,3267.2625,3546.8485,3726.689,3844.2375,4096.3408,4283.6623,4356.1125,4491.6281,4766.409,5019.45,5019.8625,5077.3715,5277.5625,5389.699,5368.919,5329.9875,5412.6331,5429.3182,5328.3,5248.9495,5219.2319,5222.85,5242.2942,5308.1571,5393.2875,5413.5261,5337.3076,5168.2125,4960.5615,4873.504,4791.45,4440.5059,4102.9755,3897.7875,3672.4272,3411.625,3140.175,2878.1578,2617.8995,2359.9875,2119.3514,1904.7231,1662.6,1326.1056,1011.5001,757.725,494.5646,213.8643,6.675,0.0,6.7246,0.0,0.0,0.4828,0.0,0.0,0.0347,0.0,0.0,0.0025,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0271,0.0,0.0,0.3772,0.0,0.0,5.2535,0.0,10.1625,189.0764,442.0453,703.4625,972.3564,1241.8825,1529.2875,1846.5381,2087.1569,2292.9375,2620.4459,2975.4743,3263.25,3471.5364,3661.6122,3906.0,4237.6324,4559.3408,4799.25,4933.6175,4909.6483,4880.7,5076.8898,5196.2418,5189.7375,5315.8751,5513.9595,5731.875,5984.1501,6182.2434,6232.0875,6124.346,6089.4288,6095.775,5886.2195,5586.2759,5384.3625,5377.1542,5440.3984,5414.175,5218.57,5010.9891,4870.5,4735.9305,4538.4948,4289.0625,4035.8747,3666.7497,3262.425,3026.2269,2730.9581,2374.575,2171.7749,1878.1535,1480.1625,1222.9729,995.2058,725.3625,461.2553,200.2176,9.75,0.0,5.7669,0.0,0.0,0.414,0.0,0.0,0.0297,0.0,0.0,0.0021,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0312,0.0,0.0,0.4352,0.0,0.0,6.0622,0.0,15.6375,228.8427,502.1264,767.775,1062.5019,1360.9976,1621.0875,1833.9476,2116.4876,2438.775,2668.5555,2966.4092,3318.1875,3532.3995,3704.6783,3934.9125,4213.7688,4386.2676,4492.7625,4740.2442,5076.6249,5343.0,5422.3907,5514.8521,5702.1,5898.8124,6137.0074,6329.175,6317.0081,6260.4618,6339.1125,6566.5273,6560.6539,6341.7375,6257.5304,5987.3268,5575.05,5445.517,5402.9813,5200.725,4825.9725,4732.6649,4835.9625,4598.3795,4276.9137,4062.825,3871.9602,3609.403,3287.4,2993.1562,2689.5273,2382.0375,2118.5534,1821.5988,1495.5,1225.9,970.1376,704.025,447.9122,196.4463,13.5375,0.0,5.0717,0.0,0.0,0.3641,0.0,0.0,0.0261,0.0,0.0,0.0019,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0239,0.0,0.0,0.333,0.0,0.0,4.638,0.0,16.275,192.9246,422.7341,666.4125,965.2214,1252.967,1523.925,1839.1118,2173.2659,2498.175,2806.9337,3097.9281,3334.875,3473.6328,3582.553,3777.15,4138.0498,4533.981,4831.425,4984.0643,5087.52,5200.95,5299.5554,5313.686,5286.6375,5332.8822,5367.2497,5461.3875,5783.2659,6063.0877,6130.3875,6055.3067,6017.4438,6022.8,5944.2325,5908.07,5912.3625,5811.0813,5654.8207,5491.3125,5298.5398,4999.3107,4667.55,4482.9273,4388.2018,4205.2875,3807.3586,3496.1347,3322.9875,3062.4195,2806.6925,2564.6625,2233.8012,1926.2411,1652.0625,1310.0218,980.0297,703.6875,444.1731,194.9378,18.15,0.0,4.3005,0.0,0.0,0.3088,0.0,0.0,0.0222,0.0,0.0,0.0016,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0238,0.0,0.0,0.3313,0.0,0.0,4.6149,0.0,22.7625,218.7148,474.3125,728.2875,1000.2638,1250.6328,1502.775,1816.2769,2085.8601,2294.8875,2538.8487,2835.2066,3097.7625,3236.3755,3463.5549,3784.9875,4011.2084,4291.315,4534.3875,4506.7844,4684.2352,5022.1125,5014.9311,5090.839,5278.8375,5187.7899,5280.1422,5626.575,5804.2755,5859.2377,5824.6875,5686.4866,5767.617,6017.0625,6048.5188,5968.9809,5907.5625,5850.4909,5648.9547,5382.5625,5268.6703,5050.1356,4770.6,4727.2282,4563.1258,4230.0,4030.2227,3773.9886,3420.4875,3144.0139,2875.2865,2597.625,2370.1886,2093.9345,1733.85,1357.7557,1023.4895,742.6875,484.7564,224.2915,26.2125,0.0,4.2961,0.0,0.0,0.3084,0.0,0.0,0.0221,0.0,0.0,0.0016,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0197,0.0,0.0,0.2749,0.0,0.0,3.8286,0.0,29.475,226.8953,498.3901,767.4,1023.444,1287.5258,1593.8625,1945.406,2204.3243,2384.25,2645.9262,2990.2743,3345.3,3619.5267,3772.4445,3896.4375,4132.9042,4347.234,4497.8625,4695.5673,4997.974,5241.6,5197.875,5184.89,5270.85,5231.4974,5219.4742,5292.3,5345.688,5399.159,5426.8125,5366.6502,5319.2456,5266.575,5091.1202,4912.5647,4792.575,4704.4123,4734.8015,4790.4,4661.7053,4504.8201,4371.15,4160.9365,3958.6374,3789.0375,3588.5569,3370.8003,3147.45,2915.3012,2699.3942,2490.5625,2246.088,1955.9882,1639.05,1330.8562,1052.3971,792.225,518.9496,238.5415,31.6125,0.0,3.9615,0.0,0.0,0.2844,0.0,0.0,0.0204,0.0,0.0,0.0015,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138,0.0,0.0,0.1921,0.0,0.0,2.676,0.0,33.15,208.8112,445.8571,691.6125,957.6572,1251.4778,1567.2375,1891.6496,2225.0006,2503.65,2666.5224,2921.6881,3297.15,3602.3712,3770.4107,3890.25,4104.9524,4292.477,4439.6625,4651.7386,4809.584,4919.925,5117.4829,5318.098,5486.4,5687.9599,5964.3044,6220.425,6297.9173,6297.1264,6267.9375,6188.6053,6208.1972,6316.3125,6346.5393,6317.9198,6200.025,5919.1129,5617.7266,5431.1625,5365.3999,5171.8106,4836.375,4570.8434,4304.7576,4007.8125,3746.644,3519.4365,3298.8375,3057.0293,2792.1879,2490.15,2142.9837,1838.7517,1585.05,1309.3938,1036.1478,780.4875,523.3815,251.0098,38.4,0.0,3.5235,0.0,0.0,0.253,0.0,0.0,0.0182,0.0,0.0,0.0013,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138,0.0,0.0,0.1921,0.0,0.0,2.6758,0.0,42.4125,243.0783,496.2179,751.65,1039.4289,1310.9799,1584.45,1925.2583,2242.3813,2505.225,2773.7018,3066.4742,3361.9125,3623.8317,3871.7566,4103.6625,4282.3358,4378.0105,4477.5375,4728.4605,5065.2332,5403.825,5703.8489,5951.0667,6040.8,5892.5317,5887.6935,6046.0875,6038.2484,6038.7663,6089.8125,6002.8079,5726.8055,5382.0,5180.8494,5164.4593,5214.45,5168.7606,5141.1536,5084.5875,4818.6998,4546.7003,4405.3875,4331.8848,4133.9699,3815.9625,3556.8296,3326.7347,3061.125,2743.9814,2468.6247,2244.5625,2000.7961,1784.0505,1581.45,1321.3699,1055.3136,801.15,524.5203,245.7215,43.4625,0.0,2.4519,0.0,0.0,0.176,0.0,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,0.0,0.0,0.1474,0.0,0.0,2.0527,0.0,55.275,281.7927,589.4261,908.8875,1233.33,1540.7571,1826.8875,2103.8732,2361.8443,2611.95,2879.7934,3142.3787,3379.275,3595.3337,3834.5623,4106.5125,4375.4435,4601.5031,4761.1125,4854.9239,4915.1685,5025.525,5256.1401,5455.7767,5592.45,5738.286,5696.3178,5536.6125,5558.6481,5638.5706,5632.8375,5532.5581,5498.9559,5526.9,5476.578,5492.0012,5584.9125,5589.4676,5452.1671,5164.9125,4776.3251,4490.6806,4300.6875,4027.6369,3800.0876,3636.825,3424.2236,3269.3211,3175.8375,3018.1127,2796.4332,2571.825,2383.3909,2082.1444,1689.3,1382.3995,1098.1441,800.475,527.6242,259.5803,50.7375,0.0,2.0244,0.0,0.0,0.1453,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
