result,sheet_index,sheet,field,kind,time_idx,label,row_start,row_end,col_start,col_end,note
result1,1,计划购电量,购电量,period,1,0:10-0:20,2,2,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,2,0:20-0:30,3,3,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,3,0:30-0:40,4,4,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,4,0:40-0:50,5,5,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,5,0:50-1:00,6,6,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,6,1:00-1:10,7,7,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,7,1:10-1:20,8,8,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,8,1:20-1:30,9,9,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,9,1:30-1:40,10,10,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,10,1:40-1:50,11,11,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,11,1:50-2:00,12,12,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,12,2:00-2:10,13,13,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,13,2:10-2:20,14,14,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,14,2:20-2:30,15,15,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,15,2:30-2:40,16,16,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,16,2:40-2:50,17,17,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,17,2:50-3:00,18,18,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,18,3:00-3:10,19,19,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,19,3:10-3:20,20,20,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,20,3:20-3:30,21,21,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,21,3:30-3:40,22,22,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,22,3:40-3:50,23,23,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,23,3:50-4:00,24,24,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,24,4:00-4:10,25,25,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,25,4:10-4:20,26,26,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,26,4:20-4:30,27,27,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,27,4:30-4:40,28,28,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,28,4:40-4:50,29,29,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,29,4:50-5:00,30,30,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,30,5:00-5:10,31,31,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,31,5:10-5:20,32,32,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,32,5:20-5:30,33,33,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,33,5:30-5:40,34,34,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,34,5:40-5:50,35,35,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,35,5:50-6:00,36,36,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,36,6:00-6:10,37,37,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,37,6:10-6:20,38,38,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,38,6:20-6:30,39,39,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,39,6:30-6:40,40,40,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,40,6:40-6:50,41,41,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,41,6:50-7:00,42,42,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,42,7:00-7:10,43,43,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,43,7:10-7:20,44,44,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,44,7:20-7:30,45,45,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,45,7:30-7:40,46,46,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,46,7:40-7:50,47,47,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,47,7:50-8:00,48,48,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,48,8:00-8:10,49,49,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,49,8:10-8:20,50,50,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,50,8:20-8:30,51,51,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,51,8:30-8:40,52,52,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,52,8:40-8:50,53,53,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,53,8:50-9:00,54,54,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,54,9:00-9:10,55,55,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,55,9:10-9:20,56,56,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,56,9:20-9:30,57,57,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,57,9:30-9:40,58,58,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,58,9:40-9:50,59,59,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,59,9:50-10:00,60,60,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,60,10:00-10:10,61,61,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,61,10:10-10:20,62,62,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,62,10:20-10:30,63,63,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,63,10:30-10:40,64,64,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,64,10:40-10:50,65,65,2,2,纵向模板：标签列 A 已填，值写入 B 列
result1,1,计划购电量,购电量,period,65,10:50-11:00,66,66,2,2,纵向模板：标签列 A 已填，值写入 B 列
