interval_index,source_time_label,official_template_label,price_yuan_per_kwh,net_load_kwh,planned_purchase_kwh,charge_kwh,discharge_kwh,soc_kwh,soc_dual_mu_yuan_per_kwh,storage_marginal_value_yuan_per_kwh,balance_dual_yuan_per_kwh,operating_state
1,00:10:00,0:10-0:20,0.4248,573.3077666666666,1406.6410999999998,833.3333333333333,0.0,6750.0,-0.47544444444444445,0.47544444444444445,0.4248,charge
2,00:20:00,0:20-0:30,0.4245,572.9965333333333,1406.3298666666665,833.3333333333333,0.0,7500.0,-0.47544444444444445,0.47544444444444445,0.4245,charge
3,00:30:00,0:30-0:40,0.4269,574.0505166666667,1407.38385,833.3333333333333,0.0,8250.0,-0.47544444444444445,0.47544444444444445,0.4269,charge
4,00:40:00,0:40-0:50,0.4272,575.7406166666666,1409.07395,833.3333333333333,0.0,9000.0,-0.47544444444444445,0.47544444444444445,0.4272,charge
5,00:50:00,0:50-1:00,0.4271,576.4712166666666,1409.8045499999998,833.3333333333333,0.0,9750.0,-0.47544444444444445,0.47544444444444445,0.4271,charge
6,01:00:00,1:00-1:10,0.4285,576.6400166666666,576.6400166666666,0.0,0.0,9750.0,-0.47544444444444445,0.47544444444444445,0.4285,idle
7,01:10:00,1:10-1:20,0.4311,577.8597,577.8597,0.0,0.0,9750.0,-0.47544444444444445,0.47544444444444445,0.4311,idle
8,01:20:00,1:20-1:30,0.4302,577.9938666666667,577.9938666666667,0.0,0.0,9750.0,-0.47544444444444445,0.47544444444444445,0.4302,idle
9,01:30:00,1:30-1:40,0.4279,577.82805,911.1613833333333,333.3333333333333,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4279,charge
10,01:40:00,1:40-1:50,0.4312,580.41545,580.41545,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4312,idle
11,01:50:00,1:50-2:00,0.4333,582.5140166666666,582.5140166666666,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4333,idle
12,02:00:00,2:00-2:10,0.4311,583.0740499999999,583.0740499999999,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4311,idle
13,02:10:00,2:10-2:20,0.4293,584.2049166666666,584.2049166666666,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4293,idle
14,02:20:00,2:20-2:30,0.4324,585.4397833333333,585.4397833333333,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4324,idle
15,02:30:00,2:30-2:40,0.4367,586.1447499999999,586.1447499999999,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4367,idle
16,02:40:00,2:40-2:50,0.4348,586.3207666666666,586.3207666666666,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4348,idle
