t_one_based,source_time_label,internal_interval_end_label_convention,official_template_label,output_interval_label,template_row
1,00:10:00,0:00-0:10,0:10-0:20,0:00-0:10,2
2,00:20:00,0:10-0:20,0:20-0:30,0:10-0:20,3
3,00:30:00,0:20-0:30,0:30-0:40,0:20-0:30,4
4,00:40:00,0:30-0:40,0:40-0:50,0:30-0:40,5
5,00:50:00,0:40-0:50,0:50-1:00,0:40-0:50,6
6,01:00:00,0:50-1:00,1:00-1:10,0:50-1:00,7
7,01:10:00,1:00-1:10,1:10-1:20,1:00-1:10,8
8,01:20:00,1:10-1:20,1:20-1:30,1:10-1:20,9
9,01:30:00,1:20-1:30,1:30-1:40,1:20-1:30,10
10,01:40:00,1:30-1:40,1:40-1:50,1:30-1:40,11
11,01:50:00,1:40-1:50,1:50-2:00,1:40-1:50,12
12,02:00:00,1:50-2:00,2:00-2:10,1:50-2:00,13
13,02:10:00,2:00-2:10,2:10-2:20,2:00-2:10,14
14,02:20:00,2:10-2:20,2:20-2:30,2:10-2:20,15
15,02:30:00,2:20-2:30,2:30-2:40,2:20-2:30,16
16,02:40:00,2:30-2:40,2:40-2:50,2:30-2:40,17
17,02:50:00,2:40-2:50,2:50-3:00,2:40-2:50,18
18,03:00:00,2:50-3:00,3:00-3:10,2:50-3:00,19
19,03:10:00,3:00-3:10,3:10-3:20,3:00-3:10,20
20,03:20:00,3:10-3:20,3:20-3:30,3:10-3:20,21
21,03:30:00,3:20-3:30,3:30-3:40,3:20-3:30,22
22,03:40:00,3:30-3:40,3:40-3:50,3:30-3:40,23
23,03:50:00,3:40-3:50,3:50-4:00,3:40-3:50,24
24,04:00:00,3:50-4:00,4:00-4:10,3:50-4:00,25
25,04:10:00,4:00-4:10,4:10-4:20,4:00-4:10,26
26,04:20:00,4:10-4:20,4:20-4:30,4:10-4:20,27
27,04:30:00,4:20-4:30,4:30-4:40,4:20-4:30,28
28,04:40:00,4:30-4:40,4:40-4:50,4:30-4:40,29
29,04:50:00,4:40-4:50,4:50-5:00,4:40-4:50,30
30,05:00:00,4:50-5:00,5:00-5:10,4:50-5:00,31
31,05:10:00,5:00-5:10,5:10-5:20,5:00-5:10,32
32,05:20:00,5:10-5:20,5:20-5:30,5:10-5:20,33
33,05:30:00,5:20-5:30,5:30-5:40,5:20-5:30,34
34,05:40:00,5:30-5:40,5:40-5:50,5:30-5:40,35
35,05:50:00,5:40-5:50,5:50-6:00,5:40-5:50,36
36,06:00:00,5:50-6:00,6:00-6:10,5:50-6:00,37
37,06:10:00,6:00-6:10,6:10-6:20,6:00-6:10,38
38,06:20:00,6:10-6:20,6:20-6:30,6:10-6:20,39
39,06:30:00,6:20-6:30,6:30-6:40,6:20-6:30,40
40,06:40:00,6:30-6:40,6:40-6:50,6:30-6:40,41
41,06:50:00,6:40-6:50,6:50-7:00,6:40-6:50,42
42,07:00:00,6:50-7:00,7:00-7:10,6:50-7:00,43
43,07:10:00,7:00-7:10,7:10-7:20,7:00-7:10,44
44,07:20:00,7:10-7:20,7:20-7:30,7:10-7:20,45
45,07:30:00,7:20-7:30,7:30-7:40,7:20-7:30,46
46,07:40:00,7:30-7:40,7:40-7:50,7:30-7:40,47
47,07:50:00,7:40-7:50,7:50-8:00,7:40-7:50,48
48,08:00:00,7:50-8:00,8:00-8:10,7:50-8:00,49
49,08:10:00,8:00-8:10,8:10-8:20,8:00-8:10,50
50,08:20:00,8:10-8:20,8:20-8:30,8:10-8:20,51
51,08:30:00,8:20-8:30,8:30-8:40,8:20-8:30,52
52,08:40:00,8:30-8:40,8:40-8:50,8:30-8:40,53
53,08:50:00,8:40-8:50,8:50-9:00,8:40-8:50,54
54,09:00:00,8:50-9:00,9:00-9:10,8:50-9:00,55
55,09:10:00,9:00-9:10,9:10-9:20,9:00-9:10,56
56,09:20:00,9:10-9:20,9:20-9:30,9:10-9:20,57
57,09:30:00,9:20-9:30,9:30-9:40,9:20-9:30,58
58,09:40:00,9:30-9:40,9:40-9:50,9:30-9:40,59
59,09:50:00,9:40-9:50,9:50-10:00,9:40-9:50,60
60,10:00:00,9:50-10:00,10:00-10:10,9:50-10:00,61
