t_one_based,source_time_label,internal_interval_end_label_convention,official_template_label,template_row
1,00:10:00,0:00-0:10,0:10-0:20,2
2,00:20:00,0:10-0:20,0:20-0:30,3
3,00:30:00,0:20-0:30,0:30-0:40,4
4,00:40:00,0:30-0:40,0:40-0:50,5
5,00:50:00,0:40-0:50,0:50-1:00,6
6,01:00:00,0:50-1:00,1:00-1:10,7
7,01:10:00,1:00-1:10,1:10-1:20,8
8,01:20:00,1:10-1:20,1:20-1:30,9
9,01:30:00,1:20-1:30,1:30-1:40,10
10,01:40:00,1:30-1:40,1:40-1:50,11
11,01:50:00,1:40-1:50,1:50-2:00,12
12,02:00:00,1:50-2:00,2:00-2:10,13
13,02:10:00,2:00-2:10,2:10-2:20,14
14,02:20:00,2:10-2:20,2:20-2:30,15
15,02:30:00,2:20-2:30,2:30-2:40,16
16,02:40:00,2:30-2:40,2:40-2:50,17
17,02:50:00,2:40-2:50,2:50-3:00,18
18,03:00:00,2:50-3:00,3:00-3:10,19
19,03:10:00,3:00-3:10,3:10-3:20,20
20,03:20:00,3:10-3:20,3:20-3:30,21
21,03:30:00,3:20-3:30,3:30-3:40,22
22,03:40:00,3:30-3:40,3:40-3:50,23
23,03:50:00,3:40-3:50,3:50-4:00,24
24,04:00:00,3:50-4:00,4:00-4:10,25
25,04:10:00,4:00-4:10,4:10-4:20,26
26,04:20:00,4:10-4:20,4:20-4:30,27
27,04:30:00,4:20-4:30,4:30-4:40,28
28,04:40:00,4:30-4:40,4:40-4:50,29
29,04:50:00,4:40-4:50,4:50-5:00,30
30,05:00:00,4:50-5:00,5:00-5:10,31
31,05:10:00,5:00-5:10,5:10-5:20,32
32,05:20:00,5:10-5:20,5:20-5:30,33
33,05:30:00,5:20-5:30,5:30-5:40,34
34,05:40:00,5:30-5:40,5:40-5:50,35
35,05:50:00,5:40-5:50,5:50-6:00,36
36,06:00:00,5:50-6:00,6:00-6:10,37
37,06:10:00,6:00-6:10,6:10-6:20,38
38,06:20:00,6:10-6:20,6:20-6:30,39
39,06:30:00,6:20-6:30,6:30-6:40,40
40,06:40:00,6:30-6:40,6:40-6:50,41
41,06:50:00,6:40-6:50,6:50-7:00,42
42,07:00:00,6:50-7:00,7:00-7:10,43
43,07:10:00,7:00-7:10,7:10-7:20,44
44,07:20:00,7:10-7:20,7:20-7:30,45
45,07:30:00,7:20-7:30,7:30-7:40,46
46,07:40:00,7:30-7:40,7:40-7:50,47
47,07:50:00,7:40-7:50,7:50-8:00,48
48,08:00:00,7:50-8:00,8:00-8:10,49
49,08:10:00,8:00-8:10,8:10-8:20,50
50,08:20:00,8:10-8:20,8:20-8:30,51
51,08:30:00,8:20-8:30,8:30-8:40,52
52,08:40:00,8:30-8:40,8:40-8:50,53
53,08:50:00,8:40-8:50,8:50-9:00,54
54,09:00:00,8:50-9:00,9:00-9:10,55
55,09:10:00,9:00-9:10,9:10-9:20,56
56,09:20:00,9:10-9:20,9:20-9:30,57
57,09:30:00,9:20-9:30,9:30-9:40,58
58,09:40:00,9:30-9:40,9:40-9:50,59
59,09:50:00,9:40-9:50,9:50-10:00,60
60,10:00:00,9:50-10:00,10:00-10:10,61
61,10:10,10:00-10:10,10:10-10:20,62
62,10:20,10:10-10:20,10:20-10:30,63
63,10:30,10:20-10:30,10:30-10:40,64
64,10:40,10:30-10:40,10:40-10:50,65
65,10:50,10:40-10:50,10:50-11:00,66
66,11:00,10:50-11:00,11:00-11:10,67
67,11:10,11:00-11:10,11:10-11:20,68
68,11:20,11:10-11:20,11:20-11:30,69
69,11:30,11:20-11:30,11:30-11:40,70
70,11:40,11:30-11:40,11:40-11:50,71
71,11:50,11:40-11:50,11:50-12:00,72
72,12:00,11:50-12:00,12:00-12:10,73
73,12:10,12:00-12:10,12:10-12:20,74
74,12:20,12:10-12:20,12:20-12:30,75
75,12:30,12:20-12:30,12:30-12:40,76
76,12:40,12:30-12:40,12:40-12:50,77
77,12:50,12:40-12:50,12:50-13:00,78
78,13:00,12:50-13:00,13:00-13:10,79
79,13:10,13:00-13:10,13:10-13:20,80
80,13:20,13:10-13:20,13:20-13:30,81
81,13:30,13:20-13:30,13:30-13:40,82
82,13:40,13:30-13:40,13:40-13:50,83
83,13:50,13:40-13:50,13:50-14:00,84
84,14:00,13:50-14:00,14:00-14:10,85
85,14:10,14:00-14:10,14:10-14:20,86
86,14:20,14:10-14:20,14:20-14:30,87
87,14:30,14:20-14:30,14:30-14:40,88
88,14:40,14:30-14:40,14:40-14:50,89
89,14:50,14:40-14:50,14:50-15:00,90
90,15:00,14:50-15:00,15:00-15:10,91
91,15:10,15:00-15:10,15:10-15:20,92
92,15:20,15:10-15:20,15:20-15:30,93
93,15:30,15:20-15:30,15:30-15:40,94
94,15:40,15:30-15:40,15:40-15:50,95
95,15:50,15:40-15:50,15:50-16:00,96
96,16:00,15:50-16:00,16:00-16:10,97
97,16:10,16:00-16:10,16:10-16:20,98
98,16:20,16:10-16:20,16:20-16:30,99
99,16:30,16:20-16:30,16:30-16:40,100
100,16:40,16:30-16:40,16:40-16:50,101
101,16:50,16:40-16:50,16:50-17:00,102
102,17:00,16:50-17:00,17:00-17:10,103
103,17:10,17:00-17:10,17:10-17:20,104
104,17:20,17:10-17:20,17:20-17:30,105
105,17:30,17:20-17:30,17:30-17:40,106
106,17:40,17:30-17:40,17:40-17:50,107
107,17:50,17:40-17:50,17:50-18:00,108
108,18:00,17:50-18:00,18:00-18:10,109
109,18:10,18:00-18:10,18:10-18:20,110
110,18:20,18:10-18:20,18:20-18:30,111
111,18:30,18:20-18:30,18:30-18:40,112
112,18:40,18:30-18:40,18:40-18:50,113
113,18:50,18:40-18:50,18:50-19:00,114
114,19:00,18:50-19:00,19:00-19:10,115
115,19:10,19:00-19:10,19:10-19:20,116
116,19:20,19:10-19:20,19:20-19:30,117
117,19:30,19:20-19:30,19:30-19:40,118
118,19:40,19:30-19:40,19:40-19:50,119
119,19:50,19:40-19:50,19:50-20:00,120
120,20:00,19:50-20:00,20:00-20:10,121
121,20:10,20:00-20:10,20:10-20:20,122
122,20:20,20:10-20:20,20:20-20:30,123
123,20:30,20:20-20:30,20:30-20:40,124
124,20:40,20:30-20:40,20:40-20:50,125
125,20:50,20:40-20:50,20:50-21:00,126
126,21:00,20:50-21:00,21:00-21:10,127
127,21:10,21:00-21:10,21:10-21:20,128
128,21:20,21:10-21:20,21:20-21:30,129
129,21:30,21:20-21:30,21:30-21:40,130
130,21:40,21:30-21:40,21:40-21:50,131
131,21:50,21:40-21:50,21:50-22:00,132
132,22:00,21:50-22:00,22:00-22:10,133
133,22:10,22:00-22:10,22:10-22:20,134
134,22:20,22:10-22:20,22:20-22:30,135
135,22:30,22:20-22:30,22:30-22:40,136
136,22:40,22:30-22:40,22:40-22:50,137
137,22:50,22:40-22:50,22:50-23:00,138
138,23:00,22:50-23:00,23:00-23:10,139
139,23:10,23:00-23:10,23:10-23:20,140
140,23:20,23:10-23:20,23:20-23:30,141
141,23:30,23:20-23:30,23:30-23:40,142
142,23:40,23:30-23:40,23:40-23:50,143
143,23:50,23:40-23:50,23:50-0:00+1,144
144,0:00+1,23:50-24:00,0:00+1-0:10+1,145
