month,MAE_kwh,WAPE,n_days,n_samples
2,61.79948814478153,0.1251149689879107,28,4032
3,63.5720374127736,0.1355446110549309,31,4464
4,53.829497249992116,0.11586779450412299,30,4320
5,84.55797820876015,0.18368472266798458,31,4464
6,65.94483136474459,0.13660546831905623,30,4320
7,61.23489602744534,0.11265997369423113,31,4464
8,58.88731905947726,0.1068340575673308,31,4464
9,57.23495009948651,0.11418129977547858,30,4320
10,45.991698485302,0.09328113461648159,31,4464
11,34.703098808335845,0.0708598207767937,30,4320
12,36.18025563822119,0.06581794354000546,31,4464
