date,scenario,interval,L_scen_kwh,G_scen_kwh
2025-07-15,1,1,724.556682714697,0.0
2025-07-15,1,2,727.2606565562862,0.0
2025-07-15,1,3,750.3996729184794,0.0
2025-07-15,1,4,802.6491237157531,0.0
2025-07-15,1,5,811.7774640519449,0.0
2025-07-15,1,6,768.5732169034034,0.0
2025-07-15,1,7,799.5964814617062,0.0
2025-07-15,1,8,768.6797144056566,0.0
2025-07-15,1,9,731.9608279153317,0.0
2025-07-15,1,10,747.2571102052931,0.0
2025-07-15,1,11,770.4220809629109,0.0
2025-07-15,1,12,736.8643718948241,0.0
2025-07-15,1,13,690.2964640555016,0.0
2025-07-15,1,14,691.4389952254824,0.0
2025-07-15,1,15,686.7559676091305,0.0
2025-07-15,1,16,730.9535893347522,0.0
2025-07-15,1,17,765.8568101772628,0.0
2025-07-15,1,18,793.9729599178473,0.0
2025-07-15,1,19,733.1341652953042,0.0
2025-07-15,1,20,691.2898339250933,0.0
2025-07-15,1,21,683.5879771045686,0.0
2025-07-15,1,22,643.793287619348,0.0
2025-07-15,1,23,670.1183392028427,0.0
2025-07-15,1,24,721.2469520999368,0.0
2025-07-15,1,25,665.4689578051659,0.0
2025-07-15,1,26,644.3293988183012,0.0
2025-07-15,1,27,675.5518367511513,0.0
2025-07-15,1,28,646.4983509966936,0.0
2025-07-15,1,29,683.4038517673807,0.0
2025-07-15,1,30,719.4421319330703,0.0
2025-07-15,1,31,677.3684960983542,15.658711167663377
2025-07-15,1,32,638.4218168052059,47.09723246921004
2025-07-15,1,33,694.0680530988311,87.07542344484844
2025-07-15,1,34,702.6954039123135,122.24801155204537
2025-07-15,1,35,720.9205404100524,157.11777651548553
2025-07-15,1,36,802.7027584824611,193.65917927018856
2025-07-15,1,37,825.8531182251709,228.46140470898473
2025-07-15,1,38,809.3667503114013,265.88442791888195
2025-07-15,1,39,799.7314459664683,303.3144117611886
2025-07-15,1,40,841.1633484995261,335.79253773471845
2025-07-15,1,41,831.8765608434755,378.53765521506995
2025-07-15,1,42,786.5381623119483,426.47509167490483
2025-07-15,1,43,803.1963977662521,458.729265114606
2025-07-15,1,44,843.7559566673347,487.53506252588136
2025-07-15,1,45,850.7944466365781,525.1867562233938
2025-07-15,1,46,818.5225906677148,573.3254675317821
2025-07-15,1,47,867.7554326237904,630.1754978895733
2025-07-15,1,48,1079.4510755678448,690.1924008115684
2025-07-15,1,49,1109.782714025278,742.3777423714404
2025-07-15,1,50,1101.0572343352492,781.6949297189319
2025-07-15,1,51,1120.880016696889,810.0691175465662
2025-07-15,1,52,1074.401551383377,835.3763743687583
2025-07-15,1,53,1100.9325737349848,840.4481075259092
2025-07-15,1,54,1148.501544596013,845.9073105293273
2025-07-15,1,55,1170.9710199018446,899.5058380414647
2025-07-15,1,56,1163.340756151647,980.0539946853918
2025-07-15,1,57,1153.877802820975,1053.9598725399437
2025-07-15,1,58,1151.354858981109,1105.5321625752285
2025-07-15,1,59,1174.3320701130183,1151.486864342792
2025-07-15,1,60,1177.7970583942947,1182.2503198695013
2025-07-15,1,61,1181.9100394014322,1171.906694108754
2025-07-15,1,62,1142.4708893056932,1167.8701141231638
2025-07-15,1,63,1097.3278750544441,1178.4329643749754
2025-07-15,1,64,1106.7573847070425,1160.44578931797
2025-07-15,1,65,1135.3905518929882,1149.493777466047
2025-07-15,1,66,1152.9686254217927,1169.0453635636002
2025-07-15,1,67,1165.318890298388,1217.3146101281884
2025-07-15,1,68,1187.031761538727,1325.4113655629574
2025-07-15,1,69,1208.7536111871575,1422.997624874652
2025-07-15,1,70,1147.8567489784073,1398.6702052585872
2025-07-15,1,71,1086.3428152005283,1369.5573423266276
2025-07-15,1,72,1083.506382338668,1412.6822357657384
2025-07-15,1,73,1120.6657803113198,1486.733594587801
2025-07-15,1,74,1105.2708696268587,1498.5854693407682
2025-07-15,1,75,1035.219171826206,1445.4442474126581
2025-07-15,1,76,1053.2536000574755,1410.9708518825728
2025-07-15,1,77,1101.953727478979,1423.4190064504492
2025-07-15,1,78,1141.9049824491908,1454.5645611503876
2025-07-15,1,79,1133.2097466618084,1455.580119158541
2025-07-15,1,80,1157.0653229162585,1436.4609863506946
2025-07-15,1,81,1206.6300460918123,1406.367479581795
2025-07-15,1,82,1165.9052214380836,1359.275173926118
2025-07-15,1,83,1156.449827469713,1298.1023033219747
2025-07-15,1,84,1201.3186642771907,1237.0193143946026
2025-07-15,1,85,1218.528318863957,1185.9431055369869
2025-07-15,1,86,1188.845493241349,1122.8467942005193
2025-07-15,1,87,1154.4560331330117,1074.422988608465
2025-07-15,1,88,1189.6469045133,1090.0601869037132
2025-07-15,1,89,1231.515407628744,1104.4715185869484
2025-07-15,1,90,1230.5844061190214,1076.1228875958327
2025-07-15,1,91,1196.0918841434382,1016.2677115263187
2025-07-15,1,92,1185.6386752924286,942.913470947294
2025-07-15,1,93,1189.616422202366,877.6708786151526
2025-07-15,1,94,1179.47080516315,831.1280166444982
2025-07-15,1,95,1231.5264911806673,775.5547550795235
2025-07-15,1,96,1285.6890594045617,712.6435737953832
2025-07-15,1,97,1239.7228200427078,679.717585589786
2025-07-15,1,98,1222.8823333434398,664.5502994545086
2025-07-15,1,99,1227.7041025252056,634.1148510442745
2025-07-15,1,100,1142.8016769233604,563.1363489950094
2025-07-15,1,101,1154.662546367591,494.0240816774474
2025-07-15,1,102,1243.6791032159801,450.79868723104414
2025-07-15,1,103,1256.3381843949132,417.48152336629454
