month,series,MAE_kwh,WAPE,n_days,n_samples
2,load,32.8540863722423,0.04364158380169731,28,4032
2,pv,19.50359566301274,0.05950813298354211,28,4032
3,load,20.90201419930452,0.028792642771700114,31,4464
3,pv,28.330547625731786,0.07377116791185626,31,4464
4,load,27.53190593783839,0.037603530176330294,30,4320
4,pv,31.450455400366824,0.06984629379633295,30,4320
5,load,23.214853572235565,0.031644552204746795,31,4464
5,pv,31.770596302194736,0.06792211474591561,31,4464
6,load,27.28087049910443,0.034098441023227434,30,4320
6,pv,35.488086017897714,0.0898498308800704,30,4320
7,load,36.71881143954555,0.04127828213584543,31,4464
7,pv,32.80179315377015,0.07227043053944014,31,4464
8,load,27.40381292131388,0.03259011049313568,31,4464
8,pv,33.22566284776387,0.0683657233502849,31,4464
9,load,35.997687733972136,0.0476169293028476,30,4320
9,pv,30.084513721447628,0.06922346852239228,30,4320
10,load,66.91330205733948,0.09235749072317635,31,4464
10,pv,24.13498937213316,0.0612482074336168,31,4464
11,load,57.22941377218469,0.07916147978687858,30,4320
11,pv,15.761638755815973,0.050998187756857064,30,4320
12,load,24.060319087784276,0.030772223709371372,31,4464
12,pv,13.386384760338588,0.05305611772359467,31,4464
