date,scenario,interval,L_scen_kwh,G_scen_kwh
2025-07-15,1,1,815.6969987088428,0.0
2025-07-15,1,2,822.0633208796396,0.0
2025-07-15,1,3,850.9646865415676,0.0
2025-07-15,1,4,866.6358411661381,0.0
2025-07-15,1,5,930.0186612891334,0.0
2025-07-15,1,6,918.6780160723524,0.0
2025-07-15,1,7,912.090352321173,0.0
2025-07-15,1,8,854.8602573708624,0.0
2025-07-15,1,9,867.4457238819774,0.0
2025-07-15,1,10,903.7430408374739,0.0
2025-07-15,1,11,893.7587688321255,0.0
2025-07-15,1,12,875.5769515790221,0.0
2025-07-15,1,13,896.883950350368,0.0
2025-07-15,1,14,871.8977630425618,0.0
2025-07-15,1,15,847.4510455835104,0.0
2025-07-15,1,16,874.882612517587,0.0
2025-07-15,1,17,907.1486149729681,0.0
2025-07-15,1,18,891.4560173568748,0.0
2025-07-15,1,19,859.3044068417364,0.0002833333333333333
2025-07-15,1,20,853.9289616191627,0.0
2025-07-15,1,21,816.8241319608044,0.0
2025-07-15,1,22,829.0522211542759,0.004
2025-07-15,1,23,841.2642554881863,0.0
2025-07-15,1,24,829.7626018662463,0.0
2025-07-15,1,25,789.6393606788032,0.055716666666666664
2025-07-15,1,26,783.9568779151142,0.0
2025-07-15,1,27,816.2838241725665,0.0
2025-07-15,1,28,813.4429878645415,1.0953816445477687
2025-07-15,1,29,806.8835928513402,0.0
2025-07-15,1,30,810.5790176845228,0.0
2025-07-15,1,31,756.963010732099,17.705331726226486
2025-07-15,1,32,770.7576723742986,46.56557886078996
2025-07-15,1,33,823.9879162792079,81.11908017732978
2025-07-15,1,34,795.5138474016926,117.94098541554304
2025-07-15,1,35,817.3673902933909,166.1247515886643
2025-07-15,1,36,969.4419093064973,215.1527750592827
2025-07-15,1,37,984.7803152408414,244.8921688698029
2025-07-15,1,38,936.0174439224318,286.3521296695452
2025-07-15,1,39,920.4685624947142,339.21343513847495
2025-07-15,1,40,958.3389316950704,373.3775162229901
2025-07-15,1,41,969.9864036329034,418.2739237845003
2025-07-15,1,42,943.2916605352539,486.48060628691127
2025-07-15,1,43,966.580355165468,557.3386939621424
2025-07-15,1,44,921.5451746699597,605.0793020541557
