month,series,MAE_kwh,WAPE,n_days
2,load,19.380526473799673,0.025744038675868858,28
2,pv,19.92379991339531,0.06079023351741634,28
3,load,18.387840399913728,0.025329354144031122,31
3,pv,28.486279870664706,0.07417668600285858,31
4,load,16.277036970627464,0.022231444938398962,30
4,pv,30.86866872639572,0.06855424118724725,30
5,load,21.095133772510806,0.02875512696443217,31
5,pv,31.810186069227548,0.06800675340593916,31
6,load,25.119563167735155,0.031397016573659974,30
6,pv,34.10392053066627,0.08634535800218532,30
7,load,33.052835903101304,0.03715709284447643,31
7,pv,32.026452760413044,0.07056216465958849,31
8,load,25.010099019712825,0.029743375231654663,31
8,pv,32.958421976179025,0.06781584371121284,31
9,load,26.506226029662518,0.035061837867675416,30
9,pv,28.89148980943938,0.06647836005947942,30
10,load,46.44794206328982,0.06411005355175695,31
10,pv,23.070137503672715,0.05854589556929733,31
11,load,26.09606171446462,0.0360968726702347,30
11,pv,14.75230110377253,0.047732385774814874,30
12,load,23.981543257552723,0.030671472449093715,31
12,pv,13.018113014724912,0.051596495171324724,31
