date,strategy,soc_initial_kwh,soc_final_kwh,zero_plan_kwh,final_plan_kwh,used_plan_kwh,emergency_kwh,curtail_kwh,spill_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,soft_terminal_deviation_kwh
2025-02-01,S0,6000.0,6000.000000000003,51868.30692697806,51868.30692697807,45275.465432746176,35.51561408291121,5466.900769959796,1300.732608718623,21921.95649903858,17756.784764221255,27631.61269087223,0.0,27631.61269087223,173.4538598212606,27805.06655069349,27805.06655069349,4.547473508864641e-13,2.0372681319713593e-10,0,2.7284841053187847e-12
2025-02-02,S0,6000.000000000003,6000.000000000004,98867.75183414768,98867.75183414767,87366.32776818154,43.537618630352995,3592.833333342912,584.0874368022567,25666.666666666657,20790.0,63449.261397272196,7.275957614183426e-12,63449.2613972722,136.73773580612394,63585.99913307832,63585.999133078316,2.2737367544323206e-13,1.7462298274040222e-10,0,9.094947017729282e-13
2025-02-03,S0,6000.000000000004,6000.0000000000055,103072.2583239474,103072.25832394738,90021.85584154911,0.0,4281.935825,599.384415417423,25913.784742798347,20990.165641666663,66316.14009894637,0.0,66316.14009894637,0.0,66316.14009894637,66316.14009894636,9.094947017729282e-13,1.4551915228366852e-10,0,1.8189894035458565e-12
2025-02-04,S0,6000.0000000000055,6000.0000000000055,98875.82472732317,98875.82472732315,89023.9857361792,156.36882388665856,2564.3340955506096,544.4898478485875,25666.66666666666,20790.000000000007,63487.307859349414,-7.275957614183426e-12,63487.30785934941,400.7082259298401,63888.01608527925,63888.01608527925,9.094947017729282e-13,9.968026404294505e-12,0,0.0
2025-02-05,S0,6000.0000000000055,6000.00000000001,90752.97991106953,90752.97991106949,86338.14601068413,742.2837020526323,1399.979298685187,179.70359165712784,25012.209679269206,20259.889840208056,57251.381916445054,-7.275957614183426e-12,57251.38191644505,2643.596624909783,59894.97854135483,59894.97854135483,4.547473508864641e-13,2.4556356947869062e-11,0,4.547473508864641e-12
2025-02-06,S0,6000.00000000001,6000.000000000012,97174.60809534663,97174.60809534664,87933.33688989846,150.48152127260767,2624.884187945354,311.2103398924022,25666.666666666657,20790.000000000004,61822.0292430106,7.275957614183426e-12,61822.029243010606,611.7303709766884,62433.75961398729,62433.75961398729,9.094947017729282e-13,1.978150976356119e-11,0,1.8189894035458565e-12
2025-02-07,S0,6000.000000000012,6000.000000000012,49461.19958237683,49461.19958237682,43074.68469517763,23.514734945149655,6503.3344626111375,724.6205524509519,21392.446044179087,17327.88129578506,25971.149310185945,3.637978807091713e-12,25971.14931018595,85.67911532653054,26056.828425512478,26056.828425512478,1.1368683772161603e-13,6.59383658785373e-12,0,0.0
2025-02-08,S0,6000.000000000012,6000.000000000014,37315.82279097455,37315.822790974555,36173.084652257654,1161.2582198096316,1722.9661827894076,427.1772193385196,18984.40396459312,15377.367211320423,19455.45121980358,3.637978807091713e-12,19455.451219803585,4248.804089409303,23704.255309212887,23704.255309212887,9.094947017729282e-13,9.322320693172514e-12,0,1.8189894035458565e-12
2025-02-09,S0,6000.000000000014,6000.0000000000155,91364.28525901763,91364.2852590176,86589.0385663707,212.05129610347777,2314.5631145663765,212.77744790780946,24833.33333333333,20115.000000000004,57702.9656059109,1.4551915228366852e-11,57702.96560591091,841.5841104397291,58544.54971635064,58544.54971635063,9.094947017729282e-13,1.056577048075269e-11,0,1.8189894035458565e-12
2025-02-10,S0,6000.0000000000155,6000.000000000018,88498.77030081347,88498.77030081351,82626.59951591925,153.07421607241065,3353.7371643827587,380.9656509422472,24833.33333333333,20115.0,55700.294270725666,7.275957614183426e-12,55700.29427072567,584.1426757221949,56284.436946447866,56284.43694644786,9.094947017729282e-13,4.274625098332763e-11,0,2.7284841053187847e-12
2025-02-11,S0,6000.000000000018,6000.000000000018,89586.85406395476,89586.85406395477,82730.42906565974,242.68109206988095,2835.9772047060437,127.2702181550477,25206.661060711744,20417.39545917652,56655.888442712574,0.0,56655.888442712574,1092.77707032346,57748.66551303603,57748.66551303603,4.547473508864641e-13,2.3590018827235326e-12,0,0.0
2025-02-12,S0,6000.000000000018,6000.000000000022,88116.23253782178,88116.23253782182,82488.29364316892,368.1485376450081,2650.3910868580124,220.98162728927878,24833.33333333333,20114.999999999996,55348.6837085502,0.0,55348.6837085502,1444.1189406675505,56792.802649217745,56792.802649217745,3.637978807091713e-12,0.0,0,3.637978807091713e-12
2025-02-13,S0,6000.000000000022,6000.000000000022,84126.50026176737,84126.5002617674,78841.65425727368,398.4138996109275,3114.756387069317,284.96522619176164,23741.408036615005,19230.54050965815,52480.86898452156,0.0,52480.86898452156,1283.7758597621932,53764.64484428376,53764.64484428375,9.094947017729282e-13,7.261746759468224e-12,0,0.0
2025-02-14,S0,6000.000000000022,6000.000000000021,41415.06768919979,41415.06768919978,39509.12673208339,420.660127068968,5824.012540939792,456.2806269427793,20251.009866332115,16403.317991729018,21220.058046122544,0.0,21220.058046122544,1471.5281563181402,22691.586202440685,22691.586202440685,9.094947017729282e-13,1.4210854715202004e-12,0,9.094947017729282e-13
2025-02-15,S0,6000.000000000021,6000.00000000002,41115.47099932063,41115.47099932062,39047.24504763758,582.2350637338383,6435.912803637438,412.68906630016147,18425.195481230632,14924.408339796822,21476.48846844002,0.0,21476.48846844002,2531.3947590864436,24007.883227526465,24007.883227526465,9.094947017729282e-13,1.1780798558902461e-11,0,9.094947017729282e-13
