date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells
2025-02-01,0,S6,0.0,33195.36553002063,80642.57386566818,42688.77507127642,6000.0,6000.0,6,32
2025-02-01,6,S6,1237.7631238760764,26491.156910562077,99966.97278069059,41238.531317490335,10134.600113339688,6000.0,36,0
2025-02-02,0,S6,0.0,73355.66360720506,162509.70815875757,91191.11818418211,5908.324670686084,5908.324670686084,0,0
2025-02-02,6,S6,3.557176543001347,58581.555986909436,136215.27017530933,74127.80634235601,10800.0,5908.324670686084,0,0
2025-02-03,0,S6,0.0,75944.45038243356,162594.53976705583,93279.15865439617,5879.405980450498,5879.405980450498,0,12
2025-02-03,6,S6,9085.724110562776,49275.169423983694,49759.78623660594,49376.04255040825,10800.0,5879.405980450498,0,12
2025-02-04,0,S6,0.0,69528.68045225412,118949.40370338141,79417.47076914622,5879.405980450498,5879.405980450498,0,46
2025-02-04,6,S6,18.05276378540333,59312.17039333452,141125.0013230928,75723.9058383785,10800.0,5879.405980450498,0,16
2025-02-05,0,S6,0.0,58697.72450511189,61644.126601586,59291.53213435865,5794.721201917275,5794.721201917275,0,8
2025-02-05,6,S6,339.7383129095491,45221.663829581244,46426.93937686383,45466.64731395062,10800.0,5794.721201917275,0,3
2025-02-06,0,S6,0.0,63404.72822684586,65914.53706735061,63911.335661613426,5794.721201917272,5794.721201917272,0,33
2025-02-06,6,S6,5219.502173493558,47317.16078804902,47761.93681635667,47430.74418745051,10800.0,5794.721201917272,0,0
2025-02-07,0,S6,0.0,26992.74432375013,27952.475583732983,27188.562608480686,5755.931786083671,5755.931786083671,18,6
2025-02-07,6,S6,2536.948527010601,15651.367174851714,15976.698650334913,15719.647150012372,10188.920510276414,5755.931786083671,18,12
2025-02-08,0,S6,0.0,20408.53099704692,21993.24446897369,20728.90986854988,5755.9317860836745,5755.9317860836745,23,0
2025-02-08,6,S6,293.16731781619933,12367.778037568956,13545.888348716087,12616.432715998251,7511.720028549488,5755.9317860836745,16,0
2025-02-09,0,S6,0.0,59213.071802889484,61985.69106466568,59772.09048857804,5737.036836654911,5737.036836654911,0,0
2025-02-09,6,S6,746.7219420514043,45295.57917002927,46184.443530089346,45502.42685441799,10800.0,5737.036836654911,0,0
2025-02-10,0,S6,0.0,57177.89032551352,60746.597304041105,57896.126554552284,5689.615013773039,5689.615013773039,0,0
