date,strategy,soc_initial_kwh,soc_final_kwh,zero_plan_kwh,final_plan_kwh,used_plan_kwh,emergency_kwh,curtail_kwh,spill_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,soft_terminal_deviation_kwh
2025-02-01,S6_12,6000.0,6000.0,51868.30692697806,49886.572228377205,44877.10868763327,15.573105548266028,4806.221477113065,1640.4198220603773,21409.81347723559,17341.948916560832,27631.61269087223,54.09361339507086,27685.7063042673,70.61664812884003,27756.322952396138,29764.15258031886,1.8189894035458565e-12,2.0372681319713593e-10,0,0.0
2025-02-02,S6_12,6000.0,6000.0,98867.75183414768,98867.75183414767,87610.05378343459,43.53761863035277,3819.723688591704,566.913483594471,25845.664630940566,20934.98835106186,63449.26139727219,1.4551915228366852e-11,63449.2613972722,136.73773580612252,63585.99913307832,63585.99913307832,9.094947017729282e-13,1.4551915228366852e-10,0,0.0
2025-02-03,S6_12,6000.0,5999.999999999999,103072.25832394739,99207.01150948752,88760.5924191797,61.33618596186432,3088.892911075121,582.6958840776565,25965.38584204636,21031.96253205755,66316.14009894637,-1509.677966158124,64806.46213278825,300.9744921893916,65107.43662497764,68126.79255729387,1.8189894035458565e-12,1.1641532182693481e-10,0,9.094947017729282e-13
2025-02-04,S6_12,5999.999999999999,5999.999999999999,98875.82472732317,93305.07864961389,87824.12341921538,158.70829639957878,1547.3189068247466,497.0161873721256,24966.48774430557,20222.855072887527,63487.307859349414,-2111.221518854196,61376.08634049522,435.99390925325224,61812.08024974847,66042.04149145685,9.094947017729282e-13,2.9103830456733704e-11,0,0.0
2025-02-05,S6_12,5999.999999999999,5966.133312972357,90752.97991106953,89419.49168275225,85610.07218492415,557.4248167443255,671.6371302018077,176.13023288343754,24219.908808288274,19648.60615303839,57251.381916445054,-471.9985430743982,56779.383373370656,2092.4944982571233,58871.87787162778,59921.41326248937,3.637978807091713e-12,1.807620719773695e-11,0,33.866687027642
2025-02-06,S6_12,5966.133312972357,5920.034164277944,97174.11445240909,89956.08707079744,86124.91543161483,198.82528820717533,1144.4084310156527,290.2157020860385,24523.940020413942,19905.880650360272,61821.96476884141,-2618.726431980067,59203.238336861345,871.5634937669046,60074.80183062825,65325.785405588394,1.8189894035458565e-12,8.660094863444101e-11,0,46.09914869441309
2025-02-07,S6_12,5920.034164277944,5909.482462842662,49464.35804210532,44415.23817418395,40827.26772809524,17.783970658517887,4340.3497218559105,702.3741042331787,21084.97230152511,17088.324095527096,25971.49582880741,-1394.3136997785223,24577.182129028886,79.49059398741991,24656.672723016305,27448.09525962335,1.8189894035458565e-12,1.2921219649797422e-11,0,10.551701435281757
2025-02-08,S6_12,5909.482462842662,5841.501414295206,37315.82279097455,37490.96443246899,36220.93583926426,794.1155546069328,1479.803109533139,432.6553560451437,18876.911343783984,15351.481132157738,19455.742887423312,207.3495397292245,19663.092427152536,3192.177980448789,22855.270407601325,22855.270407601325,1.8189894035458565e-12,9.094947017729282e-12,0,67.98104854745634
2025-02-09,S6_12,5841.501414295206,5840.501830752217,91364.28525901762,89685.80681151009,85415.97849334746,200.00787012959637,1306.720201361848,212.44889180690518,23906.846993843617,19365.445690202032,57703.65243311562,-596.1106478686706,57107.54178524695,763.4325553745683,57870.97434062151,59090.19781884711,5.4569682106375694e-12,3.923616986867273e-11,0,0.9995835429890576
2025-02-10,S6_12,5840.501830752217,5818.545395224293,88498.77030081348,84076.95591937074,80397.44928549833,215.49541390772328,1365.2477417762593,377.4718309369713,24017.622817550677,19474.035274191167,55700.98542945907,-1547.512959235013,54153.47247022406,721.0438958128086,54874.51636603686,57986.89470673579,6.139089236967266e-12,5.1073811846436e-11,0,21.95643552792353
2025-02-11,S6_12,5818.545395224293,5818.545395224296,89586.85406395476,83293.23574143126,80148.3209347082,362.077735064224,764.1212381610907,126.55076172523343,23153.313350277887,18754.18381372509,56656.67474599993,-2340.384911220768,54316.28983477916,1676.2415456046592,55992.53138038382,60860.39320585441,5.002220859751105e-12,3.227285105822375e-11,0,2.7284841053187847e-12
2025-02-12,S6_12,5818.545395224296,5818.545395224299,88116.23253782176,82738.5073103991,79932.0228185576,507.4515838397781,472.4162696698696,221.1125552157739,23574.786548307457,19095.577104129046,55349.47001183756,-1907.848268902948,53441.621742934614,2024.0494362228637,55465.67117915748,59303.907882283725,1.8189894035458565e-12,1.7209345060109627e-11,0,2.7284841053187847e-12
2025-02-13,S6_12,5818.545395224299,5780.497898824392,84126.50026176736,80380.25332854109,76958.87486829415,386.4936942440206,1339.7178632181715,230.25051345104373,23579.810084011377,19133.888914809137,52481.65528780891,-1297.2775344077236,51184.37775340119,1284.989782772639,52469.36753617383,55080.01691014286,2.9558577807620168e-12,2.1657342585967854e-11,0,38.04749639990678
2025-02-14,S6_12,5780.497898824392,5780.497898824394,41415.06768919978,39938.50216515846,38362.78348996773,364.32921811250503,4850.382357413566,419.53430756751203,19238.91698122367,15583.522754791176,21221.009221894303,-108.74818691140172,21112.2610349829,1264.1748365273254,22376.435871510228,23109.10764728113,2.7284841053187847e-12,8.057554623519536e-12,0,1.8189894035458565e-12
2025-02-15,S6_12,5780.497898824394,5718.152975017084,41115.03151353114,40084.116028119606,38720.40193225448,258.4638240200635,5709.188519971544,432.00379155296974,19019.43566408733,15461.85331933732,21477.439644211783,-285.03460493178864,21192.405039279995,976.5362041096749,22168.94124338967,22807.455829666997,1.3642420526593924e-12,6.991740519879386e-12,0,62.3449238073099
