date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells
2025-02-01,0,S6_12,0.0,33195.36553002063,80642.57386566818,42688.77507127642,6000.0,6000.0,6,32
2025-02-01,6,S6_12,1237.7631238760764,26491.156910562077,99966.97278069059,41238.531317490335,10134.600113339688,6000.0,36,0
2025-02-01,12,S6_12,3219.4978224769284,15270.996405466374,15518.877445586462,15322.446346474837,6636.9892944612,6000.0,18,0
2025-02-02,0,S6_12,0.0,73355.26634744469,162509.31089899724,91190.72092442175,6000.0,6000.0,0,0
2025-02-02,6,S6_12,3.557176543001461,58624.745253164,136258.4594415639,74171.00579475828,10800.0,6000.0,0,0
2025-02-02,12,S6_12,3.5571765429946254,42238.40791585988,90940.81311240097,51981.43181907549,6615.946500432392,6000.0,0,0
2025-02-03,0,S6_12,0.0,75943.92780834883,162594.01719297114,93278.6360803115,6000.0,6000.0,0,12
2025-02-03,6,S6_12,9085.724110562773,49331.982606527024,49816.59941914926,49432.86913228707,10800.0,6000.0,0,12
2025-02-03,12,S6_12,5220.477296102885,43664.74366558666,87607.8713479272,52455.94670953394,6553.029352922698,6000.0,0,0
2025-02-04,0,S6_12,0.0,69528.1578781694,118948.8811292967,79416.94819506152,5999.999999999999,5999.999999999999,0,46
2025-02-04,6,S6_12,18.05276378540333,59368.98357587786,141181.8145056361,75780.73242025732,10800.0,5999.999999999999,0,16
2025-02-04,12,S6_12,5588.798841494625,36219.06739364677,36637.75210841446,36305.19382947209,6450.0,5999.999999999999,0,0
2025-02-05,0,S6_12,0.0,58696.83496365352,61643.23706012764,59290.64259290029,5999.999999999999,5999.999999999999,0,8
2025-02-05,6,S6_12,339.7383129095491,45318.372952233556,46523.64849951614,45563.37924535827,10800.0,5999.999999999999,0,3
2025-02-05,12,S6_12,1069.6452121276207,33602.515349917325,34336.77639700015,33769.688813803354,5901.357553141711,5999.999999999999,0,0
2025-02-06,0,S6_12,0.0,63403.98544103128,65913.79428153604,63910.59287579885,5966.133312972357,5966.133312972357,0,33
2025-02-06,6,S6_12,5219.502173493567,47397.91493814607,47842.69096645374,47511.51738333769,10800.0,5966.133312972357,0,0
2025-02-06,12,S6_12,2010.143541451458,35327.63112494573,35928.11775433301,35474.54555064752,6450.000000000001,5966.133312972357,0,0
2025-02-07,0,S6_12,0.0,26992.03321344462,27951.764473427476,27187.85149817518,5920.034164277944,5920.034164277944,18,6
2025-02-07,6,S6_12,2536.9485270106,15728.677628578793,16054.009104061994,15796.975837337028,10188.920510276414,5920.034164277944,18,12
2025-02-07,12,S6_12,2532.751946775079,13901.747570779973,14398.043251154002,14008.602434504734,5433.220941023279,5920.034164277944,6,0
2025-02-08,0,S6_12,0.0,20408.036222644023,21992.749694570804,20728.415094146992,5909.482462842662,5909.482462842662,23,0
2025-02-08,6,S6_12,293.16731781619933,12440.117467508748,13618.227778655877,12688.789207124348,7511.720028549488,5909.482462842662,16,0
2025-02-08,12,S6_12,135.90573231539892,11997.422875643164,12884.113076647092,12212.770708702148,6565.311551560033,5909.482462842662,6,0
2025-02-09,0,S6_12,0.0,59212.61912305304,61985.238384829245,59771.63780874161,5841.501414295206,5841.501414295206,0,0
2025-02-09,6,S6_12,746.7219420514033,45344.79359327315,46233.65795333322,45551.65288483716,10800.0,5841.501414295206,0,0
2025-02-09,12,S6_12,1048.2061070114405,32620.363862292474,33441.96385859202,32787.47296515106,7329.437548189114,5841.501414295206,0,0
2025-02-10,0,S6_12,0.0,57177.899803607856,60743.27286898545,57895.46925001664,5840.501830752217,5840.501830752217,0,0
2025-02-10,6,S6_12,6822.30671530053,41199.76778575901,41685.158740392355,41300.46343264378,10383.804534499362,5840.501830752217,0,0
2025-02-10,12,S6_12,2426.013656547056,32503.079254775672,33008.25018980426,32618.01193677828,6717.988824882216,5840.501830752217,0,0
2025-02-11,0,S6_12,0.0,57907.46973982976,60832.82112890964,58497.10242329765,5818.545395224293,5818.545395224293,0,53
2025-02-11,6,S6_12,5127.672405904992,42753.86068450124,43471.67529499005,42901.105487417044,10320.166593472113,5818.545395224293,0,4
2025-02-11,12,S6_12,1608.1501440192785,32710.803196756744,32920.94897971758,32754.9321573598,7050.0,5818.545395224293,0,0
2025-02-12,0,S6_12,0.0,56819.49851283178,59647.93275184239,57389.68019396718,5818.545395224296,5818.545395224296,0,6
2025-02-12,6,S6_12,4398.560275027448,41730.12679113315,42134.420147285244,41827.94687705024,10416.674466879267,5818.545395224296,0,0
2025-02-12,12,S6_12,1053.4812122727399,31803.961559158564,32354.813163858762,31916.301254841102,7050.000000000001,5818.545395224296,0,0
2025-02-13,0,S6_12,0.0,54038.0550251489,56385.135477137024,54511.76831040118,5818.545395224299,5818.545395224299,0,0
2025-02-13,6,S6_12,4590.138731688709,39293.93986622307,39674.94025293581,39389.73436784242,9874.074074074075,5818.545395224299,0,0
2025-02-13,12,S6_12,940.8746129913834,30869.6959035222,31603.977571630545,31038.923214709786,6884.204541093411,5818.545395224299,0,0
