date,strategy,soc_initial_kwh,soc_final_kwh,zero_plan_kwh,final_plan_kwh,used_plan_kwh,emergency_kwh,curtail_kwh,spill_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,soft_terminal_deviation_kwh
2025-02-01,Sall,6000.0,5954.317617772974,51868.30692697806,49880.329160057016,44833.69890871383,17.2754031292406,4806.221477113065,1650.1630488988599,21355.410507905963,17338.996655408162,27631.61269087223,52.77347996062963,27684.38617083286,86.95684173337824,27771.343012566238,29781.812907357846,1.8189894035458565e-12,2.0372681319713593e-10,0,45.68238222702621
2025-02-02,Sall,5954.317617772974,5954.317617772972,98867.7518341477,98867.75183414767,87601.3222230801,49.982913257425935,3819.723688591704,558.2815133795622,25879.063075611546,20962.04109124535,63449.459354261846,7.275957614183426e-12,63449.45935426185,176.99655083132413,63626.45590509318,63626.45590509318,2.7284841053187847e-12,1.7462298274040222e-10,0,1.8189894035458565e-12
2025-02-03,Sall,5954.317617772972,5954.317617772969,103072.2583239474,99174.1365477524,88722.20462003909,61.33618596186432,3088.89291107512,548.1700002079706,25945.059972199353,21015.498577481474,66316.33805593601,-1518.2429167902228,64798.095139145786,300.9744921893916,65099.06963133518,68135.55546491564,1.8189894035458565e-12,1.7462298274040222e-10,0,2.7284841053187847e-12
2025-02-04,Sall,5954.317617772969,5933.6498823334805,98875.82472732317,93307.47301387636,87830.36277054495,164.88730567597236,1547.3189068247448,529.078403229306,24960.99883190744,20237.01001574058,63487.505816339064,-2110.4312086095015,61377.07460772956,434.4626913956213,61811.537299125186,66039.91792034417,1.8189894035458565e-12,6.433964472307707e-12,0,20.66773543948875
2025-02-05,Sall,5933.6498823334805,5933.6498823334805,90752.97991106953,89412.81337444524,85631.59966812596,574.0258288798096,671.637130201808,179.55605260485288,24242.133320346147,19636.127989480377,57251.66943362161,-481.198660060938,56770.47077356067,2200.233913248975,58970.704686809644,60020.24007767123,3.637978807091713e-12,1.6370904631912708e-11,0,0.0
2025-02-06,Sall,5933.6498823334805,5921.302093720137,97174.60809534663,89954.06114309705,86175.96579886496,180.42073416847512,1144.408431015669,283.1992817547024,24572.813754465435,19915.09215086902,61822.316760187154,-2619.25528985697,59203.06147033018,728.377980585335,59931.43945091552,65183.48074162947,1.8189894035458565e-12,1.978150976356119e-11,0,12.347788613343255
2025-02-07,Sall,5921.302093720137,5921.1135109952165,49464.35804210532,44409.09813251728,40846.55473668057,9.41454834637102,4340.349721855911,700.0225371195504,21105.72149388021,17095.804134495404,25971.49033444649,-1396.75089130352,24574.73944314297,26.564354773655865,24601.303797916626,27394.805580523673,1.8189894035458565e-12,6.10000938650046e-12,0,0.18858272492070682
2025-02-08,Sall,5921.1135109952165,5824.824452718977,37315.82279097455,37513.98685968042,36187.38253509787,797.46633788403,1479.803109533138,434.86871432224115,18840.392025834022,15347.37769337417,19455.705409601484,240.58527239467367,19696.290681996157,3209.575908085375,22905.866590081532,22907.275552831532,9.094947017729282e-13,5.4569682106375694e-12,0,96.2890582762393
2025-02-09,Sall,5824.824452718977,5824.824452718977,91364.2852590176,89684.82514484343,85397.08999137346,211.43998843129788,1306.720201361848,201.56288411670175,23920.16277715552,19375.33184949597,57703.72469994911,-597.4847848686622,57106.23991508045,817.0397875943867,57923.27970267484,59142.50318090042,5.4569682106375694e-12,4.4352077566145454e-11,0,0.0
2025-02-10,Sall,5824.824452718977,5790.019125045454,88498.77030081348,84087.97671682308,80370.62431055156,207.70122284163256,1365.2477417762516,351.70788146099005,24031.879588046315,19497.147261223687,55701.05336476388,-1546.8607419077744,54154.192622856106,620.1951939177482,54774.38781677385,57881.4092318403,4.547473508864641e-12,4.3797854232252575e-11,0,34.80532767352361
2025-02-11,Sall,5790.019125045454,5790.019125045454,89586.85406395476,83267.4798418666,80137.50984438555,375.79252983283567,764.1212381610957,129.80657684851906,23151.46013618676,18752.682710311285,56656.79835983737,-2377.494003792206,54279.30435604516,1753.177290115002,56032.481646160166,60901.31194409233,5.002220859751105e-12,1.4082957022765186e-11,0,0.0
2025-02-12,Sall,5790.019125045454,5742.20341840449,88116.23253782175,82769.82970612486,79898.13109062519,501.606883037545,472.4162696698743,235.7187144132131,23515.268380122023,19090.401523875706,55349.59362567499,-1864.8580866339908,53484.735539041,2055.7214751086153,55540.457014149615,59378.69371727585,2.7284841053187847e-12,5.0590642786119133e-11,0,47.81570664096398
2025-02-13,Sall,5742.20341840449,5709.875860540853,84126.50026176736,80403.55449166163,76984.95971589729,384.72168182283383,1339.7175965515062,246.41677955048192,23595.59372120356,19141.52571625216,52481.98610304181,-1266.6717053778702,51215.31439766394,1272.5202994784765,52487.83469714242,55098.48407111146,2.9558577807620168e-12,7.534461943237147e-11,0,32.327557863636684
