date,strategy,soc_initial_kwh,soc_final_kwh,zero_plan_kwh,final_plan_kwh,used_plan_kwh,emergency_kwh,curtail_kwh,spill_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,soft_terminal_deviation_kwh
2025-02-01,S12,6000.0,6000.000000000004,51868.30692697806,51868.30692697807,43081.719857762044,25.713321298467577,3410.4365271367974,1284.4824059870614,21233.35954001744,17199.021227414127,27631.61269087223,0.0,27631.61269087223,127.52521697974996,27759.13790785198,27759.13790785198,2.7284841053187847e-12,2.0372681319713593e-10,0,3.637978807091713e-12
2025-02-02,S12,6000.000000000004,6000.000000000004,98867.75183414768,98867.75183414767,87416.7480702503,43.537618630352995,3645.981231828719,566.913483594471,25742.700123459956,20851.587100002565,63449.261397272196,7.275957614183426e-12,63449.2613972722,136.73773580612394,63585.99913307832,63585.99913307832,9.094947017729282e-13,1.7462298274040222e-10,0,0.0
2025-02-03,S12,6000.000000000004,6000.000000000005,103072.2583239474,103072.25832394738,90097.37240825307,0.0,4351.215867262677,582.695884077657,26034.442931119716,21087.898774206973,66316.14009894637,0.0,66316.14009894637,0.0,66316.14009894637,66316.14009894636,9.094947017729282e-13,1.4551915228366852e-10,0,9.094947017729282e-13
2025-02-04,S12,6000.000000000005,6000.000000000012,98875.82472732318,98875.82472732317,87654.1533478957,150.07179381953404,1482.30912339791,499.4424939783087,24355.839864942067,19728.230290603075,63487.307859349414,0.0,63487.307859349414,386.9555122632402,63874.26337161265,63874.263371612644,3.637978807091713e-12,1.0231815394945443e-11,0,7.275957614183426e-12
2025-02-05,S12,6000.000000000012,5997.980561229914,90752.97991106953,90759.63080854417,85665.54424194094,744.25836317695,849.0508518296742,179.96297637887767,24390.417307731866,19758.055514155905,57251.381916445054,9.046550745057175,57260.42846719011,2657.3134398089946,59917.74190699911,59917.7419069991,9.094947017729282e-13,1.0267342531733448e-11,0,2.019438770097622
2025-02-06,S12,5997.980561229914,5944.851844246575,97174.11445240909,97196.42454407577,86256.7728891362,143.2421449242279,1315.0913579715389,296.61335994519743,24026.67865664233,19509.425557165287,61821.826764098965,25.98233275500388,61847.80909685397,618.7389778338022,62466.54807468777,62466.54807468777,1.8189894035458565e-12,8.391509709326783e-12,0,53.12871698333947
2025-02-07,S12,5944.851844246575,5938.531500659361,49461.19958237683,49462.39962404349,41691.00913746664,24.861396869793282,5182.079332822936,727.5075168911865,21085.74909044285,17085.1450724872,25971.388285527544,1.397568525004317,25972.78585405255,130.46153386971943,26103.247387922267,26103.247387922263,1.3642420526593924e-12,1.1148415524075972e-11,0,6.320343587213756
2025-02-08,S12,5938.531500659361,5871.831509127643,37315.82279097455,37489.15148659546,36223.31249441362,855.7286524204148,1525.7649399155023,426.203173928391,18999.68583527379,15449.775518950313,19455.649284968124,205.7397602232886,19661.389045191412,3211.7637984424273,22873.15284363384,22873.15284363384,9.094947017729282e-13,9.322320693172514e-12,0,66.6999915317183
2025-02-09,S12,5871.831509127643,5871.831509127643,91364.28525901763,91365.91522127159,86436.79299411632,201.42531986636848,2170.4761727537507,199.77775081347534,24802.886440783026,20090.338017034257,57703.521002704685,1.9795090319676092,57705.50051173665,772.8683523823546,58478.36886411901,58478.36886411901,9.094947017729282e-13,1.738698074404965e-11,0,0.0
2025-02-10,S12,5871.831509127643,5829.655476301104,88498.77030081347,88505.62576135829,82032.70089385707,112.95503186264733,2849.33319631941,377.1255547069619,24371.147478441693,19778.587887081656,55700.84966751945,7.983869350449822,55708.8335368699,439.3489096915695,56148.18244656147,56148.18244656146,9.094947017729282e-13,3.456079866737127e-11,0,42.176032826539085
2025-02-11,S12,5829.655476301104,5829.655476301102,89586.85406395476,89661.71650602082,80458.48058457825,251.67423615809287,973.4568139428775,124.37816663040178,23114.33003594606,18722.607329116316,56656.626602315264,100.5424952738249,56757.16909758909,1146.1981919920518,57903.36728958114,57903.36728958113,1.8189894035458565e-12,9.634959496906959e-12,0,1.8189894035458565e-12
2025-02-12,S12,5829.655476301102,5829.655476301104,88116.23253782178,88130.76754038314,81605.77603917863,419.16747038607775,1942.0935008162016,248.4536375899704,24040.3170411854,19472.656803360187,55349.42186815289,20.383967930727522,55369.805836083615,1682.5673816266244,57052.373217710236,57052.373217710236,1.3642420526593924e-12,4.092726157978177e-12,0,1.8189894035458565e-12
2025-02-13,S12,5829.655476301104,5787.685479901195,84126.50026176737,84147.86605400902,78252.28392399685,408.3965690809812,2689.236435860746,237.38697990399749,23380.79503898061,18976.216978334214,52481.60714412426,29.06175060701935,52510.66889473128,1352.8467901628994,53863.51568489418,53863.51568489418,9.094947017729282e-13,2.064126647383091e-11,0,41.96999639990827
2025-02-14,S12,5787.685479901195,5787.685479901195,41415.06768919978,41606.544482762016,39597.99011913941,347.20291904395003,5896.234564485128,395.0187821695584,20274.40986769474,16422.27199283274,21220.978075709638,235.82391664144598,21456.801992351084,1191.271070753281,22648.073063104366,22648.073063104366,9.094947017729282e-13,5.059064278611913e-12,0,0.0
2025-02-15,S12,5787.685479901195,5725.340556093886,41115.407509205106,41136.44624717925,38767.94472957302,531.6046173054116,6170.188101959021,412.09051297517743,18385.737175635757,14948.557543691542,21477.40849802712,28.616891392441175,21506.02538941956,2386.5958016969817,23892.62119111654,23892.62119111654,2.7284841053187847e-12,7.787548383930698e-12,0,62.34492380730899
