date,strategy,soc_initial_kwh,soc_final_kwh,zero_plan_kwh,final_plan_kwh,used_plan_kwh,emergency_kwh,curtail_kwh,spill_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,soft_terminal_deviation_kwh
2025-02-01,S6_12,6000.0,6000.000000000004,51868.30692697806,53106.196079909976,44896.17028975192,3.4049788813330224,4827.6105338599655,1624.381945444053,21417.930821030972,17348.523965035085,27631.61269087223,1058.0084273564316,28689.62111822866,13.602890630925424,28703.224008859586,28703.224008859583,1.1254996934439987e-11,2.0372681319713593e-10,0,3.637978807091713e-12
2025-02-02,S6_12,6000.000000000004,6000.000000000004,98867.75183414768,98867.75183414767,87610.05378343459,43.537618630352995,3819.723688591704,566.913483594471,25845.664630940566,20934.98835106186,63449.261397272196,7.275957614183426e-12,63449.2613972722,136.73773580612394,63585.99913307832,63585.99913307832,9.094947017729282e-13,1.7462298274040222e-10,0,0.0
2025-02-03,S6_12,6000.000000000004,6000.000000000006,103072.2583239474,103072.25832394738,86709.24266797291,32.622412591578154,1645.7487784773298,582.695884077657,22613.17851583956,18316.674597830046,66316.14009894637,0.0,66316.14009894637,162.55017896046633,66478.69027790683,66478.69027790682,9.094947017729282e-13,1.4551915228366852e-10,0,2.7284841053187847e-12
2025-02-04,S6_12,6000.000000000006,6000.000000000014,98875.82472732317,98880.81192732316,87744.0121094824,134.40904318616424,1535.1353963256672,499.4424939783087,24468.312170339857,19819.332857975285,63487.307859349414,3.7591019999963464,63491.06696134941,332.9268539534311,63823.99381530284,63823.993815302834,3.637978807091713e-12,1.5688783605583012e-11,0,7.275957614183426e-12
2025-02-05,S6_12,6000.000000000014,5997.980561229916,90752.97991106953,90789.13738728486,85773.95075244848,563.3916643666487,775.7027005264466,179.96297637887767,24395.090797208042,19761.841040631607,57251.381916445054,48.58537112376507,57299.96728756882,2135.903326541079,59435.870614109896,59435.87061410989,9.094947017729282e-13,1.0267342531733448e-11,0,2.019438770097622
2025-02-06,S6_12,5997.980561229916,5944.851844246575,97174.11445240909,97196.42454407577,86136.1443451655,139.50363840984272,1188.5487428876058,296.61335994519743,24038.128996636162,19518.7003325603,61821.826764098965,25.98233275500388,61847.80909685397,612.6018011446679,62460.410897998634,62460.410897998634,9.094947017729282e-13,8.334666290465975e-12,0,53.12871698334129
2025-02-07,S6_12,5944.851844246575,5938.531500659363,49461.19958237683,49462.39962404349,40710.91661855749,24.861396869793282,4071.854067744013,812.0021177584622,21325.94985519286,17279.707691934706,25971.388285527544,1.397568525004317,25972.78585405255,130.46153386971943,26103.247387922267,26103.247387922263,8.469669410260394e-12,1.1148415524075972e-11,0,6.320343587211937
2025-02-08,S6_12,5938.531500659363,5870.550452111906,37313.901932641216,37489.043574135656,36219.01498093093,796.0364129402662,1479.8031095331385,432.65535604514156,18876.911343783988,15351.481132157734,19454.80967779062,207.34953972923176,19662.159217519853,3196.3760163362895,22858.535233856142,22858.535233856142,9.094947017729282e-13,1.000444171950221e-11,0,67.98104854745634
2025-02-09,S6_12,5870.550452111906,5869.550868568918,91364.28525901762,91374.37207692358,85599.87270102567,174.22700534237927,1443.6522245226681,213.72803414680868,24011.595295897754,19450.291814865875,57703.52655395174,13.50109124413575,57717.02764519588,650.4904178702376,58367.51806306611,58367.518063066105,9.094947017729282e-13,1.738698074404965e-11,0,0.9995835429881481
2025-02-10,S6_12,5869.550868568918,5822.10813015669,88498.77030081348,89013.23364569341,80069.24035819195,154.27944781380785,1254.765383120949,367.13708792805676,22724.622190496986,18449.64243887357,55700.8595502952,581.3950260487618,56282.25457634396,622.3806106761625,56904.635187020125,56904.63518702012,1.8189894035458565e-12,3.54702933691442e-11,0,47.44273841222821
2025-02-11,S6_12,5822.10813015669,5822.108130156688,89586.85406395476,89661.7165060208,80366.46096403855,152.5860908750414,740.8194206792642,124.37816663040178,23332.90702247689,18899.65468820628,56656.659307481896,100.54249527381762,56757.20180275571,777.3087460309433,57534.51054878665,57534.51054878665,1.8189894035458565e-12,1.3738343795921537e-11,0,1.8189894035458565e-12
2025-02-12,S6_12,5822.108130156688,5822.10813015669,88116.23253782178,88130.76754038317,80290.01116558295,340.45713810434006,773.7695211001646,248.4536375899704,22850.047429809696,18508.53841814586,55349.45457331952,20.383967930720246,55369.83854125024,1399.3890947307193,56769.22763598096,56769.227635980955,1.3642420526593924e-12,8.412825991399586e-12,0,1.8189894035458565e-12
2025-02-13,S6_12,5822.10813015669,5777.084113960128,84126.50026176736,84135.01776732298,76534.3522028068,344.3976469306332,1178.5522321152796,221.2513904775317,22052.572763446322,17903.10555296843,52481.639849290885,10.488884894162766,52492.12873418505,1088.7653194854174,53580.89405367046,53580.89405367046,1.1368683772161603e-12,1.6751044995544362e-11,0,45.024016196562116
