date,strategy,soc_initial_kwh,soc_final_kwh,zero_plan_kwh,final_plan_kwh,used_plan_kwh,emergency_kwh,curtail_kwh,spill_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,soft_terminal_deviation_kwh
2025-02-01,Sall,6000.0,5961.072210365567,51868.30692697806,53106.196079909976,44866.68879801149,16.203631945861105,4827.6105338599655,1649.09127771548,21384.472082734494,17356.457397685932,27631.61269087223,1058.0084273564316,28689.62111822866,79.73149630062537,28769.352614529285,28769.35261452928,1.1254996934439987e-11,2.0372681319713593e-10,0,38.927789634432884
2025-02-02,Sall,5961.072210365567,5961.07221036557,98867.75183414768,98867.75183414767,87601.3222230801,49.98291325742639,3819.723688591704,558.2815133795593,25879.063075611542,20962.041091245348,63449.43008436061,7.275957614183426e-12,63449.43008436062,176.99655083132697,63626.42663519194,63626.42663519194,1.8189894035458565e-12,2.0372681319713593e-10,0,2.7284841053187847e-12
2025-02-03,Sall,5961.07221036557,5961.072210365569,103072.2583239474,103072.25832394739,86673.50246101143,32.622412591578154,1647.2946064757584,548.1700002079722,22598.65140483835,18304.90763791907,66316.30878603479,0.0,66316.30878603479,162.55017896046633,66478.85896499525,66478.85896499523,1.5916157281026244e-12,1.7462298274040222e-10,0,9.094947017729282e-13
2025-02-04,Sall,5961.072210365569,5940.40447492608,98875.82472732317,98880.81192732316,87745.50656385954,140.9568257974206,1535.1353963256672,526.9067216354016,24463.990966270718,19834.43364457483,63487.47654643783,3.7591019999963464,63491.235648437825,332.8752918864317,63824.11094032426,63824.11094032426,1.000444171950221e-11,1.5688783605583012e-11,0,20.66773543948875
2025-02-05,Sall,5940.40447492608,5940.404474926081,90752.97991106953,90792.43646592386,85766.64114979572,570.4990681794368,775.7027005264466,179.55605260485254,24386.60253426591,19753.148052755383,57251.640163720374,52.956495861159055,57304.59665958153,2182.2290962964644,59486.825755877995,59486.825755877995,1.8189894035458565e-12,1.6370904631912708e-11,0,9.094947017729282e-13
2025-02-06,Sall,5940.404474926081,5930.587208812735,97174.11445240909,97179.92361907575,86184.36422092392,126.74185495689238,1188.5487428876058,284.82540763996735,24081.63288520295,19514.958176516404,61822.07626047294,6.765355500014266,61828.84161597295,508.4142012205601,62337.255817193516,62337.255817193516,1.8189894035458565e-12,8.270717444247566e-12,0,9.817266113345795
2025-02-07,Sall,5930.587208812735,5930.398626087814,49464.35804210532,49464.35804210531,40700.93281479246,5.913919932665351,4047.284764113743,799.07249601985,21341.997538827876,17287.187730903017,25971.45009894776,0.0,25971.45009894776,12.871646733446136,25984.321745681205,25984.321745681205,9.094947017729282e-13,7.155165349104209e-12,0,0.18858272492161632
2025-02-08,Sall,5930.398626087814,5834.109567811576,37315.82279097455,37517.33435968042,36187.38253509788,797.4663378840307,1479.8031095331385,434.86871432224115,18840.39202583402,15347.377693374166,19455.6754908973,241.28975376967355,19696.965244666975,3209.57590808538,22906.541152752354,22906.54115275235,1.3642420526593924e-12,2.4087398742267396e-12,0,96.28905827623748
2025-02-09,Sall,5834.109567811576,5834.109567811576,91364.28525901763,91373.3904102569,85579.70505671178,185.65912364408362,1443.6522245226672,201.56288411670175,24024.91107920965,19460.177974159826,57703.68446445038,12.126954244129593,57715.81141869451,704.0976500900681,58419.909068784575,58419.909068784575,1.8189894035458565e-12,1.738698074404965e-11,0,0.0
2025-02-10,Sall,5834.109567811576,5799.304240138054,88498.77030081347,88855.80157168214,80070.9399858869,148.80161752908901,1254.765383120948,345.6231408345311,22758.106794912364,18465.39129878519,55701.01312926515,403.67803715991613,56104.691166425066,518.3599207290173,56623.05108715408,56623.051087154076,1.8189894035458565e-12,3.456079866737127e-11,0,34.80532767352179
