day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,emergency_kwh,load_kwh,pv_kwh,pv_used_kwh,curtail_kwh,unextracted_kwh,spill_kwh,plan_total_kwh,charge_kwh,discharge_kwh,final_soc,price_mean,eq_residual,ub_violation
31,2025-02-01,6000.000000000008,22387.578727966422,23225.26749871123,21450.56042196347,264.7316296615665,21715.292051625038,0.0009024178217723682,0.11484287449905597,0.12952252750304535,0,68.8591780440969,76305.20628333333,41927.03035,36496.535408371106,5430.494941628893,5806.738117281895,956.6587471584853,50562.458860515784,21364.475258722516,17305.22495956524,6000.000000000006,0.6514930555555556,1.8189894035458565e-12,7.275957614183426e-12
32,2025-02-02,6000.000000000006,81883.62063134946,178221.97306321515,71179.35925003106,83.0378033120227,71262.39705334308,0.00014598496024774516,0.13310425007503834,0.06793930930257915,0,17.76724157922341,121705.97265,43349.69469999999,40404.54638360432,2945.1483163956755,13246.565843235967,430.0070987565606,99520.23196680898,24000.0,19440.0,6000.0000000000055,0.8363881944444445,9.094947017729282e-13,1.4551915228366852e-11
33,2025-02-03,6000.0000000000055,77811.06124129612,132875.37081767764,71160.76127657437,34.62074364166677,71195.38202021604,6.00041368494417e-05,0.11426950263286582,0.05511574973866014,0,7.356733333333338,122603.769,42386.85249999999,40050.6693454005,2336.1831545995005,11280.642730158932,262.84644351264967,98719.62746177588,24370.501930727027,19740.106563888887,6000.000000000011,0.8447902777777778,2.205524651799351e-11,0.0
34,2025-02-04,6000.000000000011,78166.1346352722,135025.85543118836,71162.65442848658,502.6630654361055,71665.31749392269,0.001512409708369629,0.09815027034209144,0.0634648110448528,0,183.8758970258624,121578.09884999998,40383.2349,37820.3205276916,2562.9143723084053,9663.49910715115,342.09573677206333,98456.1639358724,25666.666666666668,20790.0,6000.000000000011,0.8491895833333333,9.094947017729282e-13,7.275957614183426e-11
35,2025-02-05,6000.000000000011,66265.7010464369,70104.02665979284,64366.11393268428,2923.945891454927,67290.05982413921,0.005653771822396562,0.050864399895093,0.03237828417093837,0,689.7097557527799,121991.08443333334,41242.65745,39907.29096711923,1335.3664828807682,4630.476425605313,164.50423335725839,91035.70346166662,25508.626801277504,20661.987709034773,6000.000000000014,0.8482541666666665,4.547473508864641e-13,2.9103830456733704e-11
36,2025-02-06,6000.000000000014,71562.44620757647,75459.4362965196,69559.49955415115,537.6851961865813,70097.18475033772,0.0011374810234782424,0.10749397225736396,0.03781554357050983,0,139.0595151504246,122252.1627,41981.10548333333,40393.56715979017,1587.5383235431607,10431.137537292096,201.9385160047018,97039.27874502286,24666.666666666664,19980.000000000007,6000.000000000015,0.8439645833333334,4.320099833421409e-12,1.4551915228366852e-11
37,2025-02-07,6000.000000000015,21622.00953824522,22212.24418039082,20820.69234788125,107.02717044277577,20927.719518324026,0.0003778056214087205,0.12279646091780383,0.1557731616957366,0,28.776924096228356,76168.59693333332,44362.91726666666,37452.36538199161,6910.551884675051,6162.673271250466,851.0250378780397,50186.08211661385,23604.89042231501,19119.96124207515,6000.000000000016,0.6440388888888888,3.865352482534945e-12,7.275957614183426e-12
38,2025-02-08,6000.000000000016,15931.605491791885,16751.191796768628,15357.955678804276,3682.130670995215,19040.08634979949,0.014835065208244453,0.029720958064502367,0.035740550082692155,0,1123.7085321247869,75746.78751666666,44169.6248,42590.97811270188,1578.6466872981214,1122.2637403550393,550.0470448429427,37760.01224184729,21345.26623583849,17289.665651029176,6000.000000000016,0.642351388888889,9.094947017729282e-13,3.637978807091713e-12
39,2025-02-09,6000.000000000016,66376.99463331989,69103.35158540902,64583.81616282232,1332.0875441526741,65915.90370697499,0.0025178524480585183,0.059312344204020734,0.051620060035385065,0,306.03968655171235,121547.90356666666,41992.48759999999,39824.832869052836,2167.6547309471625,5426.159542227455,165.6149389875385,91484.48969682807,23556.232655531363,19080.5484509804,6000.000000000018,0.8413840277777778,2.2737367544323206e-13,0.0
40,2025-02-10,6000.000000000018,61087.95600479487,64152.172607185246,59355.24168552173,792.0899732619093,60147.33165878364,0.0017848277403659438,0.06982846301422845,0.05068912367398299,0,216.8165269814403,121477.56451666665,47150.92693333333,44760.88776666666,2390.0391666666687,6104.606747854581,321.7664857335442,87422.90012327336,23666.666666666686,19170.000000000015,6000.00000000002,0.8180638888888889,2.2737367544323206e-13,7.275957614183426e-12
