day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,emergency_kwh,load_kwh,pv_kwh,pv_used_kwh,curtail_kwh,unextracted_kwh,spill_kwh,plan_total_kwh,charge_kwh,discharge_kwh,final_soc,price_mean,eq_residual,ub_violation
31,2025-02-01,1199.9999999999995,21587.7379366809,215877.37936680904,20276.65793471576,461.1465229670461,20737.804457682807,0.0016241468532518693,0.10009498589027767,0.10166123238623569,0,123.93086067181059,76305.20628333333,41927.03035,37664.67677432389,4262.353575676107,4877.929974434411,1033.4578484026154,48733.01026068888,22658.01994481169,18352.996155297464,1200.000000000001,0.6514930555555556,9.094947017729282e-13,1.4551915228366852e-11
32,2025-02-02,1200.000000000001,65786.72649096453,657867.2649096454,63172.263961869874,920.3853066093343,64092.64926847921,0.0016344822654716243,0.056559936017628404,0.038010294399594156,0,198.92625389839955,121705.97265,43349.69469999999,41701.96004232047,1647.7346576795262,5105.585773535666,392.2113594282391,90268.591745655,26135.3066258419,21169.598366931936,1200.0000000000027,0.8363881944444445,9.094947017729282e-13,8.731149137020111e-11
33,2025-02-03,1200.0000000000027,72998.52373297486,729985.2373297486,64961.1154816036,339.8405526501287,65300.95603425373,0.0005888598078000214,0.050602736684928956,0.04077773186385979,0,72.19643184889821,122603.769,42386.85249999999,40658.41279420202,1728.4397057979745,4624.926221299449,247.0225327504478,91396.76081346987,24482.380449846856,19830.728164375952,1200.0000000000043,0.8447902777777778,9.094947017729282e-13,2.9103830456733704e-10
34,2025-02-04,1200.0000000000043,62323.201918025035,623232.0191802502,63024.15204426279,5208.610625423165,68232.76266968595,0.009303660603923387,0.04086933839082068,0.0032471435517581527,0,1131.121368570648,121578.09884999998,40383.2349,40252.10473919533,131.1301608046698,3621.899864297515,331.2875904397853,88621.44597650251,23544.135681743122,19070.749902211934,1200.000000000001,0.8491895833333333,9.094947017729282e-13,8.731149137020111e-11
35,2025-02-05,1200.000000000001,66002.71015079712,660027.1015079714,66862.95457538524,1340.293751405412,68203.24832679065,0.0029926711504009015,0.054626007555462985,0.04824498421370789,0,365.0791989897572,121991.08443333334,41242.65745,39252.90609239339,1989.7513576066121,5055.980108100448,267.37257781119865,92556.28105288494,25578.0485527532,20718.21932773009,1200.0,0.8482541666666665,4.547473508864641e-13,4.3655745685100555e-11
36,2025-02-06,1200.0,64772.87810333108,647728.7810333109,64954.38702278084,1049.1783515543532,66003.56537433519,0.001796470296926766,0.04537290991422549,0.03712469857607685,0,219.62237902560832,122252.1627,41981.10548333333,40422.56959637409,1558.5358869592371,4135.00047419539,416.8044055317456,91133.68487964156,26167.94355428491,21196.03427897078,1200.0000000000005,0.8439645833333334,9.094947017729282e-13,2.9103830456733704e-11
37,2025-02-07,1200.0000000000005,26453.052374306957,264530.5237430696,18993.046806014278,402.3589890936032,19395.40579510788,0.001360919264622502,0.0860306228804507,0.10295442123148865,0,103.65931092583975,76168.59693333332,44362.91726666666,39795.55879533658,4567.358471330081,3847.909879145453,767.5522856335241,44727.211663834634,20223.00353676184,16380.632864777092,1200.0000000000018,0.6440388888888888,1.1368683772161603e-13,2.1827872842550278e-11
38,2025-02-08,1200.0000000000018,17167.419142982144,171674.19142982148,16850.664948846716,1795.2142643262546,18645.87921317297,0.007389573182622529,0.03546913252631627,0.0585238584352275,0,559.7364297029669,75746.78751666666,44169.6248,41584.64793106768,2584.9768689323137,1424.2506403359962,726.3306067116583,40154.651069610336,23166.666666666664,18765.000000000004,1200.0000000000002,0.642351388888889,9.094947017729282e-13,1.0913936421275139e-11
39,2025-02-09,1200.0000000000002,58685.609175082274,586856.0917508228,61115.17091118791,3962.6046919775085,65077.77560316542,0.007785389940352556,0.0282731147320014,0.02426818677369587,0,946.2978256988691,121547.90356666666,41992.48759999999,40973.40606783109,1019.0815321689076,2457.8234215915145,142.46918194536863,86931.46987479189,24752.51367430688,20049.536076188568,1200.0000000000023,0.8413840277777778,9.094947017729282e-13,6.548361852765083e-11
40,2025-02-10,1200.0000000000023,61955.700914353554,619557.0091435356,60054.3607169566,725.3660290133314,60779.726745969936,0.0019151090495834312,0.06830115193793941,0.05471977915504187,0,232.64278312722342,121477.56451666665,47150.92693333333,44570.83862458581,2580.0883087475154,5985.544386089845,431.82672653650775,87634.60375497767,23911.31333367209,19368.163800274393,1200.0000000000068,0.8180638888888889,9.094947017729282e-13,4.3655745685100555e-11
41,2025-02-11,1200.0000000000068,60967.66876892508,609676.6876892509,58828.85624748435,757.3311835845941,59586.187431068945,0.0012777414318835619,0.05613307324515937,0.025510861026745105,0,155.17055706265455,121441.28161666667,46220.68448333333,45041.55502491798,1179.1294584153504,4808.145246249117,157.45549719420399,85656.19105246027,23400.18039121548,18954.14611688454,1200.0000000000002,0.8284923611111111,2.2737367544323206e-13,4.3655745685100555e-11
42,2025-02-12,1200.0000000000002,56097.14941442155,560971.4941442156,55539.93227843725,5326.395605198091,60866.32788363534,0.009446510593217638,0.02806218220252268,0.013530475756748024,0,1146.4649218961154,121363.85288333334,46097.116749999994,45473.40082935814,623.7159206418581,2296.9757856393635,332.6112938482703,81853.07076485571,23576.297648889547,19096.80109560053,1200.000000000001,0.8264243055555556,9.094947017729282e-13,4.3655745685100555e-11
43,2025-02-13,1200.000000000001,58562.561577891014,585625.6157789101,56624.0222735116,1173.9528509777467,57797.97512448934,0.002741461524001121,0.06470620523680475,0.054623502579771034,0,332.5674752749013,121310.28371666666,49980.80469999999,47250.67808553051,2730.126614469482,5435.361232995802,302.6735003614642,84000.61807216259,23871.290436547766,19335.745253603687,1200.0000000000023,0.8147909722222221,9.094947017729282e-13,2.9103830456733704e-11
44,2025-02-14,1200.0000000000023,20492.651187303796,204926.511873038,15652.61169373693,4946.796405920456,20599.408099657387,0.02171482808401856,0.0359795805656037,0.0781201012366127,0,1647.5612893652324,75872.63794999999,46070.83613333333,42471.777750541936,3599.0583827913943,1338.2166114760478,521.5047063728884,37193.78020641453,18846.10514985665,15265.345171383886,1199.9999999999982,0.6311,9.094947017729282e-13,1.4551915228366852e-11
45,2025-02-15,1199.9999999999982,15355.08495829067,153550.84958290673,16350.133027315735,1995.4286829954242,18345.561710311158,0.009324531622311161,0.026086057189858253,0.07727266327019461,0,709.1730774758414,76054.55225,46774.46115,43160.07396391124,3614.38718608875,978.9341520137936,564.7828120992394,37527.10288446289,19989.89848282602,16191.817771089072,1200.0000000000032,0.6378472222222222,9.094947017729282e-13,7.275957614183426e-12
46,2025-02-16,1200.0000000000032,42585.4866662287,425854.8666622871,56091.753843131984,5250.202366925016,61341.956210057004,0.00949207363187315,0.03210885136490478,0.019194749668256725,0,1151.169998224407,121276.97728333331,45899.59818333333,45018.56688633068,881.0312970026544,2661.2066129139284,230.5030386142164,82880.7789687129,25693.836412665816,20812.007494259313,1200.000000000001,0.8303222222222222,9.094947017729282e-13,2.546585164964199e-11
47,2025-02-17,1200.000000000001,54997.85760902967,549978.5760902967,55253.37106878268,542.6177164677894,55795.98878525047,0.0010154929987872807,0.055979804795379715,0.03812875569072771,0,122.8344117260243,120960.37281666666,49776.50964999999,47878.593274418,1897.916375582,4590.452526128609,191.7483757059946,82001.93878681552,22425.225023464584,18164.432269006313,1199.9999999999982,0.8173527777777777,9.094947017729282e-13,5.093170329928398e-11
48,2025-02-18,1199.9999999999982,53262.089128674605,532620.891286746,53555.1636652848,3643.699361935615,57198.86302722042,0.006051448714861422,0.046173151504676796,0.020585167713112508,0,734.2299653774576,121331.27123333333,49239.883449999994,48226.272191007636,1013.6112589923629,3728.342153199398,204.87489699554317,80746.9715993235,23384.134064107027,18941.1485919267,1200.0,0.8145215277777778,9.094947017729282e-13,2.1827872842550278e-11
49,2025-02-19,1200.0,56128.66555814069,561286.6555814069,54298.94952114808,4608.804649760738,58907.75417090882,0.007832162072812274,0.06062660410712807,0.01084541813346332,0,954.4804828157785,121866.79411666666,48987.466733333335,48456.177173311204,531.2895600221244,4969.267752557096,159.26541821310832,81965.13437856967,23055.07761715674,18674.612869896962,1200.0,0.8164298611111112,9.094947017729282e-13,5.820766091346741e-11
50,2025-02-20,1200.0,55654.327685530996,556543.2768553102,55621.27009949778,1169.3965807905324,56790.66668028831,0.0019077328196322636,0.055851912624034016,0.047090709979066725,0,231.03647347249102,121105.25703333333,50112.12329999999,47752.307835244465,2359.8154647555316,4601.520256687703,245.7495405438424,82387.87250962632,23256.26309357053,18837.57310579213,1200.0000000000023,0.8168069444444445,4.547473508864641e-13,4.3655745685100555e-11
51,2025-02-21,1200.0000000000023,19938.45942895275,199384.5942895275,15698.988541134024,808.319745736125,16507.30828687015,0.00333840923516722,0.040851538319633486,0.1097174747833228,0,253.05810363224435,75802.00203333332,50241.74,44729.343158479736,5512.396841520261,1499.5200959791398,871.1243120800121,36706.57599835015,18507.00431089286,14990.673491823218,1200.0,0.62085,9.094947017729282e-13,1.8189894035458565e-11
