month,days,cost_total,cost_plan,cost_emergency,plan_kwh,emergency_kwh,load_kwh,emergency_rate_pct
2,28,1378042.9220418239,1326999.5320563759,51043.38998544783,2053545.8770977608,12729.035399142605,3035354.4650166663,0.41935910767089646
3,31,1233824.7704721983,1137891.7552829394,95933.01518925885,1915233.8640213278,24029.672187463857,3240640.052583333,0.7415100658374009
4,30,1003184.3676625235,921676.0284606463,81508.33920187707,1640708.7063354328,21807.367801693235,3162943.2953166664,0.6894643933068023
5,31,1056520.4123857946,995281.431249429,61238.98113636528,1718653.9817812461,15822.28225684588,3274848.2480000006,0.483145509612813
6,30,1590715.450200035,1472364.031716071,118351.41848396385,2232858.82454249,27423.906870917333,3456268.2932,0.7934542270596359
7,31,1855991.568153098,1744060.215637853,111931.3525152455,2440819.5366265816,25507.16066299857,3970920.440116667,0.6423488218325815
8,31,1528303.1234836315,1427711.6076466732,100591.5158369579,2081392.8689726836,23049.12413748153,3753611.7254499993,0.6140519004990667
9,30,1237302.2630473697,1155495.710669352,81806.55237801756,1878501.0892291449,19761.627298310683,3265855.511633333,0.6050980280026969
10,31,1258115.30573528,1214035.4448025515,44079.86093272857,2030693.4550722276,10992.562029000039,3234182.50155,0.33988688095776265
11,30,1408985.6012083055,1365046.3115582867,43939.289650018385,2127115.6697832188,11852.47932190298,3123123.369616667,0.37950724064281066
12,31,2010944.0528963748,1909828.0353980446,101116.0174983301,2684006.1651842506,24142.83513524477,3490331.5867666667,0.6917060610166822
