month,n_days,MAE_selected,WAPE_selected,MAE_naive_last,WAPE_naive_last
2,28,0.0656890103630161,0.0853579396198218,0.0825205853174603,0.10722930822057093
3,31,0.0715432195131252,0.09860778199971423,0.08404298835125448,0.11583617190200188
4,30,0.05735291929577323,0.08206798848490571,0.08436627314814815,0.12072219545669922
5,31,0.04166866517431743,0.0602844978550777,0.08571048387096775,0.12400237587312316
6,30,0.06333112561433939,0.08264796598227257,0.0873499537037037,0.11399285789138414
7,31,0.06725407120872927,0.08102107673639672,0.08352822580645161,0.10062657428895089
8,31,0.053491977198147966,0.06801562825026253,0.0929459453405018,0.11818177597420473
9,30,0.07980915734300653,0.11080293333695898,0.08406539351851851,0.11671207295103526
10,31,0.06006839219288838,0.08339692617121744,0.08259556451612904,0.11467289109224986
11,30,0.061865562997193556,0.08129222343261192,0.08431898148148148,0.11079633240408404
12,31,0.0646818550928715,0.07506161343340681,0.07605645161290321,0.08826153736449535
