date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells
2025-02-01,0,S18,0.0,26972.40246031808,67343.50640724186,35050.59852890416,6000.0,6000.0,6,32
2025-02-01,18,S18,43.900979578343026,7366.530166117527,16508.12826442369,9196.200567888594,10265.909048229936,6000.0,0,0
2025-02-02,0,S18,0.0,81232.13606510131,180523.95491349144,101094.84383477923,6000.000000000002,6000.000000000002,0,0
2025-02-02,18,S18,7.842690621182896,16947.196204074327,27237.219615277256,19006.52859032395,9967.396646115869,6000.000000000002,0,0
2025-02-03,0,S18,0.0,85308.93619751961,183813.7148121053,105014.36575562124,6000.000000000002,6000.000000000002,0,12
2025-02-03,18,S18,56.15047099941546,17393.78802077994,27576.29015934419,19431.61924149687,9965.321326469599,6000.000000000002,0,0
2025-02-04,0,S18,0.0,78524.3176716268,134017.99795916677,89627.70964247124,6000.000000000003,6000.000000000003,0,46
2025-02-04,18,S18,2.3874235921539366e-12,16057.314814780026,27066.9192003274,18260.64132095589,10800.0,6000.000000000003,0,0
2025-02-05,0,S18,0.0,65790.786006674,69169.80220039954,66471.2051208547,6000.000000000002,6000.000000000002,0,8
2025-02-05,18,S18,10.411178571256215,13932.585009455926,14340.912741519356,14015.656309801501,10800.0,6000.000000000002,0,0
2025-02-06,0,S18,0.0,71155.20703912094,74534.81686749827,71835.59367146317,6000.000000000001,6000.000000000001,0,33
2025-02-06,18,S18,15.570087674423377,15010.752430454297,15476.15962891723,15114.886636527532,9995.508961217041,6000.000000000001,0,0
2025-02-07,0,S18,0.0,21545.411588965337,22165.08804866548,21673.623379542027,5981.713758285995,5981.713758285995,18,6
2025-02-07,18,S18,1.0942358130705543e-12,6026.930499517874,6298.256381532266,6082.5473671991,10283.575707021426,5981.713758285995,0,0
2025-02-08,0,S18,0.0,16228.469319702299,17077.518456185306,16402.14048033225,5981.713758285996,5981.713758285996,23,0
2025-02-08,18,S18,101.42196553992977,5803.9699625183985,6089.285905340929,5862.3840508767225,10290.122697407563,5981.713758285996,0,0
2025-02-09,0,S18,0.0,65926.86808976355,69219.16881922979,66589.6082247568,5981.713758285997,5981.713758285997,0,0
