date,strategy,soc_initial_kwh,soc_final_kwh,zero_plan_kwh,final_plan_kwh,used_plan_kwh,emergency_kwh,curtail_kwh,spill_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,soft_terminal_deviation_kwh
2025-02-01,S6_12,6000.0,6000.000000000002,51973.04537142101,49728.3859291747,44675.751265287276,9.802292784443637,4764.495766953761,1473.2323845752333,21419.207753733626,17349.558280524237,22265.771511550556,-642.3866625940864,21623.38484895647,39.84141902237116,21663.22626797884,22999.241402960623,1.8189894035458565e-12,8.731149137020111e-11,0,1.8189894035458565e-12
2025-02-02,S6_12,6000.000000000002,6000.000000000003,98559.74949093309,98559.74949093306,86288.87136849489,51.95777256644509,2988.5614376704375,417.3128707633052,24098.29938225029,19519.622499622736,70199.71174861351,1.4551915228366852e-11,70199.71174861352,200.36603319855632,70400.07778181208,70400.07778181208,9.094947017729282e-13,1.1641532182693481e-10,0,9.094947017729282e-13
2025-02-03,S6_12,6000.000000000003,6000.000000000003,102613.76966983217,98798.47771285761,86968.8276224292,61.33618596186432,1680.1138037020623,411.3435612445354,24851.526018128996,20129.736074684497,74363.960795899,-1777.7057329415402,72586.25506295745,358.5264319162006,72944.78149487365,76500.19296075676,9.094947017729282e-13,1.6143530956469476e-11,0,0.0
2025-02-04,S6_12,6000.000000000003,6000.000000000003,99061.26551736028,93479.63525459784,87725.0766281486,168.02630641284202,1596.009375281928,351.9454672590156,25001.495484318566,20251.21134229805,71743.81605394621,-2527.9145390687045,69215.9015148775,499.9672371660549,69715.86875204356,74771.69783018099,1.8189894035458565e-12,6.467359980888432e-11,0,0.0
2025-02-05,S6_12,6000.000000000003,5978.146928768549,90908.14000072557,89607.59326854444,85508.41788361796,568.6198342982358,506.73486054817783,153.408926554481,24674.393218886893,20005.926271406697,64197.75886585685,-560.2432734104805,63637.51559244637,2464.3769923189648,66101.89258476533,67305.36671412789,5.9117155615240335e-12,1.878674993349705e-11,0,21.853071231454123
2025-02-06,S6_12,5978.146928768549,5969.905645012886,96924.96779326658,90011.18656534393,85912.8970784147,181.8286255493401,906.1701925305742,234.46131458294576,24686.60071349456,20003.5637333107,69372.03903163568,-3133.431298434749,66238.60773320093,885.6531526978986,67124.26088589882,73404.34224151833,1.8189894035458565e-12,4.2092551666428335e-11,0,8.241283755662153
2025-02-07,S6_12,5969.905645012886,5969.9056450128855,50089.446210570015,44914.48681170719,41463.20702322584,17.7839706585179,4400.426364710583,839.6514786265118,23343.334125687434,18908.100641806825,20749.791671261803,-1075.3377329635769,19674.453938298226,68.06907607456638,19742.523014372793,21895.452878574946,1.8189894035458565e-12,9.50706180447014e-12,0,9.094947017729282e-13
2025-02-08,S6_12,5969.9056450128855,5969.905645012884,38348.136630072,38205.12714308232,36942.141653424194,741.1403264684777,1575.4843729314548,489.75772333318156,21267.774562954615,17226.897395993245,15563.214987652238,139.99759272982556,15703.212580382064,2589.923691792863,18293.136272174925,18398.49821649932,1.8189894035458565e-12,2.247979580261017e-12,0,1.8189894035458565e-12
2025-02-09,S6_12,5969.905645012884,5969.905645012878,91139.31862666395,89450.49692899962,84911.99444827327,211.52499585549685,1067.889039972776,179.708097919764,22739.507050366054,18419.000710796514,64225.62787563371,-744.0512468282614,63481.57662880545,880.5104078291126,64362.08703663456,65852.9789071411,2.2737367544323206e-12,9.983125437429408e-11,0,5.4569682106375694e-12
2025-02-10,S6_12,5969.905645012878,5943.870239077453,88285.19383272456,84033.38987689164,80068.18181735965,212.45365439353006,1108.6875503501299,336.66542024087096,23853.035700898574,19344.390783069714,60101.95768187325,-1790.581018042445,58311.37666383081,771.1526670657175,59082.52933089653,62680.23979130659,1.8189894035458565e-12,3.694111683216761e-11,0,26.035405935424933
2025-02-11,S6_12,5943.870239077453,5940.549353185133,89516.6994434913,83273.1238413456,80248.64407091818,364.558936106785,823.4798475581721,163.81209639421445,23201.593300222987,18796.279370483717,61610.62035407661,-2643.3955042476955,58967.22484982891,1897.1128824226548,60864.337732251566,66334.26975214056,2.9558577807620168e-12,4.0824232883096556e-11,0,3.320885892319893
2025-02-12,S6_12,5940.549353185133,5939.753772164351,88116.66602642348,82905.15688191942,79997.60659370542,510.78147893967906,557.1907814395615,164.57293877891595,23792.653905326202,19272.765686232935,60012.17458192307,-2187.5551255123282,57824.61945641074,2308.7233613019876,60133.34281771273,64508.45306873739,1.8189894035458565e-12,4.1737280298548285e-11,0,0.7955810207822651
2025-02-13,S6_12,5939.753772164351,5890.408457965261,83899.72168206495,80248.05413004693,76904.49897319077,378.20974460973844,1361.9635596709056,207.7759357776896,23304.74204454943,18921.251838864224,55880.80916674367,-1382.3554580698983,54498.45370867377,1315.5431886264969,55813.99689730027,58621.65419271864,3.637978807091713e-12,5.8690829973784275e-12,0,49.34531419909035
2025-02-14,S6_12,5890.408457965261,5890.408457965262,41303.98107699017,39956.00041784731,38376.70558425875,334.0053575601419,4819.832784860759,427.59797246970237,19270.938778009233,15609.460410187481,16650.25182841353,-26.6473822359294,16623.6044461776,1019.4767236537856,17643.081169831385,18118.659816265903,1.1368683772161603e-12,3.979039320256561e-12,0,9.094947017729282e-13
2025-02-15,S6_12,5890.408457965262,5860.446153449272,41538.48767942779,39261.47894938871,37938.07578031933,247.60595737671295,4490.553581628005,461.9948647104972,20947.411923273314,16994.36973191578,17385.787949609097,-433.49794592062244,16952.290003688475,788.0630275693256,17740.3530312578,18668.589369634916,1.8189894035458565e-12,1.759659085109888e-11,0,29.962304515989672
2025-02-16,S6_12,5860.446153449272,5860.446153449275,88645.90053041167,80960.78654353938,79223.24616317828,1138.4800341316231,423.2351124516326,135.9073289569916,23290.55082053304,18865.346164631766,60839.8451430828,-3221.9607809095614,57617.88436217324,4695.8327627877,62313.71712496094,68765.33410306681,9.094947017729282e-13,1.4388490399142029e-11,0,2.7284841053187847e-12
2025-02-17,S6_12,5860.446153449275,5860.446153449276,91431.19875659872,81681.93844949781,77549.03475180987,201.95473179398385,2004.172218632078,57.476877592951155,23713.038003748246,19207.560783036082,62089.60494825788,-3882.8437780462045,58206.76117021168,800.2566821756504,59007.017852387326,66780.28399587973,3.637978807091713e-12,2.241762331323116e-11,0,9.094947017729282e-13
2025-02-18,S6_12,5860.446153449276,5811.142681494464,80620.73515033521,80676.03769303967,77494.71644268467,362.63764218397677,1119.7266077414884,232.03752252577658,23466.185768565167,19051.983597297112,53255.29869283417,64.7033748869726,53320.00206772114,1572.1410848230937,54892.14315254424,54894.951653830794,7.275957614183426e-12,3.342393029015511e-11,0,49.30347195481136
2025-02-19,S6_12,5811.142681494464,5788.78760705633,83544.18554281496,82584.22741487785,78965.0590991096,249.83301073050876,1271.2136604401976,144.0909843448195,26001.99815113741,21081.738069415627,55404.502824209165,-450.03828165651066,54954.464542552654,1101.6047374340667,56056.06927998672,56956.145843299746,1.8189894035458565e-12,3.488764832582092e-11,0,22.35507443813458
2025-02-20,S6_12,5788.78760705633,5764.441242023711,84334.4815569665,81069.01737077105,77106.85712965297,210.1940196451269,1700.003156652938,141.24303864863384,23708.331311539634,19225.66009087646,56174.93347941016,-1161.1224208386775,55013.81105857148,1057.2301108309466,56071.04116940243,58583.5739979688,3.637978807091713e-12,7.573675020466908e-11,0,24.34636503261845
2025-02-21,S6_12,5764.441242023711,5756.9968912961995,38923.41664734608,38253.49535958935,36624.893095664134,170.41961364073933,6432.291988344085,879.5413016532563,20683.775271731367,16760.557885757167,15837.335055949756,-42.167381889768876,15795.167674059987,480.947386255173,16276.11506031516,16497.595641483906,2.5011104298755527e-12,8.220979452744359e-12,0,7.444350727511846
2025-02-22,S6_12,5756.9968912961995,5756.9968912962,38899.34914062487,38053.0070600811,36342.05800420698,282.13836793077894,4307.051311865784,567.2013236326959,20553.58343845225,16648.402585146316,16012.612298362259,-45.82507179351887,15966.78722656874,856.3539214204534,16823.141147989194,17154.437274067437,1.8189894035458565e-12,7.405631663459644e-12,0,9.094947017729282e-13
2025-02-23,S6_12,5756.9968912962,5712.384220792192,83591.80438865803,79694.22162301882,76834.35145764679,553.1339496893609,1231.5668192168926,142.02382621741128,23801.01306327412,19318.971984705655,55475.86246343628,-1602.2946592873777,53873.5678041489,2115.7386482344323,55989.30645238333,59249.584688275805,1.8189894035458565e-12,4.3431924723336124e-11,0,44.61267050400875
2025-02-24,S6_12,5712.384220792192,5712.384220792186,79360.48967583796,78433.40548763482,74290.34710052711,287.1933967603172,1794.9463593019125,243.5736270813435,22820.983653881503,18484.996759644033,52465.77864413796,-405.4461480982354,52060.33249603972,1477.4265130240794,53537.759009063804,54348.65130526027,3.637978807091713e-12,3.6344260934129125e-11,0,5.4569682106375694e-12
2025-02-25,S6_12,5712.384220792186,5712.384220792184,81904.59036399954,75272.41577552362,71509.9851267272,269.9554332576278,1428.9472179058089,176.3154134118222,22912.39313333614,18559.03843800227,53366.67412794185,-2602.9499561143457,50763.7241718275,1066.838509064637,51830.56268089214,57142.07011506052,3.637978807091713e-12,1.5006662579253316e-11,0,1.8189894035458565e-12
2025-02-26,S6_12,5712.384220792184,5711.681168617762,75922.52294525885,77238.17648238408,74465.9719566227,300.4503682943249,1388.4050078571297,107.46981415629205,23454.380086985406,18998.680617415164,49003.51770749703,1498.5828117451529,50502.10051924218,1503.9969053097232,52006.0974245519,52027.26107889082,9.094947017729282e-13,3.716138508025324e-11,0,0.7030521744227372
2025-02-27,S6_12,5711.681168617762,5703.544233249143,77701.96950918654,77077.99506091063,72767.12859430113,185.1097197202037,1502.273304698853,67.47997834165892,23332.758277960922,18906.857446980113,49465.8757491289,-156.99498493800638,49308.88076419089,970.1048224549111,50278.9855866458,50609.31734371457,1.8189894035458565e-12,2.7036151095671812e-11,0,8.136935368618651
2025-02-28,S6_12,5703.544233249143,5703.544233249144,35746.65759417665,35755.08427007316,34323.25888799306,205.78539544098135,6934.630768844305,540.5484565289347,19796.165831898947,16034.894323838147,14281.81003799746,20.58035450411262,14302.390392501573,646.9119978938404,14949.302390395413,14953.168913712103,1.8189894035458565e-12,3.214495336578693e-11,0,9.094947017729282e-13
