date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells
2025-02-01,0,S6_12,0.0,26972.40246031808,67343.50640724186,35050.59852890416,6000.0,6000.0,6,32
2025-02-01,6,S6_12,137.4790798110539,21216.598327977175,86636.68583734217,34304.01576065546,10134.600113339688,6000.0,36,0
2025-02-01,12,S6_12,2382.138522057357,12366.987118168961,12569.0995423099,12409.35152996462,6038.546723778135,6000.0,18,0
2025-02-02,0,S6_12,0.0,81232.13606510131,180523.95491349144,101094.84383477923,6000.000000000002,6000.000000000002,0,0
2025-02-02,6,S6_12,7.858602657506708e-12,65822.05905941216,152112.65328193075,83093.86591164014,10800.0,6000.000000000002,0,0
2025-02-02,12,S6_12,0.0,45432.623611823044,99941.65852014555,56336.66088567574,6450.0,6000.000000000002,0,0
2025-02-03,0,S6_12,0.0,85308.93619751961,183813.71481210532,105014.36575562124,6000.000000000003,6000.000000000003,0,12
2025-02-03,6,S6_12,8849.727457300169,56430.59184827297,57096.601784132195,56567.45938790996,10800.0,6000.000000000003,0,12
2025-02-03,12,S6_12,5034.435500325628,48345.35621366109,96182.60252401888,57915.02126860848,6450.0,6000.000000000003,0,0
2025-02-04,0,S6_12,0.0,78524.3176716268,134017.99795916677,89627.70964247124,6000.000000000003,6000.000000000003,0,46
2025-02-04,6,S6_12,12.985060459093063,68212.80845390941,160434.31096521672,86713.44947274892,10800.0,6000.000000000003,0,16
2025-02-04,12,S6_12,5594.615323221466,40177.51798626014,40653.07149038069,40275.033224080595,6378.617797499999,6000.000000000003,0,0
2025-02-05,0,S6_12,0.0,65790.786006674,69169.80220039954,66471.2051208547,6000.000000000003,6000.000000000003,0,8
2025-02-05,6,S6_12,268.0861710074148,51543.59902219619,52854.27650048739,51809.6397643765,10800.0,6000.000000000003,0,3
