date,strategy,soc_initial_kwh,soc_final_kwh,zero_plan_kwh,final_plan_kwh,used_plan_kwh,emergency_kwh,curtail_kwh,spill_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,market_cost_yuan,emergency_cost_yuan,total_cost_yuan,alternative_total_cost_yuan,max_solver_eq_residual,max_solver_ub_violation,simultaneous_charge_discharge_count,soft_terminal_deviation_kwh
2025-02-01,Sall,6000.0,6000.000000000002,51973.04537142101,49773.960539566426,44707.972216561044,18.086587381814297,4764.495766953761,1518.2765843599852,21395.318522609363,17330.20800331359,22265.771511550556,-618.8148938795166,21646.95661767104,86.9873395760076,21733.943957247047,23044.77274430929,1.8189894035458565e-12,8.731149137020111e-11,0,1.8189894035458565e-12
2025-02-02,Sall,6000.000000000002,6000.0,98559.74949093309,98551.90680031187,86254.59965370392,60.27926863035405,2988.5614376704375,385.7938910635504,24127.60865052758,19543.363006927346,70199.71174861351,-1.605006635611062,70198.1067419779,252.24663195954173,70450.35337393744,70453.56338720869,9.094947017729282e-13,1.1641532182693481e-10,0,1.8189894035458565e-12
2025-02-03,Sall,6000.0,6000.0,102613.76966983217,98742.32724185819,86974.51081630762,61.33618596186432,1680.1138037020623,412.87656979904216,24873.369098780902,20147.428970012537,74363.960795899,-1790.8121250792901,72573.1486708197,358.5264319162006,72931.6751027359,76513.2993528945,1.3642420526593924e-12,2.3419488570652902e-11,0,0.0
2025-02-04,Sall,6000.0,6000.0,99061.26551736028,93480.73485084284,87726.9505462224,199.0545259934521,1596.009375281928,382.1437366037119,25015.72637015907,20262.738359828854,71743.81605394621,-2527.382612216825,69216.43344172939,589.2111089152154,69805.6445506446,74860.40977507828,1.8189894035458565e-12,5.012168458051747e-11,0,0.0
2025-02-05,Sall,6000.0,5999.999999999999,90908.14000072557,89608.88471936999,85559.257820334,581.9179655184965,506.73486054817783,186.18073454470834,24735.96424961189,20036.13104218564,64197.75886585685,-558.6665009059143,63639.092364950935,2548.425681499368,66187.5180464503,67390.99217581286,5.9117155615240335e-12,3.743139131984208e-11,0,9.094947017729282e-13
2025-02-06,Sall,5999.999999999999,5980.974955785991,96927.70547936614,90018.64603117543,85913.52677644402,160.76198044809107,906.1701925305765,221.31959694429315,24699.285739701143,20023.54398895054,69372.70841441659,-3128.9826067391696,66243.72580767742,770.4560546266254,67014.18186230405,73295.11558867035,1.8189894035458565e-12,4.015987542516086e-11,0,19.02504421400772
2025-02-07,Sall,5980.974955785991,5980.974955785992,50088.57593974107,44911.387413444376,41463.73862545798,9.41454834637102,4400.426364710583,833.2156032036169,23335.95546959735,18902.123930373862,20749.874076130895,-1076.7996937011485,19673.074382429746,23.757357840691675,19696.831740270438,21850.431127672735,1.8189894035458565e-12,9.963585512196005e-12,0,9.094947017729282e-13
2025-02-08,Sall,5980.974955785992,5980.974955785993,38348.136630072,38260.19493142852,36940.700487074835,739.9464101551682,1575.4843729314548,487.6566971256712,21264.963739506413,17224.620629000205,15563.238356197202,188.67869487129428,15751.917051068496,2584.218092812598,18336.135143881096,18442.53821588382,1.8189894035458565e-12,4.0669689838068734e-12,0,9.094947017729282e-13
2025-02-09,Sall,5980.974955785993,5980.974955785993,91141.6554811605,89452.83378349619,84903.06938314391,221.47988792420745,1067.889039972776,179.53292336954746,22745.84916346914,18424.13782241001,64225.426278886065,-744.0512468282614,63481.375032057804,947.6406389335785,64429.01567099138,65919.90754149792,2.2737367544323206e-12,2.1827872842550278e-11,0,0.0
2025-02-10,Sall,5980.974955785993,5947.37348753767,88287.5306872211,84051.2738122155,80052.28342293882,214.3130660475872,1108.689383683456,324.7354336598487,23877.765314385735,19371.231226075924,60102.034736575464,-1788.8569831645946,58313.17775341087,718.1487244187952,59031.326477829665,62622.8919696734,1.8189894035458565e-12,3.225331113299035e-11,0,33.60146824832282
