实验,总费用(元),日均费用(元),日费用标准差(元),日费用CVaR90(元),日费用最大值(元),紧急购电率(%),未提取计划比例(%),弃光率(%),紧急购电量(kWh),期末SOC(kWh),历时(s),备注
主模型 Q4-2（选中配置）,15561929.837286435,46592.6043032528,19921.006069217427,78373.26008111684,103314.35863454177,0.5866774393523153,7.190155817532442,10.276797860514012,217118.05310100134,6000.000000000002,143.2726230621338,
B0 完美预见下界（下界）,12829244.962121619,38410.91306024437,17217.400106754456,66186.28205579771,71596.22966098186,,,,,6000.0,3.3712542057037354,
B2 实时缺口购电（不动储能）,17026782.85809905,50978.39179071572,17777.131382336604,79057.61828323895,83673.29981018334,0.0,0.0,,0.0,6000.0,0.0,
B3 典型日(Q1)策略,51218227.368118,153347.98613208983,66658.32931290162,275739.07706152386,300745.06474372087,,,,,6000.0,0.0,
B4 全量提取口径（y≡x）—— 不可行诊断,,,,,,,7.190155817532442,,,,0.0,"334/334 天出现计划量超过实际需要，累计未提取 1,639,609.3 kWh（占计划量 7.19%），故 y≡x 在因果执行下不可行"
B1 Q2固定价策略,15499485.651411183,46405.64566290774,19666.01712903129,77376.93696063843,84558.39293333993,0.5880523040359729,6.759934876804821,10.382213226230355,217626.86411599893,6000.000000000002,134.98289799690247,
β 扫描 β=0.0（风险中性→保守）,15380884.628087066,46050.55277870379,19553.757548851223,76874.88731780728,86468.55704244747,0.6850166373776964,6.082064655637094,9.649036702050315,253511.50167532533,6000.0,77.96450185775757,
β 扫描 β=0.05（风险中性→保守）,15401597.859295007,46112.568441003015,19530.553409739736,76833.5372758332,87030.18827627592,0.6503446618245121,6.2884325804812375,9.855309067178496,240680.06940210957,6000.000000000001,115.05973362922668,
β 扫描 β=0.1（风险中性→保守）,15443453.337917794,46237.88424526285,19588.364045588925,77002.31739293034,87262.3566292809,0.6234559304574053,6.572540300150538,10.01822810307068,230729.06632411978,6000.000000000002,127.91084408760071,
β 扫描 β=0.25（风险中性→保守）,15590765.410881616,46678.93835593298,19963.115478036387,78529.30905834948,103499.95568107432,0.5769342929807715,7.332934687245032,10.364097862657502,213512.3017470664,6000.000000000002,142.66009521484375,
β 扫描 β=0.5（风险中性→保守）,15827534.093424818,47387.82662702041,20542.755489871815,80922.23412976616,103498.27140123892,0.5438280254868626,8.380348499635058,10.743722135347191,201260.30795699687,6000.0,165.53321051597595,
场景数扫描 M=10,15719207.4064263,47063.49522882126,19775.340621917614,77984.47502161023,86520.98103836988,0.766846229147706,6.960539340986102,10.11088222681747,283795.06204329926,6000.0,30.593018054962158,
场景数扫描 M=20,15550533.50059688,46558.4835347212,19680.41549973641,77339.41357033557,87390.77019928758,0.631637427149916,6.910659331323965,10.247389127102208,233756.88112349447,6000.0,73.33944892883301,
场景数扫描 M=30,15561929.837286435,46592.6043032528,19921.006069217427,78373.26008111684,103314.35863454177,0.5866774393523153,7.190155817532442,10.276797860514012,217118.05310100134,6000.000000000002,139.8380150794983,
价格不确定度注入 ×0.7,15555443.254805401,46573.18339762096,19908.120625389845,78406.22584814606,102023.67599609295,0.5852022775187535,7.138259451011823,10.281457978485948,216572.1240370417,6000.000000000002,143.1600694656372,
价格不确定度注入 ×1.3,15569873.956197515,46616.38909041172,19925.30004887857,78344.82878507879,103441.90454466888,0.5885367273489669,7.232085822249874,10.27445716464779,217806.13988073624,5999.999999999998,140.92455768585205,
