date,cost_plan_R1,cost_plan_R2,diff,cost_emergency
2025-02-01,20267.707175403302,21531.201026961488,-1263.4938515581853,499.02528493191596
2025-02-02,103314.35863454177,109550.88472955435,-6236.526095012581,0.0
2025-02-03,66369.52613844385,62320.207077614185,4049.3190608296645,55.018957513868514
2025-02-04,64641.281013343774,63781.51447394528,859.7665393984935,2949.9761078125707
2025-02-05,67179.61555939232,66818.82787815819,360.7876812341274,1268.6245718014784
2025-02-06,64918.06950413821,64534.52338154231,383.54612259590067,995.1498445084942
2025-02-07,19358.81804370555,25437.876799118247,-6079.058755412698,162.1851186047821
2025-02-08,16754.12131042373,16613.994630142835,140.1266802808932,1577.0963320010744
2025-02-09,61349.66484950608,60430.24922679466,919.4156227114217,3208.291119765757
2025-02-10,60005.9275417216,61599.70242529192,-1593.7748835703242,775.0472778082524
2025-02-11,59371.25573640953,60159.36110589915,-788.1053694896254,610.6988673177898
2025-02-12,55811.51134427152,55591.9151918082,219.59615246332396,4667.413659690416
2025-02-13,56770.61016750222,57406.01643407492,-635.406266572696,996.3529288190512
2025-02-14,15603.602033088178,20136.699898126666,-4533.097865038488,4695.93562068321
2025-02-15,16192.285224353163,15354.43228501653,837.8529393366334,1817.943841683692
2025-02-16,55826.54799412128,41939.7106103458,13886.837383775484,5576.145117800449
2025-02-17,55705.88524725268,55576.95889724743,128.9263500052475,835.9259158877283
2025-02-18,53686.84838053744,53740.21994017545,-53.37155963800615,2808.0840584295274
2025-02-19,54908.14860106542,54841.15045920633,66.99814185909054,3766.4020328483516
2025-02-20,55398.46387125406,54911.50794461884,486.95592663522257,1252.3509420550176
2025-02-21,15620.03285734046,19802.851750539576,-4182.818893199115,583.2325128459918
2025-02-22,15552.378936647272,15279.682728676573,272.6962079706991,1186.3534553005252
2025-02-23,55451.99154160711,56087.46595337895,-635.4744117718437,1006.8855397342634
2025-02-24,51974.91205106076,51835.51970325562,139.3923478051438,2410.3390975533207
2025-02-25,50780.775736016076,51570.676458501184,-789.9007224851084,1137.7117474157826
2025-02-26,49739.48559809226,49707.12764362619,32.357954466067895,3921.6251372978977
2025-02-27,49978.405093092966,51236.969807548696,-1258.5647144557297,1709.0050441393435
2025-02-28,14467.30187204344,18943.243561197953,-4475.941689154513,570.5698511972789
2025-03-01,14522.21933402281,14772.620651856576,-250.40131783376637,3887.14946166711
2025-03-02,50959.99869617571,37502.02295639358,13457.97573978213,14947.067248272342
2025-03-03,50561.24009043379,51569.912215793454,-1008.6721253596625,10034.971580106983
2025-03-04,60458.632547399364,61822.52744724401,-1363.894899844643,576.3623805898715
2025-03-05,49869.73742119236,50965.68185164444,-1095.9444304520803,1479.7990561447496
2025-03-06,48805.72316261125,48496.02792831552,309.6952342957302,1252.33499263441
2025-03-07,14508.520028374322,18640.683464503316,-4132.163436128994,75.57969628434338
2025-03-08,13549.342508490765,13852.082639263153,-302.7401307723885,1090.9443113925945
2025-03-09,48267.9449532126,49121.12557827586,-853.180625063258,1937.6098116880926
2025-03-10,46259.4788001507,44911.43924859544,1348.039551555259,12787.512398474915
2025-03-11,48149.87705742342,48888.32186511542,-738.4448076919944,1554.0056467640645
2025-03-12,45845.66611865325,46112.84502567384,-267.1789070205923,1876.4660449751423
2025-03-13,46282.47299634965,45287.19182291666,995.281173432988,13768.36134056817
2025-03-14,13598.130904596896,17673.391533624297,-4075.2606290274016,181.91160075966746
2025-03-15,13820.652444553803,14002.270689134824,-181.61824458102092,1202.1713216462874
2025-03-16,47325.74135412158,48519.31467911384,-1193.5733249922632,1862.959028586047
2025-03-17,45058.53092061691,46445.462580902946,-1386.9316602860345,1187.4980759618309
2025-03-18,45290.22779844767,43206.92449669721,2083.3033017504567,5132.274607773322
2025-03-19,43944.46139821863,44515.6492786255,-571.1878804068692,1660.37618183967
2025-03-20,45046.0401576507,44710.47919806068,335.56095959001686,2452.644569751815
2025-03-21,12446.43087366087,16421.328202702363,-3974.8973290414942,742.5237591213273
2025-03-22,13636.075236604933,13376.68268988385,259.3925467210829,339.03001601768653
2025-03-23,44349.86411555376,32493.418557310215,11856.445558243548,1072.491343973539
2025-03-24,42203.28829676244,42107.90404305808,95.38425370436016,2625.502623894731
2025-03-25,41903.1449237285,42102.23085453113,-199.0859308026338,3733.0925126813245
2025-03-26,44163.10385600083,44953.70329086785,-790.599434867021,496.38682469178883
2025-03-27,41768.32496614143,41793.71196005057,-25.386993909138255,1943.5521170745383
2025-03-28,12154.419714510517,15756.712270610904,-3602.2925561003867,1231.1614501448828
2025-03-29,12588.820065074982,12192.705557434261,396.11450764072106,442.5511249346921
2025-03-30,39246.94873615924,29152.845886709256,10094.102849449984,3463.080448483028
2025-03-31,41306.69580604569,41250.96322703553,55.73257901016041,895.6436123599037
2025-04-01,41053.81439402548,39889.90943282052,1163.904961204964,6590.364339701267
2025-04-02,42056.250952455084,42323.1989778791,-266.94802542401885,8371.53909372204
2025-04-03,41521.504299110224,41439.41304669776,82.09125241246511,1479.0812795494955
2025-04-04,11749.098318039916,15364.977063372851,-3615.878745332935,431.7160763858941
2025-04-05,11668.372141426787,11645.246040214652,23.126101212135836,3341.3351020170567
2025-04-06,39507.86105898774,39409.988036641254,97.87302234648814,1374.8179664391707
2025-04-07,38702.67216296943,38622.16308043396,80.50908253547095,1076.708645125108
2025-04-08,39390.295784452675,39845.118614034254,-454.82282958157884,2983.17358702851
2025-04-09,38910.19639654136,38219.880043900484,690.3163526408753,7577.436375003768
