time_idx,period_start,period_end,interval_label,data_label,template_col_label,template_row_label
1,0:00,0:10,0:00-0:10,0:10,0:10-0:20,0:10-0:20
2,0:10,0:20,0:10-0:20,0:20,0:20-0:30,0:20-0:30
3,0:20,0:30,0:20-0:30,0:30,0:30-0:40,0:30-0:40
4,0:30,0:40,0:30-0:40,0:40,0:40-0:50,0:40-0:50
5,0:40,0:50,0:40-0:50,0:50,0:50-1:00,0:50-1:00
6,0:50,1:00,0:50-1:00,1:00,1:00-1:10,1:00-1:10
7,1:00,1:10,1:00-1:10,1:10,1:10-1:20,1:10-1:20
8,1:10,1:20,1:10-1:20,1:20,1:20-1:30,1:20-1:30
9,1:20,1:30,1:20-1:30,1:30,1:30-1:40,1:30-1:40
10,1:30,1:40,1:30-1:40,1:40,1:40-1:50,1:40-1:50
11,1:40,1:50,1:40-1:50,1:50,1:50-2:00,1:50-2:00
12,1:50,2:00,1:50-2:00,2:00,2:00-2:10,2:00-2:10
13,2:00,2:10,2:00-2:10,2:10,2:10-2:20,2:10-2:20
14,2:10,2:20,2:10-2:20,2:20,2:20-2:30,2:20-2:30
15,2:20,2:30,2:20-2:30,2:30,2:30-2:40,2:30-2:40
16,2:30,2:40,2:30-2:40,2:40,2:40-2:50,2:40-2:50
17,2:40,2:50,2:40-2:50,2:50,2:50-3:00,2:50-3:00
18,2:50,3:00,2:50-3:00,3:00,3:00-3:10,3:00-3:10
19,3:00,3:10,3:00-3:10,3:10,3:10-3:20,3:10-3:20
20,3:10,3:20,3:10-3:20,3:20,3:20-3:30,3:20-3:30
21,3:20,3:30,3:20-3:30,3:30,3:30-3:40,3:30-3:40
22,3:30,3:40,3:30-3:40,3:40,3:40-3:50,3:40-3:50
23,3:40,3:50,3:40-3:50,3:50,3:50-4:00,3:50-4:00
24,3:50,4:00,3:50-4:00,4:00,4:00-4:10,4:00-4:10
25,4:00,4:10,4:00-4:10,4:10,4:10-4:20,4:10-4:20
26,4:10,4:20,4:10-4:20,4:20,4:20-4:30,4:20-4:30
27,4:20,4:30,4:20-4:30,4:30,4:30-4:40,4:30-4:40
28,4:30,4:40,4:30-4:40,4:40,4:40-4:50,4:40-4:50
29,4:40,4:50,4:40-4:50,4:50,4:50-5:00,4:50-5:00
30,4:50,5:00,4:50-5:00,5:00,5:00-5:10,5:00-5:10
31,5:00,5:10,5:00-5:10,5:10,5:10-5:20,5:10-5:20
32,5:10,5:20,5:10-5:20,5:20,5:20-5:30,5:20-5:30
33,5:20,5:30,5:20-5:30,5:30,5:30-5:40,5:30-5:40
34,5:30,5:40,5:30-5:40,5:40,5:40-5:50,5:40-5:50
35,5:40,5:50,5:40-5:50,5:50,5:50-6:00,5:50-6:00
36,5:50,6:00,5:50-6:00,6:00,6:00-6:10,6:00-6:10
37,6:00,6:10,6:00-6:10,6:10,6:10-6:20,6:10-6:20
38,6:10,6:20,6:10-6:20,6:20,6:20-6:30,6:20-6:30
39,6:20,6:30,6:20-6:30,6:30,6:30-6:40,6:30-6:40
40,6:30,6:40,6:30-6:40,6:40,6:40-6:50,6:40-6:50
41,6:40,6:50,6:40-6:50,6:50,6:50-7:00,6:50-7:00
42,6:50,7:00,6:50-7:00,7:00,7:0-7:10,7:00-7:10
43,7:00,7:10,7:00-7:10,7:10,7:10-7:20,7:10-7:20
44,7:10,7:20,7:10-7:20,7:20,7:20-7:30,7:20-7:30
45,7:20,7:30,7:20-7:30,7:30,7:30-7:40,7:30-7:40
46,7:30,7:40,7:30-7:40,7:40,7:40-7:50,7:40-7:50
47,7:40,7:50,7:40-7:50,7:50,7:50-8:00,7:50-8:00
48,7:50,8:00,7:50-8:00,8:00,8:00-8:10,8:00-8:10
49,8:00,8:10,8:00-8:10,8:10,8:10-8:20,8:10-8:20
50,8:10,8:20,8:10-8:20,8:20,8:20-8:30,8:20-8:30
51,8:20,8:30,8:20-8:30,8:30,8:30-8:40,8:30-8:40
52,8:30,8:40,8:30-8:40,8:40,8:40-8:50,8:40-8:50
53,8:40,8:50,8:40-8:50,8:50,8:50-9:00,8:50-9:00
54,8:50,9:00,8:50-9:00,9:00,9:00-9:10,9:00-9:10
55,9:00,9:10,9:00-9:10,9:10,9:10-9:20,9:10-9:20
56,9:10,9:20,9:10-9:20,9:20,9:20-9:30,9:20-9:30
57,9:20,9:30,9:20-9:30,9:30,9:30-9:40,9:30-9:40
58,9:30,9:40,9:30-9:40,9:40,9:40-9:50,9:40-9:50
59,9:40,9:50,9:40-9:50,9:50,9:50-10:00,9:50-10:00
60,9:50,10:00,9:50-10:00,10:00,10:00-10:10,10:00-10:10
61,10:00,10:10,10:00-10:10,10:10,10:10-10:20,10:10-10:20
62,10:10,10:20,10:10-10:20,10:20,10:20-10:30,10:20-10:30
63,10:20,10:30,10:20-10:30,10:30,10:30-10:40,10:30-10:40
64,10:30,10:40,10:30-10:40,10:40,10:40-10:50,10:40-10:50
65,10:40,10:50,10:40-10:50,10:50,10:50-11:00,10:50-11:00
66,10:50,11:00,10:50-11:00,11:00,11:00-11:10,11:00-11:10
67,11:00,11:10,11:00-11:10,11:10,11:10-11:20,11:10-11:20
68,11:10,11:20,11:10-11:20,11:20,11:20-11:30,11:20-11:30
69,11:20,11:30,11:20-11:30,11:30,11:30-11:40,11:30-11:40
70,11:30,11:40,11:30-11:40,11:40,11:40-11:50,11:40-11:50
71,11:40,11:50,11:40-11:50,11:50,11:50-12:00,11:50-12:00
72,11:50,12:00,11:50-12:00,12:00,12:00-12:10,12:00-12:10
73,12:00,12:10,12:00-12:10,12:10,12:10-12:20,12:10-12:20
74,12:10,12:20,12:10-12:20,12:20,12:20-12:30,12:20-12:30
75,12:20,12:30,12:20-12:30,12:30,12:30-12:40,12:30-12:40
76,12:30,12:40,12:30-12:40,12:40,12:40-12:50,12:40-12:50
77,12:40,12:50,12:40-12:50,12:50,12:50-13:00,12:50-13:00
78,12:50,13:00,12:50-13:00,13:00,13:00-13:10,13:00-13:10
79,13:00,13:10,13:00-13:10,13:10,13:10-13:20,13:10-13:20
80,13:10,13:20,13:10-13:20,13:20,13:20-13:30,13:20-13:30
81,13:20,13:30,13:20-13:30,13:30,13:30-13:40,13:30-13:40
82,13:30,13:40,13:30-13:40,13:40,13:40-13:50,13:40-13:50
83,13:40,13:50,13:40-13:50,13:50,13:50-14:00,13:50-14:00
84,13:50,14:00,13:50-14:00,14:00,14:00-14:10,14:00-14:10
85,14:00,14:10,14:00-14:10,14:10,14:10-14:20,14:10-14:20
86,14:10,14:20,14:10-14:20,14:20,14:20-14:30,14:20-14:30
87,14:20,14:30,14:20-14:30,14:30,14:30-14:40,14:30-14:40
88,14:30,14:40,14:30-14:40,14:40,14:40-14:50,14:40-14:50
89,14:40,14:50,14:40-14:50,14:50,14:50-15:00,14:50-15:00
90,14:50,15:00,14:50-15:00,15:00,15:00-15:10,15:00-15:10
91,15:00,15:10,15:00-15:10,15:10,15:10-15:20,15:10-15:20
92,15:10,15:20,15:10-15:20,15:20,15:20-15:30,15:20-15:30
93,15:20,15:30,15:20-15:30,15:30,15:30-15:40,15:30-15:40
94,15:30,15:40,15:30-15:40,15:40,15:40-15:50,15:40-15:50
95,15:40,15:50,15:40-15:50,15:50,15:50-16:00,15:50-16:00
96,15:50,16:00,15:50-16:00,16:00,16:00-16:10,16:00-16:10
97,16:00,16:10,16:00-16:10,16:10,16:10-16:20,16:10-16:20
98,16:10,16:20,16:10-16:20,16:20,16:20-16:30,16:20-16:30
99,16:20,16:30,16:20-16:30,16:30,16:30-16:40,16:30-16:40
100,16:30,16:40,16:30-16:40,16:40,16:40-16:50,16:40-16:50
101,16:40,16:50,16:40-16:50,16:50,16:50-17:00,16:50-17:00
102,16:50,17:00,16:50-17:00,17:00,17:00-17:10,17:00-17:10
103,17:00,17:10,17:00-17:10,17:10,17:10-17:20,17:10-17:20
104,17:10,17:20,17:10-17:20,17:20,17:20-17:30,17:20-17:30
105,17:20,17:30,17:20-17:30,17:30,17:30-17:40,17:30-17:40
106,17:30,17:40,17:30-17:40,17:40,17:40-17:50,17:40-17:50
107,17:40,17:50,17:40-17:50,17:50,17:50-18:00,17:50-18:00
108,17:50,18:00,17:50-18:00,18:00,18:00-18:10,18:00-18:10
109,18:00,18:10,18:00-18:10,18:10,18:10-18:20,18:10-18:20
110,18:10,18:20,18:10-18:20,18:20,18:20-18:30,18:20-18:30
111,18:20,18:30,18:20-18:30,18:30,18:30-18:40,18:30-18:40
112,18:30,18:40,18:30-18:40,18:40,18:40-18:50,18:40-18:50
113,18:40,18:50,18:40-18:50,18:50,18:50-19:00,18:50-19:00
114,18:50,19:00,18:50-19:00,19:00,19:00-19:10,19:00-19:10
115,19:00,19:10,19:00-19:10,19:10,19:10-19:20,19:10-19:20
116,19:10,19:20,19:10-19:20,19:20,19:20-19:30,19:20-19:30
117,19:20,19:30,19:20-19:30,19:30,19:30-19:40,19:30-19:40
118,19:30,19:40,19:30-19:40,19:40,19:40-19:50,19:40-19:50
119,19:40,19:50,19:40-19:50,19:50,19:50-20:00,19:50-20:00
120,19:50,20:00,19:50-20:00,20:00,20:00-20:10,20:00-20:10
121,20:00,20:10,20:00-20:10,20:10,20:10-20:20,20:10-20:20
122,20:10,20:20,20:10-20:20,20:20,20:20-20:30,20:20-20:30
123,20:20,20:30,20:20-20:30,20:30,20:30-20:40,20:30-20:40
124,20:30,20:40,20:30-20:40,20:40,20:40-20:50,20:40-20:50
125,20:40,20:50,20:40-20:50,20:50,20:50-21:00,20:50-21:00
126,20:50,21:00,20:50-21:00,21:00,21:00-21:10,21:00-21:10
127,21:00,21:10,21:00-21:10,21:10,21:10-21:20,21:10-21:20
128,21:10,21:20,21:10-21:20,21:20,21:20-21:30,21:20-21:30
129,21:20,21:30,21:20-21:30,21:30,21:30-21:40,21:30-21:40
130,21:30,21:40,21:30-21:40,21:40,21:40-21:50,21:40-21:50
131,21:40,21:50,21:40-21:50,21:50,21:50-22:00,21:50-22:00
132,21:50,22:00,21:50-22:00,22:00,22:00-22:10,22:00-22:10
133,22:00,22:10,22:00-22:10,22:10,22:10-22:20,22:10-22:20
134,22:10,22:20,22:10-22:20,22:20,22:20-22:30,22:20-22:30
135,22:20,22:30,22:20-22:30,22:30,22:30-22:40,22:30-22:40
136,22:30,22:40,22:30-22:40,22:40,22:40-22:50,22:40-22:50
137,22:40,22:50,22:40-22:50,22:50,22:50-23:00,22:50-23:00
138,22:50,23:00,22:50-23:00,23:00,23:00-23:10,23:00-23:10
139,23:00,23:10,23:00-23:10,23:10,23:10-23:20,23:10-23:20
140,23:10,23:20,23:10-23:20,23:20,23:20-23:30,23:20-23:30
141,23:20,23:30,23:20-23:30,23:30,23:30-23:40,23:30-23:40
142,23:30,23:40,23:30-23:40,23:40,23:40-23:50,23:40-23:50
143,23:40,23:50,23:40-23:50,23:50,23:50-0:00+1,23:50-0:00+1
144,23:50,24:00,23:50-24:00,0:00+1,0:00-0:10+1,0:00+1-0:10+1
