day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,emergency_kwh,load_kwh,pv_kwh,pv_used_kwh,curtail_kwh,unextracted_kwh,spill_kwh,plan_total_kwh,charge_kwh,discharge_kwh,final_soc,price_mean,eq_residual,ub_violation
31,2025-02-01,1200.0,22873.096069233314,228730.9606923332,21322.679884422367,221.842890945462,21544.52277536783,0.0008058958940642707,0.11354772741426265,0.11458894244871895,0,61.49405243946552,76305.20628333333,41927.03035,37122.656282178155,4804.374067821843,5692.393555211169,958.3496436900573,50132.166313142356,22949.300871186424,18588.933705661006,1199.9999999999989,0.6514930555555556,9.094947017729282e-13,1.4551915228366852e-11
32,2025-02-02,1199.9999999999989,68738.30480505902,687383.0480505903,65615.57864624955,861.4986106471522,66477.0772568967,0.0015139056195488825,0.07406292915977207,0.05935261504882152,0,184.2513559274976,121705.97265,43349.69469999999,40776.776957986964,2572.917742013038,6901.342478553715,412.83126028116226,93182.1433049969,26963.290684613097,21840.265454536606,1200.0000000000002,0.8363881944444445,1.1368683772161603e-12,7.275957614183426e-11
33,2025-02-03,1200.0000000000002,77203.45959010166,772034.5959010168,69796.15871507041,56.893220689161254,69853.05193575958,0.00013069531712766558,0.08959515101478219,0.07047402311508486,0,16.023738470502053,122603.769,42386.85249999999,39399.68047713931,2987.172022860692,8698.002733556017,318.4430335710159,97081.17721818389,25666.66666666667,20790.0,1200.0000000000032,0.8447902777777778,1.8189894035458565e-12,2.9103830456733704e-10
34,2025-02-04,1200.0000000000032,69184.11444377177,691841.1444377179,69668.61997103535,636.3534759867698,70304.97344702213,0.0018608476326805914,0.0936032511773292,0.023008622826880775,0,226.2383174308294,121578.09884999998,40383.2349,39454.072279656575,929.1626203434284,8965.10177504794,377.0612864492663,95777.67505173257,23882.756512225213,19345.03277490243,1199.9999999999986,0.8491895833333333,9.094947017729282e-13,2.9103830456733704e-11
35,2025-02-05,1199.9999999999986,64722.38438799818,647223.8438799818,65062.579516902144,3310.659847307882,68373.23936421002,0.006333993071130214,0.04939536508817718,0.029891540712019583,0,772.6906835403943,121991.08443333334,41242.65745,40009.85087576145,1232.8065742385527,4486.182102868733,267.3699778111986,90821.92417973452,25578.0485527532,20718.21932773009,1200.0,0.8482541666666665,4.547473508864641e-13,4.3655745685100555e-11
36,2025-02-06,1200.0,70957.68303088252,709576.8303088252,70433.53609457592,502.11032222774395,70935.64641680366,0.0010702380174466262,0.10092759444022845,0.044402889404325,0,130.83891223661038,122252.1627,41981.10548333333,40117.02309948558,1864.0823838477518,9817.595602524729,416.75475553174556,97273.65104633427,26500.000000000004,21465.0,1200.0000000000023,0.8439645833333334,9.094947017729282e-13,7.275957614183426e-11
37,2025-02-07,1200.0000000000023,29603.409131512723,296034.09131512727,20697.48542809947,150.6948075639682,20848.180235663436,0.0006199999770102734,0.12389464519605814,0.13096081018395067,0,47.22452834757144,76168.59693333332,44362.91726666666,38553.113679300426,5809.803587366241,5966.291126500632,704.6152623603516,48156.16620927583,20615.795235418485,16698.794140688973,1200.0000000000018,0.6440388888888888,1.1368683772161603e-13,1.4551915228366852e-11
38,2025-02-08,1200.0000000000018,16113.853866445734,161138.53866445736,15975.60553422074,3776.159617449695,19751.765151670435,0.014909155741151994,0.028242081177775723,0.035943989999314016,0,1129.320651977931,75746.78751666666,44169.6248,42581.99224791535,1587.6325520846522,1079.787675524483,714.0936355709118,38233.28984601142,23178.599569171824,18774.66565102918,1199.999999999996,0.642351388888889,9.094947017729282e-13,7.275957614183426e-12
39,2025-02-09,1199.999999999996,62175.182333556375,621751.823335564,64624.71168763227,1362.9663667287396,65987.67805436101,0.002597354538598249,0.05292528461096311,0.046328311120336314,0,315.7029989859839,121547.90356666666,41992.48759999999,40047.04656975034,1945.4410302496644,4809.1362336211905,168.43115079213874,90866.51624023597,24756.815041538364,20053.02018364607,1200.0000000000018,0.8413840277777778,1.8189894035458565e-12,7.275957614183426e-11
40,2025-02-10,1200.0000000000018,62010.9191390522,620109.191390522,59260.16589082189,796.5227397408863,60056.68863056278,0.0019269797685125538,0.05759153797302242,0.05228822485018587,0,234.08480915179513,121477.56451666665,47150.92693333333,44685.48866394851,2465.438269384818,4984.058712566692,455.5583578973907,86541.51092303477,23915.277942128116,19371.375133123773,1200.000000000004,0.8180638888888889,9.094947017729282e-13,5.093170329928398e-11
41,2025-02-11,1200.000000000004,63348.374245718165,633483.7424571818,60379.29674094414,2132.7732318191393,62512.06997276328,0.0032823729524013153,0.07679841734990629,0.021783651780820854,0,398.6155780834978,121441.28161666667,46220.68448333333,45213.82918747721,1006.8552958561229,6703.6507085408775,196.42984079824214,87288.91740044506,24000.0,19440.0,1200.0000000000027,0.8284923611111111,9.094947017729282e-13,4.3655745685100555e-11
