day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,emergency_kwh,load_kwh,pv_kwh,pv_used_kwh,curtail_kwh,unextracted_kwh,spill_kwh,plan_total_kwh,charge_kwh,discharge_kwh,final_soc,price_mean,eq_residual,ub_violation
31,2025-02-01,1200.000000000001,20860.49223929714,22385.684356515536,19857.0592475172,447.0085443831593,20304.06779190036,0.001589573490975694,0.0925114499269129,0.09572882220411603,0,121.29273313141863,76305.20628333333,41927.03035,37913.40511607827,4013.625233921727,4476.617993104036,1114.4205909058714,48389.88035146689,23833.333333333336,19305.0,1200.0000000000002,0.6514930555555556,9.094947017729282e-13,3.637978807091713e-12
32,2025-02-02,1200.0000000000002,77875.08029520098,195447.4506281451,63920.27023235754,521.1587699930777,64441.42900235062,0.0010006679447170058,0.07302563085577864,0.03828386805476863,0,121.78726551145962,121705.97265,43349.69469999999,41690.1007078907,1659.5939921093027,6675.274398791352,280.6612224789477,91410.02029786815,24000.000000000004,19440.0,1200.0000000000023,0.8363881944444445,9.094947017729282e-13,1.6007106751203537e-10
33,2025-02-03,1200.0000000000023,72023.79527270109,133687.4971978784,64159.391187031775,549.3064895323478,64708.69767656412,0.0009933125080253623,0.05210631259089942,0.0283376231822438,0,121.78385727875218,122603.769,42386.85249999999,41185.709845973644,1201.1426540263483,4719.1308107086925,150.28031723566255,90567.3530913586,23166.666666666664,18765.000000000004,1199.9999999999998,0.8447902777777778,9.094947017729282e-13,1.4551915228366852e-11
34,2025-02-04,1199.9999999999998,70475.1753881846,131940.3693383054,62443.72207636746,4697.20833376125,67140.93041012871,0.008468814195373025,0.03890541172871619,0.00541932700239257,0,1029.6223293873447,121578.09884999998,40383.2349,40164.384944662466,218.84995533753204,3451.074659417545,270.84006694321545,88704.23177838515,24201.186716180062,19602.961240105848,1200.0000000000005,0.8491895833333333,4.547473508864641e-13,2.9103830456733704e-11
35,2025-02-05,1200.0000000000005,68354.91145861885,71439.05542781415,66626.4602133226,1162.370976725758,67788.83119004835,0.0025165038820606314,0.061722015068164104,0.04328042841140672,0,306.9910375532696,121991.08443333334,41242.65745,39457.6575667391,1784.9998832608949,5763.2077847000755,259.22955125283966,93373.6168259469,26972.335057647513,21847.591396694486,1200.0000000000002,0.8482541666666665,2.2737367544323206e-13,0.0
36,2025-02-06,1200.0000000000002,66044.24245051817,68887.33859758057,64326.307996398056,1022.6341995263735,65348.94219592443,0.0017573925588279765,0.04944458163998085,0.033677450430080025,0,214.8450410296071,122252.1627,41981.10548333333,40567.288884418405,1413.816598914919,4492.550982555807,211.08313199500355,90860.32955576945,24666.666666666668,19980.0,1200.0000000000005,0.8439645833333334,2.2737367544323206e-13,0.0
37,2025-02-07,1200.0000000000005,19819.2006338451,21711.259877240584,18885.97334958812,149.85941443298083,19035.8327640211,0.000509974102951956,0.08929119813887201,0.10629293285429887,0,38.84401189418577,76168.59693333332,44362.91726666666,39647.45268042004,4715.464586246616,4115.7550913246505,978.5241791569701,46093.62599125992,23773.92884083792,19256.882361078715,1200.0,0.6440388888888888,1.7053025658242404e-13,0.0
38,2025-02-08,1200.0,16872.27493751272,18632.204917696345,16011.26914562746,2178.760821793753,18190.029967421215,0.009584688303570937,0.03287348840791869,0.051333623586036846,0,726.009348344068,75746.78751666666,44169.6248,41902.237906580325,2267.386893419678,1279.0526754674434,557.134654564981,38908.334266081125,20808.456180560104,16854.849506253682,1200.0000000000005,0.642351388888889,9.094947017729282e-13,7.275957614183426e-12
39,2025-02-09,1200.0000000000005,62520.18542057281,64462.09925211907,60808.40480923297,3400.965692321369,64209.37050155434,0.006707697547192117,0.029928946584484105,0.024782791880810284,0,815.3065746204738,121547.90356666666,41992.48759999999,40951.796519251686,1040.6910807483064,2606.8094416285903,162.48973280650375,87099.93966109131,23946.526388745962,19396.68637488423,1200.0,0.8413840277777778,4.547473508864641e-13,1.4551915228366852e-11
40,2025-02-10,1200.0,61563.74005829209,65138.59452988474,59859.26517311172,648.0996309571794,60507.3648040689,0.001610845539565994,0.0746011727602461,0.05068912367398301,0,195.68159295901273,121477.56451666665,47150.92693333333,44760.88776666666,2390.0391666666696,6551.415063246086,313.4531271218816,87819.19668074229,23333.333333333336,18900.0,1200.0000000000014,0.8180638888888889,2.2737367544323206e-13,7.275957614183426e-12
41,2025-02-11,1200.0000000000014,60289.226211878944,64180.70879193292,58543.94926278591,713.8577321350125,59257.80699492092,0.0011953057526710392,0.054444162924341406,0.030273922611440802,0,145.1594625281454,121441.28161666667,46220.68448333333,44821.403058237076,1399.281425096256,4670.58982934743,153.87148391732,85786.78738872224,23618.9841029265,19131.377123370465,1200.0000000000014,0.8284923611111111,4.547473508864641e-13,0.0
42,2025-02-12,1200.0000000000014,56672.99303567619,59996.43669393799,54884.01546291099,5440.452982719666,60324.46844563066,0.00953698431738107,0.02980460226844542,0.013313409161764508,0,1157.4451616452934,121363.85288333334,46097.116749999994,45483.40697352962,613.7097764703781,2436.9802992259565,190.12694172219506,81765.23468679278,23237.5089351906,18822.382237504382,1200.000000000002,0.8264243055555556,9.094947017729282e-13,2.9103830456733704e-11
43,2025-02-13,1200.000000000002,57927.49698230103,60922.779005338656,56107.12475569619,987.5818818449379,57094.70663754113,0.0025293626105560717,0.06621377432677887,0.049723565915721885,0,306.8376959088857,121310.28371666666,49980.80469999999,47495.58086297872,2485.2238370212717,5566.9593060591005,225.03627944281197,84075.54716009676,25135.191667451527,20359.50525063573,1200.0000000000045,0.8147909722222221,9.094947017729282e-13,0.0
44,2025-02-14,1200.0000000000045,16021.361232218567,16940.445290033033,15450.885795670189,6129.191139406767,21580.076935076955,0.025768636276769608,0.03245097938287201,0.08475439570443762,0,1955.1344106925762,75872.63794999999,46070.83613333333,42166.130257254496,3904.7058760788354,1226.2020548667003,723.7127254340069,37786.288062353626,21500.0,17415.0,1200.0000000000011,0.6311,1.3642420526593924e-12,0.0
45,2025-02-15,1200.0000000000011,16303.647600312463,17438.68849090349,15685.627960260123,2130.510010918635,17816.13797117876,0.009930224082593758,0.023745881404533282,0.07588755621713851,0,755.2387463438351,76054.55225,46774.46115,43224.861599953016,3549.599550046986,881.6621649480473,375.4043877010155,37129.05618991809,19987.04070297831,16189.502969412431,1200.0000000000023,0.6378472222222222,9.094947017729282e-13,3.637978807091713e-12
46,2025-02-16,1200.0000000000023,57317.886450428596,62377.73795150737,55199.928521199894,5617.409649326385,60817.33817052628,0.01016870572781665,0.024639891126582558,0.022024141896560136,0,1233.2298935533213,121276.97728333331,45899.59818333333,44888.6989199485,1010.899263384827,2026.7234303183343,161.068801244959,82253.74941416926,25846.88796197092,20935.979249196444,1200.0000000000014,0.8303222222222222,4.547473508864641e-13,4.3655745685100555e-11
