date,i,selected,prev_day_wape_selected,prev_day_wape_naive_last,n_candidates,train_max_day_index
2025-01-01,0,fallback_typical_day,,,1,-1
2025-01-02,1,naive_last,0.1755573227521397,,9,0
2025-01-03,2,naive_last,0.041262587048867275,0.041262587048867275,9,1
2025-01-04,3,shapemean7,0.2548203079433263,0.25618032037818084,9,2
2025-01-05,4,naive_last,0.055025597723970573,0.055025597723970573,9,3
2025-01-06,5,shapemed7,0.10042732236688799,0.2107549608431519,9,4
2025-01-07,6,shapemed7,0.03966201102585963,0.045276804542556184,9,5
2025-01-08,7,shapemed7,0.03838538176351993,0.045346867930885125,10,6
2025-01-09,8,shapemed7,0.03276206764697157,0.046112922004090784,10,7
2025-01-10,9,shapemed14,0.033365159450551164,0.03890988063995631,10,8
2025-01-11,10,sha_dow28_mean,0.05501248336028063,0.2628732867516412,10,9
2025-01-12,11,naive_last,0.048816475702424936,0.048816475702424936,10,10
2025-01-13,12,shapemed14,0.034592811816060394,0.2072261364378245,10,11
2025-01-14,13,shapemed7,0.03406577632392898,0.044697283081021805,10,12
2025-01-15,14,shapemed14,0.03188780592203252,0.0429836905398466,10,13
2025-01-16,15,sha_dow28_mean,0.030329704894577442,0.04019806389682141,10,14
2025-01-17,16,shapemed28,0.03172187338601475,0.04099344754468858,10,15
2025-01-18,17,sha_dow28_mean,0.04245625596807941,0.2634386753209908,10,16
2025-01-19,18,sha_dow28_mean,0.041471076388483054,0.044088085805503295,10,17
2025-01-20,19,shapemed28,0.03241907134944451,0.21297021513602932,10,18
2025-01-21,20,shapemed14,0.02645404463362202,0.034080032962530205,10,19
2025-01-22,21,shapemed7,0.036681744585962045,0.04101340930362035,10,20
2025-01-23,22,shapemed28,0.03121320358838258,0.04946854165533332,10,21
2025-01-24,23,sha_dow28_med,0.031771280956010915,0.042389540900484,10,22
2025-01-25,24,naive_dow7,0.04931189519363585,0.29881591973610583,10,23
2025-01-26,25,sha_dow28_mean,0.052080946808921516,0.0543077488354041,10,24
2025-01-27,26,shapemed28,0.03046598846449198,0.2306645757428073,10,25
2025-01-28,27,shapemed14,0.03372537677646031,0.044068223698042266,10,26
2025-01-29,28,shapemed28,0.0337418805017289,0.04230837940681936,10,27
2025-01-30,29,shapemed7,0.03768821474516059,0.05036153699071671,10,28
2025-01-31,30,shapemed14,0.03383170283040414,0.043955077469531804,10,29
2025-02-01,31,sha_dow28_mean,0.042018173804349385,0.26530223768045774,10,30
2025-02-02,32,naive_dow7,0.10550445024782817,0.11172946756915206,10,31
2025-02-03,33,shapemean7,0.06908416514448328,0.22106378367966095,10,32
2025-02-04,34,naive_last,0.03919694072657744,0.03919694072657744,10,33
2025-02-05,35,naive_last,0.038925184387402036,0.038925184387402036,10,34
2025-02-06,36,naive_last,0.03566557455427242,0.03566557455427242,10,35
2025-02-07,37,shapemed7,0.03874672066220293,0.040212818303822305,10,36
2025-02-08,38,naive_dow7,0.11965827632906917,0.31071169787883757,10,37
2025-02-09,39,naive_dow7,0.05346891736739799,0.05885494483159746,10,38
2025-02-10,40,shapemed7,0.037303951168953416,0.2375079750378221,10,39
2025-02-11,41,shapemed7,0.04501701695177326,0.05286278917362471,10,40
2025-02-12,42,shapemed7,0.03674010635685746,0.04680607093373255,10,41
2025-02-13,43,shapemed14,0.03773248256027467,0.04467539626452984,10,42
2025-02-14,44,shapemed7,0.03954402808788002,0.05004862358188323,10,43
2025-02-15,45,naive_dow7,0.07130847374073487,0.2914190830824487,10,44
2025-02-16,46,naive_last,0.05056940664126293,0.05056940664126293,10,45
2025-02-17,47,shapemed14,0.03528334396533179,0.2321321040024622,10,46
2025-02-18,48,shapemed7,0.034380889808255266,0.049794900202890784,10,47
2025-02-19,49,shapemed14,0.033888201382515845,0.04494884948644867,10,48
2025-02-20,50,shapemed14,0.03693135685765422,0.04941739058689636,10,49
2025-02-21,51,shapemed14,0.03631582520123178,0.05366510174272787,10,50
2025-02-22,52,naive_dow7,0.05896486000375829,0.3162420695641281,10,51
2025-02-23,53,sha_dow28_med,0.05226041412700308,0.06409316043021002,10,52
2025-02-24,54,shapemed14,0.034621951864101524,0.22087220913941633,10,53
2025-02-25,55,shapemed14,0.03602173026037447,0.04522978763256319,10,54
2025-02-26,56,shapemed14,0.04396038972667299,0.05013559259780726,10,55
2025-02-27,57,shapemed14,0.038890132860244384,0.0494683075066273,10,56
2025-02-28,58,shapemed7,0.04045074774094883,0.05019003597062819,10,57
2025-03-01,59,sha_dow28_med,0.060416518669755614,0.2938862656908595,10,58
2025-03-02,60,naive_last,0.062236568379160626,0.062236568379160626,10,59
2025-03-03,61,sha_dow28_mean,0.049851494920342,0.2443459958177382,10,60
2025-03-04,62,sha_dow28_mean,0.039109697838156605,0.05026927524925923,10,61
2025-03-05,63,shapemed28,0.03990048256633796,0.04072845614205519,10,62
2025-03-06,64,shapemed7,0.03284431216649702,0.04224438654256124,10,63
2025-03-07,65,shapemed7,0.0391869659954564,0.044511231511022785,10,64
2025-03-08,66,sha_dow28_mean,0.07146811305313289,0.30160617728892253,10,65
2025-03-09,67,naive_dow7,0.06708958338904657,0.06723608496626393,10,66
2025-03-10,68,shapemed7,0.036350237138132506,0.23880001949170934,10,67
2025-03-11,69,sha_dow28_med,0.04224896019258262,0.04962311666508008,10,68
2025-03-12,70,shapemed14,0.03745172115409461,0.05106771552687279,10,69
2025-03-13,71,shapemed14,0.0421213770885768,0.05135823656227913,10,70
2025-03-14,72,shapemed14,0.050984815879175735,0.06426349439589814,10,71
2025-03-15,73,sha_dow28_mean,0.07780376349661358,0.35360270174742275,10,72
2025-03-16,74,sha_dow28_mean,0.060915911153227094,0.08583925077393693,10,73
2025-03-17,75,shapemed28,0.03456098226481843,0.23078365917598687,10,74
2025-03-18,76,shapemean28,0.04254565934640407,0.04993911312534656,10,75
2025-03-19,77,shapemed14,0.036821094221741735,0.04955595884968106,10,76
2025-03-20,78,shapemed14,0.039119263753136735,0.046549228168324706,10,77
2025-03-21,79,shapemed28,0.035846523440691565,0.048435703717048736,10,78
2025-03-22,80,naive_dow7,0.07999946421047763,0.3658699638829154,10,79
2025-03-23,81,naive_last,0.0667656610773445,0.0667656610773445,10,80
2025-03-24,82,shapemed14,0.03925632419372356,0.2343526106213515,10,81
2025-03-25,83,shapemed28,0.03904518924845784,0.053130711739264196,10,82
2025-03-26,84,shapemed28,0.03394561777987391,0.04804360020420714,10,83
2025-03-27,85,shapemed14,0.04235044356451591,0.05949133563404067,10,84
2025-03-28,86,shapemed14,0.036112996148943415,0.052880516183280955,10,85
2025-03-29,87,naive_dow7,0.05947084935227496,0.33433413961670533,10,86
2025-03-30,88,naive_last,0.0708088475602612,0.0708088475602612,10,87
2025-03-31,89,shapemed14,0.037888393761793156,0.25259506943732635,10,88
2025-04-01,90,shapemed28,0.04008806138180028,0.05086204850403592,10,89
2025-04-02,91,naive_last,0.048545869536512486,0.048545869536512486,10,90
2025-04-03,92,shapemed28,0.04811588146793874,0.05647485345832947,10,91
2025-04-04,93,shapemed28,0.04127876338504859,0.06254110542246383,10,92
2025-04-05,94,sha_dow28_med,0.06849427549224406,0.36659782247134115,10,93
2025-04-06,95,sha_dow28_mean,0.05874487459377536,0.07395256292224175,10,94
2025-04-07,96,shapemed14,0.03568864670589094,0.23904303388473877,10,95
2025-04-08,97,shapemed7,0.03663582746589268,0.04386630219192939,10,96
2025-04-09,98,shapemed14,0.036509544687436085,0.054518133767532756,10,97
2025-04-10,99,sha_dow28_mean,0.04072167566299149,0.061848055608421014,10,98
