date,i,n_pool,max_block_day,trunc_load,trunc_pv,trunc_price,mean_abs_dev_load,mean_abs_dev_pv,mean_abs_dev_price,cold_start
2025-01-01,0,0,-1,0,0,0,0.0,0.0,0.0,1
2025-01-02,1,0,-1,0,0,0,0.0,0.0,0.0,1
2025-01-03,2,1,1,0,0,0,23.174773842592558,23.776526350308657,0.03823402777777777,0
2025-01-04,3,2,2,0,0,0,179.76928291988412,14.62296275720167,0.10651131944444443,0
2025-01-05,4,3,3,104,0,0,182.4954548975665,6.33164608796298,0.08770708814414191,0
2025-01-06,5,4,4,0,18,0,69.99187795520177,6.962373233024686,0.029293402579620723,0
2025-01-07,6,5,5,0,0,0,151.92059602783405,4.4571864313271625,0.07435434755887958,0
2025-01-08,7,6,6,0,24,0,76.65279792985363,6.7940982407407455,0.038752448702020215,0
2025-01-09,8,7,7,0,0,0,56.964998820496504,8.84529057484568,0.025585256017117544,0
2025-01-10,9,8,8,0,0,0,36.427284872810475,8.742026162551436,0.024262790869814588,0
2025-01-11,10,9,9,44,0,0,15.91783971209211,7.146897362397131,0.013267230367553028,0
2025-01-12,11,10,10,0,0,0,34.964161113221095,5.05262189300412,0.018161816773540528,0
2025-01-13,12,11,11,0,5,0,36.47331584593045,6.835442241512338,0.017105921705457147,0
2025-01-14,13,12,12,0,0,0,87.4641236399579,7.926735174897124,0.03753454158269787,0
2025-01-15,14,13,13,0,0,0,57.222599507906025,7.098401993312752,0.01615800195061653,0
2025-01-16,15,14,14,0,15,0,25.097755982754144,8.454832678112155,0.011768086944860433,0
2025-01-17,16,15,15,30,0,0,33.64806731968019,6.636998719135808,0.012876392363748145,0
2025-01-18,17,16,16,66,12,0,86.84101931199623,5.044524663065837,0.05545431666261821,0
2025-01-19,18,17,17,0,0,0,23.970187494004442,7.042411585648148,0.02070652346807775,0
2025-01-20,19,18,18,0,13,0,46.85479503573363,5.791204891975302,0.025955122063605045,0
2025-01-21,20,19,19,0,4,0,57.29324298356419,4.689902556584365,0.0418657073250148,0
2025-01-22,21,20,20,0,0,0,13.909074976511745,4.258941480195477,0.010587670918012815,0
2025-01-23,22,21,21,0,0,0,34.26875612593362,10.316399637345675,0.01918186558887479,0
2025-01-24,23,22,22,6,0,0,8.737411524115839,4.929236473765434,0.011631865098294383,0
2025-01-25,24,23,22,18,20,0,14.025694376234485,5.8467826028806575,0.009248647180430947,0
2025-01-26,25,24,23,0,4,0,15.290093432978788,6.177368119855975,0.03325868688756153,0
2025-01-27,26,25,25,0,0,0,47.171628197283795,6.221064781378587,0.02972860742290737,0
2025-01-28,27,26,26,0,12,0,15.923131839635914,6.23933506944445,0.009697821656394852,0
2025-01-29,28,27,24,0,0,0,6.566739598259716,3.0860326067386725,0.008887544964373387,0
2025-01-30,29,28,28,0,12,0,24.55064792627847,5.476165178755145,0.020863905854081863,0
2025-01-31,30,29,28,0,8,0,45.92856022588551,7.054607934670789,0.031052587681232504,0
2025-02-01,31,30,30,18,26,0,25.777116526687962,6.838761607510305,0.022499708338031235,0
2025-02-02,32,30,31,0,0,0,7.360577732057667,3.0531773045267534,0.02010225911685799,0
2025-02-03,33,30,31,0,12,0,19.71538211385373,4.319352876800428,0.024240159282005912,0
2025-02-04,34,30,33,0,46,0,8.587716725716271,8.257139867541149,0.01879693833455734,0
2025-02-05,35,30,34,0,4,0,5.456580184790751,7.7500126697530884,0.017185783478330736,0
2025-02-06,36,30,35,0,24,0,9.193311794196964,8.451490061728391,0.020438832452766134,0
2025-02-07,37,30,35,0,3,0,5.105724203792137,6.8745245846193335,0.013087588825115763,0
2025-02-08,38,30,37,25,0,0,29.704848350895443,3.8847457047325045,0.03877437303267409,0
2025-02-09,39,30,38,0,4,0,38.273693844096464,6.456636505915651,0.04459401349767193,0
2025-02-10,40,30,39,0,0,0,53.05548160405345,5.459164104938276,0.03508129418754113,0
2025-02-11,41,30,40,0,48,0,4.793091918715071,8.187940628858023,0.012473875997411572,0
2025-02-12,42,30,41,0,15,0,5.421902670905596,7.045261161265435,0.02139170211486546,0
2025-02-13,43,30,42,0,0,0,5.3528798493368175,4.243630501543208,0.011357606451665638,0
2025-02-14,44,30,43,0,15,0,4.845140131778916,5.547319745370373,0.01750180437385009,0
2025-02-15,45,30,43,0,12,16,5.038427259556228,11.896750154320987,0.038219913993683796,0
2025-02-16,46,30,44,0,36,0,11.06644962774871,6.375698936471177,0.02153785623648123,0
2025-02-17,47,30,46,0,16,0,10.471893794282197,9.714517740483542,0.02234004282927282,0
