指标,附件3口径,自建口径
报告期总费用（元）,15728958.764653768,15561929.837286433
其中计划购电费（元）,14762076.400236407,14670390.104478229
其中紧急购电费（元）,966882.3644173743,891539.732808211
计划购电量（kWh）,22885559.264465027,22803530.03864635
紧急购电量（kWh）,242133.03046168108,217118.05310100134
报告期总负荷（kWh）,37008079.489250004,37008079.489250004
紧急购电量占总负荷（%）,0.6542707262937413,0.5866774393523153
计划购电平均单价（元/kWh）,0.6450389186318837,0.6433385567767596
报告期市场均价（算术平均，元/kWh）,0.7575275199600799,0.7575275199600799
报告期市场均价（负荷加权，元/kWh）,0.8093838270225086,0.8093838270225086
计划量落在当日最便宜 25%（%）,40.85692469878622,41.17392348196968
充电量落在当日最便宜 25%（%）,48.15842492623234,48.216280825024185
放电量落在当日最贵 25%（%）,72.25921929168909,71.94626582113285
累计未提取量（kWh）,1763979.956266064,1639609.3416764885
未提取占计划量（%）,7.7078297973038365,7.190155817532442
累计弃光量（kWh）,1938149.382715674,1959671.278956279
弃光率（%）,10.163933943175053,10.276797860514012
日费用 CVaR90（元）,79105.31960221527,78167.70155729442
单日最大费用（元）,103954.57809343147,103314.35863454177
电量平衡最大残差（kWh）,3.512923285597935e-11,1.1550582712516189e-10
上界违约最大残差（kWh）,2.0372681319713593e-10,1.8917489796876907e-10
储电量越界次数,0.0,0.0
年末储电量（kWh）,6000.000000000004,6000.000000000002
