month,series,MAE_kwh,WAPE,n_days
2,load,19.202907499505,0.025508099278144448,28
2,pv,19.503583886458326,0.05950809705166687,28
3,load,18.433199872334736,0.02539183707382333,31
3,pv,28.33048170758149,0.07377099626466475,31
4,load,16.273584199968905,0.022226729087417043,30
4,pv,31.450428600159714,0.06984623427747652,30
5,load,20.610532797576354,0.028094559332503415,31
5,pv,31.770573295170262,0.06792206555937402,31
6,load,24.96251142856282,0.031200717138642354,30
6,pv,35.48808734049224,0.08984983422865601,30
7,load,33.41373589275514,0.03756280672822461,31
7,pv,32.80179190159229,0.07227042778058386,31
8,load,24.899748787118938,0.029612140710257792,31
8,pv,33.22566356906617,0.06836572483444953,31
9,load,26.35549724693943,0.03486245723401166,30
9,pv,30.084511253107785,0.06922346284282414,30
10,load,46.39417031580872,0.06403583477138801,31
10,pv,24.134990572565467,0.06124821047999589,31
11,load,26.08113413105974,0.03607622437918849,30
11,pv,15.761639334219476,0.050998189628333176,30
12,load,24.25409242990452,0.03102005236911945,31
12,pv,13.386385094809016,0.05305611904924777,31
